0	105	(j'ai)	?
1	119	(vu)	?
2	118	(M)	?
3	856	?	?
4	960	?	?
5	198	?	?
6	1018	de	M
7	250	s	M
8	225	li	?
9	1198	n	?
10	141	g	?
11	813	er	?
12	583	la	M
13	580	n	M
14	276	d	M
15	744	chez	H
16	727	moi	H
17	828	ce	H
18	6	ma	H
19	588	ti	H
20	141	n	H
21	963	je	H
22	889	lui	H
23	732	ai	H
24	743	dit	H
25	828	ce	H
26	197	que	H
27	569	vous	H
28	208	me	H
29	1169	pre	H
30	775	s	M
31	1036	crivez	M
32	663	par	M
33	306	vo	M
34	70	tre	M
35	466	dé	M
36	1080	pêche	M
37	402	che?	?
38	582	du	M
39	1021	11	M
40	130	e	?
41	487	à(l'egard)	?
42	1018	de	M
43	583	la	M
44	226	negociation	M
45	740	avec	M
46	582	l'	M
47	414	angleterre	H
48	1088	il	H
49	6	m'a	H
50	855	répon	H
51	521	du	H
52	572	qu'il	H
53	1038	croy	M
54	140	oit	M
55	936	de	M
56	895	voir	M
57	208	me	H
58	333	communique	M
59	487	r	M
60	583	la	H
61	495	sub	M
62	537	stan	M
63	797	ce	M
64	1077	?	?
65	828	?	?
66	1088	?	?
67	382	la	H
68	1146	lettre	H
69	1018	de	H
70	387	(M_de_Holdernesse)	?
71	138	à	H
72	673	yorke	H
73	583	la	H
74	676	voi	H
75	140	ci	H
76	841	tel	H
77	234	le	H
78	572	qu'il	H
79	208	me	H
80	583	l'a	H
81	900	dic	H
82	482	?	?
83	856	té	M
84	187	e	M
85	22	S.M.	M
86	16	britannique	M
87	138	a	H
88	187	é	H
89	685	vi	H
90	856	té	H
91	876	la	H
92	445	guerre	H
93	926	autant	M
94	197	que	H
95	583	la	H
96	976	prudence	M
97	177	et	M
98	380	les	H
99	284	inter(êts)	M
100	1018	de	H
101	10	sa	H
102	610	part	H
103	582	l'	H
104	940	ont	H
105	1152	per	H
106	725	mis	H
107	22	S.M.	M
108	442	désire	M
109	262	sincèrement	M
110	583	la	H
111	952	paix	H
112	966	pour	H
113	960	vu	M
114	197	que	H
115	380	les	H
116	901	conditions	M
117	835	en	H
118	1137	soient	M
119	1032	assez	M
120	358	é	H
121	1044	qui	H
122	72	ta	H
123	812	bles	H
124	966	pour	H
125	583	la	H
126	754	rendre	M
127	521	du	H
128	955	ra	H
129	812	ble	H
130	310	et	H
131	191	qu'elle	H
132	949	com	?
133	1164	pren	M
134	580	ne	M
135	134	touts?	?
136	758	ts?	?
137	380	les	H
138	720	al	M
139	1084	liés	M
140	1116	res	?
141	954	pec	?
142	225	?	?
143	588	ti	M
144	533	f	M
145	250	s	M
146	310	et	H
147	191	qu'elle	H
148	832	con	M
149	239	ser	M
150	663	ve	M
151	380	les	H
152	639	droits	M
153	193	et	?
154	380	les	H
155	773	possessions	M
156	885	des	H
157	983	su	M
158	52	jets	M
159	129	de_la?	?
160	72	GB?	?
161	835	en	H
162	828	ce	H
163	729	cas	H
164	1027	le_roi	M
165	414	angleterre	M
166	684	ver	H
167	955	ra	H
168	740	avec	M
169	139	pla	H
170	516	i	M
171	1159	si	M
172	487	r	M
173	411	cette	M
174	226	negociation	H
175	835	en	H
176	172	ta	H
177	208	mé	H
178	187	e	H
179	1075	entre	M
180	673	yorke	H
181	310	et	H
182	196	M	H
183	276	d'	H
184	1104	a	M
185	533	f	H
186	487	r	M
187	179	y	H
188	354	sans	M
189	169	entremise	M
190	276	d'	H
191	1045	un	H
192	588	ti	H
193	1179	ers	H
194	13	.	H
195	569	vous	H
196	323	voyez	H
197	196	M	H
198	197	que	H
199	828	ce	H
200	583	la	H
201	580	n	H
202	130	ga	M
203	1108	ge	H
204	807	n'a	H
205	1019	rien	H
206	276	d'	H
207	255	ex	M
208	1159	ces	M
209	533	sif	M
210	888	mais	H
211	572	qu'il	H
212	807	n'a	H
213	1019	rien	H
214	929	non	H
215	309	plus	H
216	1018	de	H
217	302	re	H
218	195	ce	H
219	2	va	H
220	813	ble	H
221	975	puis	H
222	572	qu'il	H
223	838	est	H
224	148	juste	M
225	197	que	H
226	417	l	H
227	414	angleterre	H
228	58	fa	M
229	775	s	M
230	1127	se	H
231	380	les	H
232	9	premiers	M
233	951	pas	H
234	227	d'	M
235	720	ail	M
236	252	leurs	M
237	583	la	H
238	1017	re	H
239	239	ser	H
240	663	ve	H
241	1018	de	H
242	758	touts	M
243	380	ses	M
244	720	al	H
245	1039	liés	H
246	382	la	H
247	901	condition	H
248	2	va	H
249	1142	gue	H
250	885	des	H
251	779	droits	H
252	1139	et	H
253	773	possessions	H
254	580	n'	H
255	961	offre	M
256	951	pas	H
257	885	des	H
258	672	condi	M
259	362	tions	M
260	140	ai	M
261	1135	sées	H
