# frame	pencil	paper	rank
M34-013-0002.jpg	0.60552	0.343	1
M34-013-0181.jpg	0.41383	0.425	2
M34-013-0269.jpg	0.39937	0.328	3
M34-013-0030.jpg	0.39563	0.151	4
M34-013-0119.jpg	0.33831	0.395	5
M34-013-0187.jpg	0.31493	0.409	6
M34-013-0209.jpg	0.31370	0.445	7
M34-013-0061.jpg	0.31190	0.425	8
M34-013-0102.jpg	0.30387	0.417	9
M34-013-0262.jpg	0.29836	0.465	10
M34-013-0062.jpg	0.26116	0.453	11
M34-013-0056.jpg	0.26047	0.548	12
M34-013-0305.jpg	0.25045	0.484	13
M34-013-0282.jpg	0.23970	0.398	14
M34-013-0149.jpg	0.22604	0.607	15
M34-013-0029.jpg	0.22480	0.526	16
M34-013-0186.jpg	0.22199	0.457	17
M34-013-0032.jpg	0.21532	0.288	18
M34-013-0267.jpg	0.20379	0.615	19
M34-013-0033.jpg	0.20020	0.306	20
M34-013-0034.jpg	0.19698	0.477	21
M34-013-0213.jpg	0.18851	0.577	22
M34-013-0031.jpg	0.17374	0.333	23
M34-013-0259.jpg	0.15672	0.599	24
M34-013-0284.jpg	0.10322	0.605	25
M34-013-0171.jpg	0.10033	0.753	26
M34-013-0212.jpg	0.08855	0.670	27
M34-013-0138.jpg	0.08066	0.692	28
M34-013-0304.jpg	0.07232	0.585	29
M34-013-0266.jpg	0.06711	0.711	30
M34-013-0179.jpg	0.06348	0.624	31
M34-013-0118.jpg	0.06098	0.674	32
M34-013-0174.jpg	0.06088	0.784	33
M34-013-0245.jpg	0.06087	0.702	34
M34-013-0139.jpg	0.05958	0.792	35
M34-013-0160.jpg	0.05926	0.772	36
M34-013-0303.jpg	0.05874	0.563	37
M34-013-0175.jpg	0.05740	0.758	38
M34-013-0279.jpg	0.05586	0.670	39
M34-013-0180.jpg	0.05463	0.727	40
M34-013-0222.jpg	0.05322	0.801	41
M34-013-0097.jpg	0.05251	0.665	42
M34-013-0254.jpg	0.04952	0.744	43
M34-013-0075.jpg	0.04918	0.744	44
M34-013-0163.jpg	0.04400	0.659	45
M34-013-0127.jpg	0.04369	0.779	46
M34-013-0165.jpg	0.04335	0.670	47
M34-013-0249.jpg	0.04307	0.722	48
M34-013-0252.jpg	0.04242	0.666	49
M34-013-0251.jpg	0.04199	0.671	50
M34-013-0018.jpg	0.04049	0.760	51
M34-013-0126.jpg	0.03876	0.737	52
M34-013-0382.jpg	0.03724	0.798	53
M34-013-0275.jpg	0.03622	0.724	54
M34-013-0192.jpg	0.03564	0.721	55
M34-013-0194.jpg	0.03549	0.587	56
M34-013-0246.jpg	0.03387	0.732	57
M34-013-0058.jpg	0.03366	0.741	58
M34-013-0104.jpg	0.03360	0.769	59
M34-013-0250.jpg	0.03357	0.742	60
M34-013-0150.jpg	0.03298	0.789	61
M34-013-0253.jpg	0.03298	0.699	62
M34-013-0120.jpg	0.03273	0.798	63
M34-013-0378.jpg	0.03267	0.743	64
M34-013-0280.jpg	0.03214	0.771	65
M34-013-0272.jpg	0.03213	0.729	66
M34-013-0169.jpg	0.03212	0.713	67
M34-013-0191.jpg	0.03172	0.819	68
M34-013-0302.jpg	0.03096	0.677	69
M34-013-0087.jpg	0.03089	0.672	70
M34-013-0228.jpg	0.03084	0.641	71
M34-013-0200.jpg	0.02996	0.614	72
M34-013-0248.jpg	0.02991	0.735	73
M34-013-0381.jpg	0.02964	0.851	74
M34-013-0377.jpg	0.02928	0.795	75
M34-013-0122.jpg	0.02918	0.785	76
M34-013-0178.jpg	0.02900	0.823	77
M34-013-0167.jpg	0.02893	0.761	78
M34-013-0230.jpg	0.02893	0.810	79
M34-013-0276.jpg	0.02859	0.715	80
M34-013-0237.jpg	0.02841	0.803	81
M34-013-0247.jpg	0.02838	0.739	82
M34-013-0168.jpg	0.02785	0.665	83
M34-013-0201.jpg	0.02780	0.603	84
M34-013-0330.jpg	0.02729	0.746	85
M34-013-0374.jpg	0.02717	0.788	86
M34-013-0383.jpg	0.02716	0.795	87
M34-013-0043.jpg	0.02709	0.774	88
M34-013-0147.jpg	0.02648	0.810	89
M34-013-0375.jpg	0.02605	0.822	90
M34-013-0121.jpg	0.02601	0.794	91
M34-013-0273.jpg	0.02562	0.775	92
M34-013-0071.jpg	0.02525	0.786	93
M34-013-0380.jpg	0.02516	0.819	94
M34-013-0332.jpg	0.02507	0.774	95
M34-013-0182.jpg	0.02494	0.813	96
M34-013-0007.jpg	0.02480	0.800	97
M34-013-0342.jpg	0.02476	0.785	98
M34-013-0190.jpg	0.02465	0.840	99
M34-013-0229.jpg	0.02435	0.690	100
M34-013-0379.jpg	0.02429	0.814	101
M34-013-0323.jpg	0.02403	0.804	102
M34-013-0136.jpg	0.02367	0.805	103
M34-013-0005.jpg	0.02347	0.749	104
M34-013-0274.jpg	0.02344	0.733	105
M34-013-0195.jpg	0.02326	0.617	106
M34-013-0189.jpg	0.02324	0.845	107
M34-013-0170.jpg	0.02318	0.783	108
M34-013-0210.jpg	0.02310	0.833	109
M34-013-0193.jpg	0.02285	0.586	110
M34-013-0025.jpg	0.02272	0.820	111
M34-013-0145.jpg	0.02263	0.789	112
M34-013-0090.jpg	0.02262	0.602	113
M34-013-0021.jpg	0.02252	0.736	114
M34-013-0057.jpg	0.02238	0.729	115
M34-013-0172.jpg	0.02236	0.860	116
M34-013-0271.jpg	0.02225	0.780	117
M34-013-0063.jpg	0.02225	0.725	118
M34-013-0343.jpg	0.02215	0.814	119
M34-013-0141.jpg	0.02207	0.766	120
M34-013-0146.jpg	0.02198	0.796	121
M34-013-0319.jpg	0.02185	0.821	122
M34-013-0224.jpg	0.02182	0.811	123
M34-013-0315.jpg	0.02168	0.746	124
M34-013-0177.jpg	0.02149	0.597	125
M34-013-0115.jpg	0.02144	0.797	126
M34-013-0006.jpg	0.02132	0.807	127
M34-013-0211.jpg	0.02103	0.828	128
M34-013-0373.jpg	0.02061	0.777	129
M34-013-0227.jpg	0.02028	0.731	130
M34-013-0173.jpg	0.02014	0.813	131
M34-013-0060.jpg	0.02009	0.792	132
M34-013-0372.jpg	0.01999	0.769	133
M34-013-0388.jpg	0.01978	0.780	134
M34-013-0221.jpg	0.01958	0.849	135
M34-013-0214.jpg	0.01950	0.816	136
M34-013-0151.jpg	0.01938	0.816	137
M34-013-0046.jpg	0.01937	0.701	138
M34-013-0277.jpg	0.01935	0.671	139
M34-013-0028.jpg	0.01933	0.808	140
M34-013-0320.jpg	0.01927	0.824	141
M34-013-0024.jpg	0.01906	0.764	142
M34-013-0176.jpg	0.01904	0.739	143
M34-013-0220.jpg	0.01900	0.808	144
M34-013-0202.jpg	0.01899	0.645	145
M34-013-0078.jpg	0.01866	0.774	146
M34-013-0045.jpg	0.01857	0.737	147
M34-013-0148.jpg	0.01853	0.827	148
M34-013-0345.jpg	0.01828	0.820	149
M34-013-0129.jpg	0.01820	0.810	150
M34-013-0344.jpg	0.01808	0.831	151
M34-013-0340.jpg	0.01786	0.780	152
M34-013-0019.jpg	0.01773	0.783	153
M34-013-0353.jpg	0.01759	0.789	154
M34-013-0080.jpg	0.01728	0.751	155
M34-013-0322.jpg	0.01715	0.825	156
M34-013-0331.jpg	0.01706	0.832	157
M34-013-0341.jpg	0.01698	0.786	158
M34-013-0295.jpg	0.01698	0.843	159
M34-013-0114.jpg	0.01692	0.829	160
M34-013-0095.jpg	0.01689	0.587	161
M34-013-0240.jpg	0.01656	0.729	162
M34-013-0081.jpg	0.01652	0.733	163
M34-013-0338.jpg	0.01651	0.759	164
M34-013-0232.jpg	0.01646	0.819	165
M34-013-0215.jpg	0.01644	0.810	166
M34-013-0137.jpg	0.01632	0.760	167
M34-013-0017.jpg	0.01610	0.562	168
M34-013-0217.jpg	0.01607	0.818	169
M34-013-0044.jpg	0.01606	0.714	170
M34-013-0356.jpg	0.01602	0.789	171
M34-013-0318.jpg	0.01555	0.829	172
M34-013-0357.jpg	0.01555	0.815	173
M34-013-0023.jpg	0.01548	0.805	174
M34-013-0255.jpg	0.01545	0.683	175
M34-013-0324.jpg	0.01536	0.811	176
M34-013-0337.jpg	0.01528	0.764	177
M34-013-0238.jpg	0.01522	0.801	178
M34-013-0108.jpg	0.01515	0.827	179
M34-013-0103.jpg	0.01505	0.775	180
M34-013-0112.jpg	0.01505	0.839	181
M34-013-0166.jpg	0.01497	0.721	182
M34-013-0059.jpg	0.01482	0.810	183
M34-013-0346.jpg	0.01479	0.793	184
M34-013-0359.jpg	0.01479	0.785	185
M34-013-0234.jpg	0.01470	0.828	186
M34-013-0334.jpg	0.01465	0.846	187
M34-013-0140.jpg	0.01456	0.816	188
M34-013-0110.jpg	0.01453	0.743	189
M34-013-0188.jpg	0.01453	0.835	190
M34-013-0263.jpg	0.01444	0.816	191
M34-013-0009.jpg	0.01437	0.613	192
M34-013-0293.jpg	0.01431	0.790	193
M34-013-0296.jpg	0.01427	0.813	194
M34-013-0292.jpg	0.01427	0.811	195
M34-013-0278.jpg	0.01425	0.767	196
M34-013-0391.jpg	0.01421	0.791	197
M34-013-0309.jpg	0.01400	0.822	198
M34-013-0064.jpg	0.01399	0.727	199
