frame	bg	v1	v3b	v5	v6
0002	155.00000	0.60791	0.00000	0.39904	0.00000
0003	217.00000	0.00896	0.00565	0.04830	0.04830
0004	233.00000	0.02621	0.02252	0.09739	0.09739
0005	229.00000	0.02427	0.02846	0.05863	0.05863
0006	242.00000	0.03152	0.02287	0.05178	0.05366
0007	242.00000	0.03492	0.01823	0.04184	0.04301
0008	239.00000	0.01241	0.02621	0.06898	0.06898
0009	235.00000	0.01685	0.02018	0.07381	0.07463
0010	229.00000	0.00946	0.01297	0.04025	0.04025
0011	235.00000	0.01620	0.02525	0.11205	0.11205
0012	238.00000	0.01572	0.02327	0.08223	0.08223
0013	228.00000	0.01157	0.01309	0.04447	0.04447
0014	236.00000	0.00570	0.00977	0.02831	0.02831
0015	238.00000	0.01274	0.02572	0.09265	0.09265
0016	241.00000	0.01906	0.03552	0.09505	0.09505
0017	237.00000	0.02366	0.03240	0.09202	0.09202
0018	215.00000	0.06185	0.03312	0.07251	0.07251
0019	230.00000	0.02307	0.02618	0.06892	0.06892
0020	226.00000	0.02921	0.02130	0.04286	0.04286
0021	230.00000	0.04321	0.02800	0.06179	0.06327
0022	228.00000	0.01229	0.01026	0.04139	0.04139
0023	238.00000	0.03680	0.03017	0.04890	0.04890
0024	233.00000	0.04293	0.03690	0.06329	0.06340
0025	232.00000	0.03830	0.03155	0.09116	0.09116
0026	235.00000	0.02249	0.02336	0.06792	0.06792
0027	227.00000	0.03625	0.03105	0.05471	0.05471
0028	226.00000	0.02782	0.02518	0.04980	0.04980
0029	225.00000	0.23654	0.23618	0.56774	0.56774
0030	194.00000	0.42282	0.00000	0.01910	0.00000
0031	202.00000	0.17670	0.00000	0.02748	0.00000
0032	200.00000	0.22568	0.00000	0.02733	0.00000
0033	201.00000	0.20969	0.00000	0.03096	0.00000
0034	207.00000	0.21020	0.00000	0.02902	0.00000
0035	222.00000	0.02030	0.01230	0.03088	0.03079
0036	222.00000	0.01449	0.01135	0.03347	0.03347
0037	226.00000	0.02210	0.01987	0.03838	0.03838
0038	228.00000	0.01542	0.01333	0.03267	0.03267
0039	240.00000	0.01784	0.02499	0.07060	0.07174
0040	232.00000	0.01023	0.01548	0.15925	0.15925
0041	255.00000	0.03240	0.03918	0.12266	0.12266
0042	255.00000	0.07583	0.08045	0.12819	0.12819
0043	255.00000	0.07180	0.09792	0.10993	0.10993
0044	233.00000	0.01909	0.02949	0.09074	0.09074
0045	233.00000	0.02598	0.03854	0.10673	0.10673
0046	236.00000	0.02551	0.04380	0.13895	0.13895
0047	239.00000	0.02600	0.03770	0.10953	0.10953
0048	239.00000	0.02637	0.04043	0.11969	0.11969
0049	236.00000	0.02407	0.03759	0.10565	0.10565
0050	238.00000	0.01944	0.03021	0.08790	0.08790
0051	237.00000	0.01114	0.01713	0.05493	0.05493
0052	235.00000	0.00939	0.01023	0.07410	0.07410
0053	242.00000	0.01201	0.03530	0.07180	0.07180
0054	244.00000	0.00708	0.00926	0.03148	0.03148
0055	243.00000	0.00789	0.01135	0.03818	0.03818
0056	204.00000	0.27259	0.00000	0.05145	0.00000
0057	215.00000	0.02540	0.00999	0.01877	0.01877
0058	221.00000	0.04476	0.03462	0.08436	0.08436
0059	229.00000	0.02334	0.02116	0.06972	0.06972
0060	228.00000	0.03207	0.03195	0.07690	0.07690
0061	216.00000	0.32520	0.24054	0.32802	0.32802
0062	204.00000	0.27473	0.00000	0.05920	0.00000
0063	225.00000	0.03656	0.03223	0.06492	0.06492
0064	226.00000	0.02559	0.02147	0.04084	0.04084
0065	225.00000	0.01909	0.01639	0.03913	0.03913
0066	226.00000	0.01063	0.00868	0.01922	0.01922
0067	228.00000	0.01364	0.01432	0.04427	0.04427
0068	225.00000	0.01793	0.01568	0.03378	0.03378
0069	234.00000	0.01897	0.02662	0.05222	0.05222
0070	229.00000	0.02046	0.02398	0.03832	0.03832
0071	230.00000	0.03014	0.03911	0.07319	0.07319
0072	237.00000	0.02331	0.02409	0.04345	0.04345
0073	236.00000	0.02364	0.02825	0.04921	0.04921
0074	234.00000	0.02350	0.02895	0.05389	0.05389
0075	224.00000	0.07114	0.06588	0.14704	0.14704
0076	229.00000	0.02581	0.02534	0.08907	0.08907
0077	235.00000	0.03657	0.04008	0.11349	0.11349
0078	231.00000	0.06568	0.06701	0.10416	0.10416
0079	235.00000	0.02989	0.03327	0.11011	0.11011
0080	230.00000	0.06898	0.06815	0.10528	0.10528
0081	226.00000	0.05863	0.05372	0.08844	0.08844
0082	229.00000	0.05146	0.04910	0.07834	0.07834
0083	231.00000	0.03057	0.03134	0.09658	0.09658
0084	227.00000	0.04291	0.03990	0.07116	0.07116
0085	231.00000	0.04350	0.04116	0.07607	0.07614
0086	227.00000	0.04856	0.04494	0.08330	0.08342
0087	225.00000	0.03344	0.03265	0.05854	0.05854
0088	245.00000	0.00762	0.01141	0.02722	0.02722
0089	245.00000	0.02137	0.03078	0.07822	0.07822
0090	247.00000	0.04074	0.04890	0.07972	0.07972
0091	248.00000	0.03023	0.03393	0.07730	0.07730
0092	249.00000	0.00851	0.01277	0.08924	0.08924
0093	247.00000	0.02165	0.02840	0.08289	0.08289
0094	249.00000	0.02140	0.02879	0.06249	0.06249
0095	232.00000	0.01984	0.02908	0.07957	0.07957
0096	232.00000	0.01750	0.02580	0.12683	0.12683
0097	218.00000	0.05377	0.03037	0.09113	0.09113
0098	237.00000	0.00765	0.01549	0.05658	0.05658
0099	239.00000	0.01297	0.02660	0.09543	0.09543
0100	240.00000	0.00336	0.00605	0.01237	0.01237
0101	229.00000	0.00886	0.01468	0.03230	0.03230
0102	205.00000	0.31107	0.00000	0.05844	0.00000
0103	230.00000	0.01750	0.02089	0.05394	0.05394
0104	224.00000	0.03958	0.03509	0.09720	0.09742
0105	237.00000	0.02785	0.03630	0.05348	0.05348
0106	244.00000	0.02932	0.04293	0.06023	0.06023
0107	245.00000	0.02884	0.04271	0.06180	0.06180
0108	242.00000	0.02904	0.04089	0.06141	0.06141
0109	240.00000	0.02056	0.03342	0.10700	0.10700
0110	241.00000	0.02693	0.03030	0.05268	0.05268
0111	243.00000	0.02243	0.02246	0.04263	0.04263
0112	245.00000	0.02026	0.01849	0.08783	0.09364
0113	245.00000	0.01526	0.01646	0.03852	0.03948
0114	247.00000	0.02935	0.02493	0.06700	0.06814
0115	247.00000	0.03709	0.03026	0.04656	0.04673
0116	245.00000	0.02406	0.02185	0.03385	0.03385
0117	251.00000	0.01601	0.07587	0.28260	0.28260
0118	216.00000	0.05605	0.01986	0.05152	0.05152
0119	199.00000	0.34879	0.00000	0.10882	0.00000
0120	221.00000	0.03334	0.02408	0.10547	0.10547
0121	240.00000	0.03663	0.06386	0.22124	0.22124
0122	237.00000	0.04070	0.05636	0.18182	0.18182
0123	247.00000	0.01082	0.03147	0.10514	0.10514
0124	238.00000	0.00722	0.00933	0.01760	0.01760
0125	240.00000	0.00784	0.01089	0.02078	0.02078
0126	241.00000	0.05646	0.05270	0.08396	0.08530
0127	237.00000	0.06551	0.06670	0.09367	0.09568
0128	241.00000	0.00508	0.01006	0.03356	0.03356
0129	225.00000	0.02209	0.02127	0.06179	0.06179
0130	245.00000	0.01814	0.02816	0.04789	0.04789
0131	242.00000	0.01395	0.02494	0.04520	0.04520
0132	244.00000	0.01242	0.01948	0.03810	0.03810
0133	248.00000	0.01685	0.02710	0.04597	0.04597
0134	248.00000	0.01064	0.01984	0.04654	0.04654
0135	243.00000	0.01280	0.01928	0.03356	0.03356
0136	227.00000	0.03022	0.03282	0.07156	0.07156
0137	227.00000	0.04888	0.04799	0.10438	0.10438
0138	229.00000	0.11466	0.09996	0.11646	0.11786
0139	239.00000	0.07491	0.08416	0.11786	0.12049
0140	239.00000	0.02195	0.02311	0.06735	0.06860
0141	239.00000	0.04106	0.04659	0.07488	0.07570
0142	237.00000	0.01606	0.01305	0.02441	0.02470
0143	234.00000	0.01546	0.01307	0.02328	0.02354
0144	236.00000	0.02116	0.01754	0.04061	0.04123
0145	229.00000	0.04423	0.04131	0.08303	0.08318
0146	229.00000	0.03966	0.03724	0.07289	0.07289
0147	255.00000	0.05592	0.30783	0.73586	0.75983
0148	224.00000	0.03340	0.01568	0.05924	0.06273
0149	238.00000	0.24453	0.24849	0.13226	0.13664
0150	244.00000	0.04806	0.04131	0.06785	0.06877
0151	233.00000	0.02911	0.03257	0.07653	0.07769
0152	235.00000	0.01518	0.01637	0.04984	0.05075
0153	231.00000	0.01924	0.02695	0.04868	0.04868
0154	232.00000	0.01317	0.01828	0.03122	0.03122
0155	227.00000	0.01704	0.01835	0.03010	0.03010
0156	233.00000	0.01815	0.02472	0.03972	0.03972
0157	229.00000	0.01626	0.01979	0.03232	0.03232
0158	231.00000	0.01893	0.02486	0.04086	0.04086
0159	228.00000	0.01474	0.01645	0.05367	0.05367
0160	216.00000	0.05274	0.02657	0.07794	0.07752
0161	237.00000	0.01384	0.01699	0.05412	0.05489
0162	230.00000	0.01089	0.00268	0.01399	0.01455
0163	219.00000	0.04975	0.02157	0.06453	0.06401
0164	239.00000	0.02707	0.02645	0.06521	0.06637
0165	220.00000	0.04845	0.03003	0.07528	0.07560
0166	236.00000	0.02903	0.04128	0.08213	0.08213
0167	224.00000	0.04149	0.03710	0.06604	0.06604
0168	236.00000	0.03538	0.02440	0.08268	0.08534
0169	233.00000	0.05008	0.03532	0.08688	0.08963
0170	244.00000	0.04231	0.03551	0.08452	0.08672
0171	213.00000	0.09584	0.00000	0.03594	0.00000
0172	235.00000	0.02742	0.01241	0.04708	0.04973
0173	244.00000	0.03648	0.03233	0.08052	0.08419
0174	217.00000	0.07913	0.03689	0.07329	0.07227
0175	213.00000	0.09676	0.00000	0.07634	0.00000
0176	230.00000	0.03331	0.01808	0.07177	0.07546
0177	232.00000	0.03133	0.01838	0.06327	0.06682
