# every cipher run of the 22 Nov 1601 letter (ff. 46r-47v), extracted from reading_22nov.md
46r.L02.1 | f46r | 73 g m t f q m 4 71 i: 12 x Z g , m r b LS m c b S ff g PH Z Z | -
46r.L05.1 | f46r | t: f, r 63 g o Z b h p ff ) x: g n Z p r | -
46r.L06.1 | f46r | i: n Z x Z f e Z S ff j LS Cm b t r PH Cm g o t ff m 4 LS p EP g , m x Z g b 63 71 | -
46r.L07.1 | f46r | f, p r f ff y S , x Cm r ff x 4 e , q x ff g , 73 | -
46r.L08.1 | f46r | f, c r g PH Cm r p Cm q ff c r g | -
46r.L09.1 | f46r | f, S 12 72 4 S i: r 4 S + | -
46r.L10.1 | f46r | x LS ff g 4 x 4 S PH r 4 8 r + LS m 63 PH | -
46r.L10.2 | f46r | r 44 ff g , x Cm r 4 g ff x ff m f LS b f, f 4 g | -
46r.L11.1 | f46r | x 63 g q + g x 63 PH | -
46r.L11.2 | f46r | g , p t a ff x 28 | -
46r.L12.1 | f46r | + Cm q ff g : : x o r x m g i: 7 f, g o y: Cm + g g b h y LS y LS ff Cm y + x 4 g ff ff r i: g + r | -
46r.L13.1 | f46r | x 63 r , q S ff x g q ff g q i: f , g 4 i: i: f 4 4 g | -
46r.L14.1 | f46r | 63 q ff g 4 ff Cm r r | -
46r.L15.1 | f46r | g 4 4 x , r Cm d | -
46r.L15.2 | f46r | 20 x f, S 12 | -
46r.L17.1 | f46r | ff g o 63 : : ff p r | -
46r.L18.1 | f46r | x 4 o 63 S ff g x ff + r f, x ff b q 67 a o ff r q Cm r f, g x 4 Cm g g PH 4 q ff q ff g x 4 S r f, g : : q x f ff r g | -
46r.L19.2 | f46r | f, q ff x o g f, : : r Cm ff r 4 63 b t g f m g q 63 q 63 g | -
46r.L20.1 | f46r | f, m Cm g 63 g | -
46r.L20.2 | f46r | x b t g q ff x , g ff p ff b S g q Cm g o r 4 q Cm x , | -
46r.L21.1 | f46r | q 63 g Cm Cm x r b Cm f, + 63 g : : ff r g Cm r | -
46r.L22.1 | f46r | b x ff f, g PH Cm ff g r q f r + x y: f, g PH 4 S ff ff 4 x 63 u n f, ff i: Z 4 ff f, S x + g 4 f, f u g | -
46r.L23.2 | f46r | n x ff f, 48 + Cm Z + 63 g ff i: S , S , o + g ff r x , S d : : ff i: ff g | -
46r.L24.1 | f46r | 66 q g , ff | -
46r.L24.2 | f46r | f, : : Cm g x + r 63 : : f q | -
46r.L24.3 | f46r | 4 0 63 g | -
46r.L25.1 | f46r | i: S 63 o 63 x Cm 63 4 69 i: g q , g b Cm ff S 4 r b S ff : : Cm g x , + r Cm ff g q g PH 2 Z x ff f, r Z g x , + b f, r | -
46r.L26.1 | f46r | x + g q ff S 4 : : PH Z r x g ff i: p q ff q ff S q ff : : f o 63 g , q r q S g x ff b q ff q ff g x + ff J S ff : : a Z f, | -
46r.L27.1 | f46r | ff r q x Z r S ff g , x 4 x g ff g i: q ff r u g Cm b LS 61 g S 63 g i: 4 x Cm g q ff i: x u 63 b + x PH 4 q x 4 | -
46r.L28.1 | f46r | 71 ff o : : Cm g x , d , g , a r 4 S , b S ff i: ff ff L , x g , : : q 63 g S 63 f, x : : ff PH q q , 80 x ff g PH ff f 4 a | -
46r.L31.1 | f46r | S S ff g ff : : r x , 6 S r a x Cm r 4 g ff b S ff x o S ff a p | -
46v.L01.1 | f46v | 72 f, g S , o + g ff 63 y q b x: o 63 g g y: ff 63 y 4 6 x: f x: f 17 ff g S + r x 63 61 S y: g + g q LS + x | -
46v.L02.1 | f46v | r , g , o 63 g y: ff d , g 4 a b S ff + x g a q r + x g PH : : r g : : x g x , 72 4 y: g ff f, S 12 x , f, | -
46v.L03.1 | f46v | x 4 Cm g + a y: Cm ff g q 4 g p ff r , ff Cm S g + x n 63 | -
46v.L03.2 | f46v | 6 g ff x n | -
46v.L04.1 | f46v | + , x 4 S x , : : f | -
46v.L04.2 | f46v | Cm g 4 : : f, ff q ff S S LS q f 70 ff b 63 4 q : : | -
46v.L05.1 | f46v | 4 x Cm q : : g q ff r 4 f b 4 q Z S + x : : ff | -
46v.L06.1 | f46v | f, g 4 a : : + r S p ff x 4 g ff r Z g | -
46v.L07.2 | f46v | g , g 4 71 ff g q Cm r 4 | -
46v.L08.1 | f46v | g LS 63 ff p | -
46v.L09.1 | f46v | b S ff 63 x , g q ff 4 6 x: f LS 17 ff x 4 r | -
46v.L11.1 | f46v | e , a , g ff : : S 6 q b S Cm PH f, b 71 67 x , f, g g + x PH ff y | -
46v.L12.1 | f46v | d : : ff 4 6 x: Z q B S , | -
46v.L12.2 | f46v | f, LS ff : | -
46v.L13.1 | f46v | + b f, r x ff g ff g q S b + : : q Cm ff + g LS y: ff g , x Cm r 4 g 4 g ff J , q , ff g , | -
46v.L14.1 | f46v | x g ff r : : Cm r 4 x r ff f, x , 6 x: f, g PH Cm ff ff g | -
46v.L14.2 | f46v | 72 63 g + g x 63 y ff g x ff g PH f x | -
46v.L22.1 | f46v | f, x ff x ff m S PH Cm : : r 4 x , g q x , d , q , r + x g Z g ff r + x q ff S Cm ff r x: 4 q 2 Z b S | -
46v.L23.1 | f46v | 4 L , f, LS x: x + g r + a f x ff f, LS 48 17 | -
46v.L24.1 | f46v | x 4 b PH ff o q Cm r g , S , q Cm b 71 + x ff g ff g ff 3 g 4 PH g , x , q Cm y f, 48 + x ff | -
46v.L25.1 | f46v | f, x , S ff g ff g q , r + x q 63 b + x o ff g g Z r ff g ff g , f, x 4 71 x 4 : : x x g LS LS | -
46v.L26.1 | f46v | LS Z Cm : : g x , r 4 0 63 63 g y: 6 g a 17 | -
46v.L27.1 | f46v | 72 x Cm x r 4 LS , LS 4 8 x + g PH 4 9 | -
46v.L28.1 | f46v | f, g 4 0 4 a y: PH 63 o r x g g , S , q ff b 71 ff g LS y: 4 5 ff x + + g 4 x: 44 g ff | -
46v.L29.1 | f46v | r 4 g ff b + g q 63 g , : : + S + g q Z ff 6 | -
46v.L31.1 | f46v | 4 ff y ff EP Z g q f, + g q Cm x r EP Z q ff q ff 6 | -
46v.L32.1 | f46v | g , Cm g PH ff r + 63 e f Cm r r Z Cm r f, LS 17 ff x ff q g ff r | -
47r.L01.1 | f47r | g , b PH ff o q Cm r 4 o 63 g Cm p S : : a | -
47r.L02.1 | f47r | f, LS 48 g ff r 4 6 g Cm + : : r g o ff x g PH 4 g q S | -
47r.L04.1 | f47r | x: g ff b 63 g x 4 a Z g q g Cm x n f, | -
47r.L05.1 | f47r | S , o 63 g q , g , q y: PH r , | -
47r.L06.1 | f47r | Cm x , 72 ff : : LS g ff LS 4 a q b ff g f g g x g PH | -
47r.L07.2 | f47r | g , 4 h r ff h T d Cm x Z p r | -
47r.L10.1 | f47r | y ff p 17 p | -
47r.L13.1 | f47r | f, g r , + f, g x , S f, 72 4 5 ff g + f, g | -
47r.L14.1 | f47r | x , S f, a , + x ff g 4 x Cm q a ff x: q , q Z o r ff q ff b 71 q , f, g PH Cm ff ff g 4 o 63 g 66 x + r | -
47r.L15.1 | f47r | g q PH + : : b S ff f b : : ff p r | -
47r.L15.2 | f47r | ff S f, r x f LS q a , o ff g g Cm r | -
47r.L16.1 | f47r | 4 S + : : PH ff r q c 63 g : : r LS Cm | -
47r.L16.2 | f47r | o , : : g a + LS Cm 4 g ff | -
47r.L26.1 | f47r | 66 ff : : + 71 ff g ff Cm r g f, LS 12 | -
47r.L28.1 | f47r | + b g , r 4 71 61 b + g e r g ff f, b + g e Cm f, x , 72 S : : a 4 ff Cm y b + x PH : : g Cm x , | -
47r.L31.1 | f47r | 67 q r + : : n f, r x f g S 4 9 | -
47v.L01.1 | f47v | f, r ff a f x ff x 31 x: S q ff q x + x g Cm g | -
47v.L02.1 | f47v | ff , 4 x g b ff : r p S : 72 x , 4 72 4 g PH Cm : : 63 r ff 66 ff : ff 71 f g PH 4 S ff g 61 S o 4 g b S ff | -
47v.L03.1 | f47v | r b ff g q ff x 28 | -
47v.L03.2 | f47v | b ff g 63 o Cm ff x ff g ff g b ff : : g Cm LS ff g b ff 63 6 S f, x g PH ff x , f, x r 4 g q f, o ff g q Cm x r b 4 g ff 6 | -
47v.PS2.1 | f47v | 0 63 x ff 63 r f, : : Cm r x , | -
47v.PS3.1 | f47v | + b S ff r x + 8 o LS q Z g , r b S Cm : : Z r x , ff p p ff LS PH h | -
