# cipher spans of f. 46r (22 Nov 1601), extracted from reading_22nov.md
L02.1 | f46r | 73 g m t f q m 4 71 i: 12 x Z g , m r b LS m c b S ff g PH Z Z | -
L05.1 | f46r | t: f, r 63 g o Z b h p ff ) x: g n Z p r | -
L06.1 | f46r | i: n Z x Z f e Z S ff j LS Cm b t r PH Cm g o t ff m 4 LS p EP g , m x Z g b 63 71 | -
L07.1 | f46r | f, p r f ff y S , x Cm r ff x 4 e , q x ff g , 73 | -
L08.1 | f46r | f, c r g PH Cm r p Cm q ff c r g | -
L09.1 | f46r | f, S 12 72 4 S i: r 4 S + | -
L10.1 | f46r | x LS ff g 4 x 4 S PH r 4 8 r + LS m 63 PH | -
L10.2 | f46r | r 44 ff g , x Cm r 4 g ff x ff m f LS b f, f 4 g | -
L11.1 | f46r | x 63 g q + g x 63 PH | -
L11.2 | f46r | g , p t a ff x 28 | -
L12.1 | f46r | + Cm q ff g : : x o r x m g i: 7 f, g o y: Cm + g g b h y LS y LS ff Cm y + x 4 g ff ff r i: g + r | -
L13.1 | f46r | x 63 r , q S ff x g q ff g q i: f , g 4 i: i: f 4 4 g | -
L14.1 | f46r | 63 q ff g 4 ff Cm r r | -
L15.1 | f46r | g 4 4 x , r Cm d | -
L15.2 | f46r | 20 x f, S 12 | -
L17.1 | f46r | ff g o 63 : : ff p r | -
L18.1 | f46r | x 4 o 63 S ff g x ff + r f, x ff b q 67 a o ff r q Cm r f, g x 4 Cm g g PH 4 q ff q ff g x 4 S r f, g : : q x f ff r g | -
L19.2 | f46r | f, q ff x o g f, : : r Cm ff r 4 63 b t g f m g q 63 q 63 g | -
L20.1 | f46r | f, m Cm g 63 g | -
L20.2 | f46r | x b t g q ff x , g ff p ff b S g q Cm g o r 4 q Cm x , | -
L21.1 | f46r | q 63 g Cm Cm x r b Cm f, + 63 g : : ff r g Cm r | -
L22.1 | f46r | b x ff f, g PH Cm ff g r q f r + x y: f, g PH 4 S ff ff 4 x 63 u n f, ff i: Z 4 ff f, S x + g 4 f, f u g | -
L23.2 | f46r | n x ff f, 48 + Cm Z + 63 g ff i: S , S , o + g ff r x , S d : : ff i: ff g | -
L24.1 | f46r | 66 q g , ff | -
L24.2 | f46r | f, : : Cm g x + r 63 : : f q | -
L24.3 | f46r | 4 0 63 g | -
L25.1 | f46r | i: S 63 o 63 x Cm 63 4 69 i: g q , g b Cm ff S 4 r b S ff : : Cm g x , + r Cm ff g q g PH 2 Z x ff f, r Z g x , + b f, r | -
L26.1 | f46r | x + g q ff S 4 : : PH Z r x g ff i: p q ff q ff S q ff : : f o 63 g , q r q S g x ff b q ff q ff g x + ff J S ff : : a Z f, | -
L27.1 | f46r | ff r q x Z r S ff g , x 4 x g ff g i: q ff r u g Cm b LS 61 g S 63 g i: 4 x Cm g q ff i: x u 63 b + x PH 4 q x 4 | -
L28.1 | f46r | 71 ff o : : Cm g x , d , g , a r 4 S , b S ff i: ff ff L , x g , : : q 63 g S 63 f, x : : ff PH q q , 80 x ff g PH ff f 4 a | -
L31.1 | f46r | S S ff g ff : : r x , 6 S r a x Cm r 4 g ff b S ff x o S ff a p | -
