0	c
10	q
10¨	ra
11	a
11¨	re
12¨	ri
13¨	ro
14¨	ru
15	a
15¨	sa
16	m
16¨	se
17	u
17¨	si
18	s
18¨	so
19	a
19¨	su
1¨	pi
20	t
20¨	ta
21	m
21¨	te
22¨	ti
23	v
23¨	to
24	h
25	z
25'	ba
25¨	tu
26	h
26'	be
26¨	va
27	e
27'	bi
27¨	ve
28'	bo
28¨	vi
29	o
29'	bu
2¨	po
3	m
30'	ca
30¨	vo
31	a
31'	ce
32	a
32'	ci
32¨	vu
33	q
33'	co
33¨	xa
34	n
34¨	xe
35	p
35'	cu
36'	da
36¨	xi
37¨	xo
38	o
38'	de
38¨	xu
39'	des
39¨	za
3¨	pour
4	q
4-	f
40	e
40¨	ze
41'	di
41¨	zi
42	v
42'	do
42¨	zo
43	r
43'	du
43¨	zu
44'	est
45	e
45'	et
46'	fa
47'	fe
48'	fi
4=	u
4¨	pu
50'	fo
51'	fu
53'	ga
54'	ge
55'	gi
56'	go
58'	gu
59'	ha
5¨	qua
60'	he
61'	hi
63'	ho
64'	hu
66'	il
67'	ja
69'	je
6¨	que
7	u
71'	ji
73'	jo
74'	ju
76'	la
77'	le
78'	li
79'	lo
79‾	protecteur
7¨	qui
80'	lu
81'	ma
81‾	neanmoins
82'	me
83‾	naudin
84'	mi
85'	mo
85‾	honneur
87'	mu
87‾	france
88'	na
89‾	accommodement
8¨	quo
9	s
90'	ne
91'	ni
91‾	satisfaction
92'	no
93'	nu
93‾	aurait
95'	on
95‾	conseil
96'	ou
96=	o
97'	pa
99'	pe
H	o
b	y
d	e
d-	t
e	p
ff	d
h	d
ll	j
m	e
o	s
on	x
p	b
pd	e
q	r
q=	p
u	e
w	n
x	u
x-	n
y	i
θ	d
λ	l
φ	e
〃	g
