# BL Add MS 32263 f.1 (DECODE R7537): "To Mr. Bordeaux French M.r at London 1653 / Key & Calculation"
# English worksheet: settled values in the right-hand boxes; left column = candidate lists (not used here).
# format: token<TAB>value ; '?' after value = faint/uncertain on the sheet
# plain numbers = alphabet
15	a
16	b
17	c
18	d
19	e
20	f
21	g
22	h
23	i
24	k
25	l
26	m
27	n
28	o
29	p
30	q
31	r
32	s
33	t
34	u
35	x
36	y
37	z
# prime series
19'	negociation
25'	pa
26'	pe
28'	po
31'	pour
32'	par
38'	qui
39'	que
42'	ra
43'	re
44'	ri?
45'	ro?
53'	se
54'	si
55'	so
63'	te
65'	to
73'	ve
74'	vi
75'	vo
79'	vous
# two-dot series
20¨	de
21¨	di
22¨	do
23¨	du
24¨	dans
28¨	et
29¨	estre
32¨	estat
37¨	fa
38¨	fe
39¨	fi
40¨	fo
41¨	fu
42¨	fort
52¨	ga
60¨	ha
61¨	he
62¨	hi
63¨	ho
64¨	hu
72¨	il
73¨	la
74¨	le
75¨	li
76¨	lo
77¨	lu
78¨	les
83¨	leurs
84¨	ma
85¨	me
86¨	mi
87¨	mo
96¨	na
97¨	ne
98¨	ni
99¨	no
100¨	nu
# overbar series
75‾	Angleterre?
83‾	ba
84‾	be
85‾	bi
86‾	bo
87‾	bu
89‾	bien
90‾	bon
93‾	ca
94‾	ce
95‾	ci
96‾	co
97‾	cu
# graphic signs ("Principal" list)
u	n
m	e
a	r
