# values beyond the R7537 sheet: interpolated in the alphabetical series, or fixed from context (2026-09-18)
27'	pi
29'	pu
40'	quoy
41'	quand
52'	sa
56'	su
62'	ta
64'	ti
66'	tu
72'	va
76'	vu
85'	me?
99'	no
16¨	comme
19¨	da
49¨	ge
53¨	General
66¨	ja
67¨	je
68¨	ji
69¨	jo
70¨	ju
79¨	leur
25‾	{25‾}
28‾	{28‾}
31‾	Parlement?
43‾	{43‾}
79‾	fair?
396‾	{396‾}
332	{332}
344	{344}
3	y
7	s
10	{10}
11	n
38	et
40	fo
42	ra
43	re
53	se
54	si
63	te
76	lo
97	ne
99	no
x	o
x p	a
p	p
d	u
δ	n
)	n
q	i
ll	r
4-	s
4=	s
≠	g
h	p
H	z
e	z
9	i
φ	y
λ	s
θ	i
ω	n
o	x
y	p
ff	t
〃	n
96=	co
45	ro
77	lu
5¨	li?
07¨	je
