line,idx,token
1,0,[clear: bon principio de Indrizare tutte le cose de qua in mane suo]
1,31,).
1,32,6
1,33,q
1,34,d
1,35,o-
1,36,e
1,37,M.
2,0,c
2,1,r
2,2,3
2,3,o-
2,4,n
2,5,p|
2,6,//
2,7,x
2,8,q
2,9,)
2,10,v
2,11,r
2,12,f
2,13,d
2,14,n
2,15,8
2,16,x
2,17,//
2,18,d
2,19,c
2,20,3
2,21,//
2,22,d
2,23,q
2,24,g
2,25,L.
2,26,c
2,27,//
2,28,3
2,29,f
2,30,g
2,31,x
2,32,l?
2,33,q^e
2,34,f
2,35,x-
2,36,.?
2,37,b
2,38,n
2,39,q|
2,40a,n
2,40b,f|?
2,41,f
2,42,.?
2,43,g
2,44,e
2,45,-?
2,46,o-
2,47,o-
2,48,.?
2,49,)
2,50,3
3,0,c
3,1,//
3,2,3
3,3,s
3,4,9?
3,5,//
3,6,d
3,7,r
3,8,d
3,9,c
3,10,//
3,11,3
3,12,x
3,13,g
3,14,a-
3,15,r
3,16,x
3,17,//
3,18,a
3,19,d?
3,20,x
3,21,n
3,22,n
3,23,L^a
3,24,d
3,25,3
3,26,p|
3,27,n
3,28,3
3,29,n
3,30,).
3,31,v
3,32,r
3,33,g
3,34,l|
3,35,c
3,36,//
3,37,3
3,38,c
3,39,3
3,40,e
3,41,e
3,42,e|
3,43,n
3,44,3
3,45,x
3,46,//
3,47,b
3,48,n
3,49,x
3,50,//
4,0,3
4,1,n
4,2,i?
4,3,x
4,4,//
4,5,r
4,6,g
4,7,x
4,8,r
4,9,3
4,10,d
4,11,n
4,12,x-
4,13,s
4,14,9
4,15,//
4,16,b
4,17,n
4,18,r
4,19,//
4,20,/
4,21,d
4,22,6
4,23,c
4,24,//
4,25,q^s
4,26,)
4,27,v
4,28,//
4,29,d
4,30,o-
4,31,n
4,32,c
4,33,3
4,34,.
4,35,/
4,36,d
4,37,r
4,38,p|
4,39,n
4,40,a
4,41,n
4,42,9?
4,43,r
4,44,b^o
4,46,x
4,47,n
4,48,s
4,49,.?
4,50,p|
4,51,e
5,0,s
5,1,9
5,2,//
5,3a,n
5,3b,g
5,4,).
5,5,6
5,6,//
5,7,b|
5,8,l|
5,9,b-
5,10,a
5,11,n
5,12,b^o
5,14,x
5,15,n
5,16,v
5,17,//
5,18,3
5,19,o-
5,20,n
5,21,q^a
5,22a,r
5,22b,x
5,23,o-
5,24,v
5,25a,n
5,25b,/
5,26,n
5,27,d
5,28,n
5,29,o-
5,30,)
5,31,s
5,32,g
5,34,n
5,35,e
5,36,b
5,37,//
5,38,9
5,39,r
5,40,b|
5,41,s
5,42,o-
5,43,3
5,44,.?
5,45,x?
6,0,/
6,1,.?
6,2,x
6,3,n
6,4,7?
6,5,s
6,6,b.
6,7,q^e
6,8,s
6,9,9
6,10,//
6,12,m^a
6,13,.
6,14,b^o
6,16,/
6,17,n
6,18,e
6,19,d
6,20,o-
6,21,n
6,22,r
6,23,g
6,24,e.
6,26,-?
6,27,m^o
6,28,s
6,29,e
6,30,g
6,31,x
6,32,v
6,33,q
6,34,r^a
6,35,x
6,36,b
6,37,n
6,38,//
6,39,n
6,40,l|
6,41,-
6,42,.?
6,43,f
6,44,c
6,45,n
6,46,b
6,47a,b-
6,47b,9?
7,0,c?
7,1,3?
7,1b,//
7,2,d
7,3,o-
7,4,c
7,5,s
7,6,9
7,7,//
7,9,n
7,10,g
7,11,r
7,12,o
7,12b,.
7,13,o
7,14,r
7,15,s
7,16,.
7,17,x
7,18,n
7,19,/
7,20,d
7,21,3
7,22,d
7,23,//
7,24,q
7,25,o-
7,26,3
7,27a,r
7,27b,x
7,28,d
7,29,n
7,30,r
7,31,d
7,32,o-
7,33,3
7,34,n
7,35,e
7,36,q^a
7,37,x
7,38,r
7,39,g
7,40,-
7,41,.?
7,42,o-
7,43a,r
7,43b,b^o
7,44,x?
7,45,-?
8,0,n
8,1,3
8,2,s
8,3,r
8,4,-?
8,5,d
8,6,3
8,7,q^s
8,8,9
8,9,r
8,10,v
8,11,//
8,12,e.
8,13,x
8,14,//
8,16,d
8,17,n
8,18,o
8,19,//
8,20,q^a
8,21,o-
8,22,3
8,23,c
8,24,r
8,25,3
8,26,o-
8,27,n
8,28,q^e
8,29,r
8,30,d
8,31,n
8,32,l
8,33,s
8,34,.
8,35,x
8,36,//
8,37,)
8,38,6
8,39,//
8,40,b
8,41,o-
8,42,3?
8,43,x
8,44,l
8,45,n
8,46,c
8,47,c?
8,48,.?
8,49,-?
9,0,3
9,1,n
9,2,a
9,3,r
9,4,d
9,5,o-
9,6,n
9,7,x
9,8,3
9,9,//
9,11,o-
9,12,e
9,13,c
9,14,//
9,15,3
