line,idx,value
1,31,q
1,32,u
1,33,e
1,34,s
1,35,t
1,36,o
1,37,Ser.mo Re
2,0,p
2,1,a
2,2,r
2,3,t
2,4,i
2,5,t
2,6,e
2,7,d
2,8,e
2,9,q
2,10,u
2,11,a
2,12,a
2,13,l
2,14,i
2,15,8
2,16,d
2,17,e
2,18,l
2,19,p
2,20,r
2,21,e
2,22,s
2,23,e
2,24,n
2,25,te
2,26,p
2,27,e
2,28,r
2,29,a
2,30,n
2,31,d
2,32,a
2,33,re
2,34,a
2,35,d
2,36,-
2,37,u
2,38,i
2,39,e
2,40,nn
2,41,a
2,42,-
2,43,n
2,44,o
2,45,r
2,46,t
2,47,a
2,48,-
2,49,"?7-sign(49+50=one_sign,cf.L6.4)"
2,50,?7-sign(part)
3,0,p
3,1,e
3,2,r
3,3,c
3,4,h
3,5,e
3,6,l
3,7,a
3,8,s
3,9,p
3,10,e
3,11,r
3,12,a
3,13,n
3,14,z
3,15,a
3,16,d
3,17,e
3,18,l
3,19,a
3,20,d
3,21,i
3,22,e
3,23,ta
3,24,l
3,25,o
3,26,t
3,27,i
3,28,r
3,29,i
3,30,q
3,31,u
3,32,a
3,33,n
3,34,ta?(barred-l;to?)
3,35,p
3,36,e
3,37,r
3,38,p
3,39,r
3,40,o
3,41,p(round-e)
3,42,r(E-form)
3,43,i
3,44,o
3,45,d
3,46,e
3,47,s
3,48,i
3,49,d
3,50,e
4,0,o
4,1,i
4,2,?E-form(r?)
4,3,d
4,4,e
4,5,a
4,6,n
4,7,et
4,8,a
4,9,r
4,10,l
4,11,i
4,12,et
4,13,c
4,14,h
4,15,e
4,16,s
4,17,i(3-minim_m)
4,18,a
4,19,e
4,20,-
4,21,l
4,22,u
4,23,e
4,24,-
4,25,ro
4,26,q
4,27,u
4,28,e
4,29,s
4,30,t
4,31,i
4,32,p
4,33,r
4,34,-
4,35,e
4,36,l
4,37,a
4,38,t
4,39,i
4,40,m
4,41,i
4,42,h
4,43,a
4,44,no
4,45,-
4,46,d
4,47,i
4,48,c
4,49,-
4,50,t
4,51,o
5,0,c
5,1,h
5,2,e
5,3,in
5,4,q
5,5,u
5,6,e
5,7,s
5,8,ta
5,9,ca
5,10,m
5,11,i
5,12,no
5,13,-
5,14,d
5,15,i
5,16,u
5,17,e
5,18,r
5,19,t
5,20,i
5,21,ra
5,22a,a
5,22b,d
5,23,t
5,24,u
5,25,nn?(m-slash)
5,26,i
5,27,s
