line,idx,token
1,0,[clear: Lo]
1,2,r
1,3,a
1,4,m~
1,5,m^a
1,6,l
1,7,q^e
1,9a,x
1,9b,//
1,10,a
1,11,/?
1,12,p|
1,13,6
1,14,3
1,15,b
1,16,//
1,18,r
1,19,g
1,20,b
1,21,q^a
1,23,o
1,24,u?
1,25,r
1,26,c
1,27,g
1,28,r
1,29,m^u
1,30,a
1,31,l
1,33,c
1,34,e
1,35,a
1,36,l
1,37,l
1,38,a
1,39,d
1,40,3
1,41,m.
1,43,d
1,44,3
1,45,r?
2,0,e
2,1,d
2,2,x
2,3,c
2,4,4
2,5,d
2,6,n
2,7,c
2,8,3
2,9,//
2,10,d
2,11,/
2,12,l.
2,14,r
2,15,f
2,16,d
2,17,s
2,18,6
2,19,b^t-
2,20,m~
2,21,q^s
2,22,b^t-
2,23,m^u
2,25,b^o
2,27,w~?
2,28,p|
2,29,r
2,30,l
2,31,m^o
2,33,b
2,34,x
2,35,e|?
2,36,e
2,37,3
2,38,m
2,39,.?
3,0,a
3,1,3
3,2,d
3,3,l.
3,4,c
3,5,e
3,6,d
3,7,l.
3,8,r?
3,9,c
3,10,//
3,12,3
3,13,).
3,14,6
3,15,r
3,17,g
3,18,l
3,19,e
3,20,3
3,21a,n
3,21b,//-
3,22,E
3,23,n
3,24,g
3,25,p|
3,26,//
3,27,w~?
3,28,x
3,29,//
3,30,q^e
3,31,6
3,32,d
3,33,+
3,34,b
3,35,3
3,36,r
3,37,d
3,38,q
3,39,r
3,40,d
3,41,b
3,42,.
3,43,3
3,44,l?
3,45,r?
4,0,b
4,1,m^e
4,3,m^e
4,4,p|
4,5,3
4,6,r
4,7,s
4,8,l^a
4,9,r
4,10,g
4,11,b
4,12,q^a
4,14,m^e
4,15,b
4,16,x
4,17,//
4,18,c
4,19,3
4,20,e
4,21,q^s
4,23,g
4,24,r
4,25,4?
4,26,3
4,27,b^e-
4,28,u
4,29,v
4,30,c
4,31,r
4,32,s
4,33,n
4,34,w~?
4,35,b-?
4,36,-
4,37,/?
5,0,).
5,1,6
5,2,//
5,3,m^e
5,4,3
5,5,e
5,6,e
5,7,l.
5,8,q^s
5,9,m
5,10,g
5,11,o-
5,12,//
5,13,g
5,14a,x
5,14b,//
5,15,q
5,17,c^e
5,18,m
5,19,6
5,20,.
5,21,S.
5,22,d
5,23,p|
5,24,3
5,25,r
5,26,d
5,27,3
5,28,m^o
5,29,8
5,30,u
5,31,n
5,32,d.
5,33a,b
5,33b,i
5,34,q^s
5,35,r
5,36,d.
5,37,a
5,38,/
6,0,d
6,1,/
6,2,).
6,3,6
6,4,r
6,6,d
6,7,//
6,8,6
6,9,e
6,11,8
6,12,d
6,13,n
6,14,3
6,15,x?
6,16,m^o
6,17,r
6,18a,s
6,18b,//
6,19,3
6,20,l^a
6,22,x?
6,23,x
6,24,/
6,26a,x
6,26b,o~
6,27,u
6,28,3
6,30,g
6,31,a
6,32,r
6,33,g
6,34,s
6,35,f
6,36,w
6,37,b^o-?
7,0,n
7,1,g
7,2a,6?
7,2b,//
7,5,4?
7,6,8
7,7,r
7,8,q^e
7,10,÷
7,11,w
7,12,-
7,13,[clear: a la Ex.tia vra me recomando. Vienne ...]
