line,idx,value
1,0-5,[clear: La Ex.tia vra]
1,6,i
1,7,n
1,8,-
1,9,t
1,10-11,e
1,12,n
1,13,d
1,14-15,e
1,16,a
1,17,d
1,18,q
1,19-20,u
1,21,a
1,22,l
1,23,i
1,24,t
1,25-26,e
1,27,r
1,28,-
1,29,m
1,30,i
1,31-32,n
1,33,e
1,34,l
1,35,a
1,36,p
1,37,r
1,38,a
1,39,ti
1,40,ca
1,41,d
1,42,-
1,43,e
1,44,p
1,45,a
1,46,ce
1,47,et
1,48,p
1,49,e
1,50,r
1,51,-
1,52,co
1,53,n
1,54-55,se
1,56,q
1,57,u
1,58,e
1,59,n
1,60,te
2,0,q
2,1,u
2,2-3,e
2,4,s
2,5,-
2,6,t
2,7,a
2,8,d
2,9,i
2,10,-
2,11-12,e
2,13,ta
2,14,q
2,15,u
2,16-17,e
2,18,s
2,19,t
2,20,o
2,21,[Ser.mo Re de Hungaria]
2,22-23,e
2,24,t
2,25-26,e
2,27-28,ne
2,29,-
2,30-31,ro
2,32,d
2,33-34,e
2,35,l
2,36,h
2,37,o
2,38-39,no
2,40-41,re
2,42,s
2,43,u
2,44,o
2,45,co
2,46,m
2,47,o
2,48,h
2,49-50,o
2,51,s
2,52,c
2,53,r
2,54,i
2,55,p
2,56,t
2,57,o
2,58,a
2,59,l
2,60,t
2,u60,r
2,61,-
2,62,e
2,u62,u
2,63,o
2,64,l
2,65,te
2,66,-
3,0,n
3,1,o
3,2,n
3,3-4,e
3,5,d
3,6,u
3,7,t
3,8,i
3,9,o
3,10,c
3,11,h
3,12,e
3,13,-
3,14,l
3,15,u
3,16,?thin-vertical-stroke
3,17,no
3,18,d
3,19,e
3,20-21,si
3,22,?o-with-dot-above
3,23,d
3,24-25,e
3,26,ra
3,27,l
3,28,a
3,29,p
3,30,a
3,31-32,ce
3,33-34,et
3,35,n
3,36,o
3,37,n
3,38,t
3,39,a
3,40,n
3,41,to
3,42,p
3,43,e
3,44,?double-slash-second
3,45-46,ro
3,47,c
3,48,-
3,49,h
3,50,e
3,51,q
3,52,u
3,53,a
3,54,n
3,55,e
3,56,i
3,57,n
3,58,-
3,59,a
3,60,t
3,61,e
3,62,i
3,u62a,u
3,u62b,h
3,63,u
3,64,-
3,65,-
4,0,-
4,1,-
4,2,m
4,3,i
4,4,n
4,5-6,e
4,7,et
4,8,o
4,9a,i
4,9b,t
4,10,e
4,11,e
4,12,l
4,13,i
4,14,a
4,15-16,ne
4,17,d
4,18,e
4,19,l
4,20,a
4,21,e
4,22,n
4,23,t
4,24,i
4,25,i
4,26,-
4,27,t
4,28,i
4,29,-
4,30-31,ne
4,32,s
4,33,c
4,34,a
4,35,n
4,36,o
4,37,t
4,38,u
4,39,p
4,40,e
4,41,-
4,42,a
4,43,ne
4,44,o
4,45,ro
4,46-47,ra
4,48,h
4,49,-
4,50,h
4,51,a
4,52,-
4,53,-
4,54-55,sa
4,56,m
4,57,a
4,58,i
4,59,t
4,60,?small-hook
4,61,?superscript-dot
4,62,e
5,0,a
5,1,n
5,2,d
5,3,a
5,4-5,re
5,6,a
5,7,d
5,8,l
5,9,a
5,10,d
5,11-12,i
5,13,e
5,14,t
5,15,a
5,16-17,t
5,18,e
5,19,t
5,20,n
5,21,c
5,22,h
5,23,e
5,24,n
5,25,n
5,26,to
5,27-28,ra
5,29,e
5,30,i
5,31,n
5,32,e
5,33,-
5,34,o
5,35,n
5,36,u
5,37-38,e
5,39,d
5,40,a
5,41a,l
5,41b,t
5,42,-
5,43,-
5,44,d
5,45,a
5,46,-
5,47,a
5,48,l
5,49,-
5,50,n
5,51,te
5,52,d
5,53,e
5,54,i
5,55,-
5,56,i
5,57,ta
5,58,-
5,59,p
5,60,e
5,61,-
5,62,e
5,63,?small-c-form
5,64,-
5,65,?q-form-faint
6,0,n
6,1,o
6,2,n
6,3-4,se
6,5,n
6,6,l
6,7,i
6,8,p
6,9,o
6,10,t
6,11-12,e
6,13a,i
6,13b,e
6,14,e
6,15,i
6,16,m
6,17,p
6,18,u
6,19,t
6,20,a
6,21,re
6,22,c
6,23,-
6,24,h
6,25,e
6,26,i
6,27,e
6,28,-
6,29,r
6,30,l
6,31-32,n
6,33,i
6,34,-
6,35,t
6,36,o
6,37,i
6,38,et
6,39,e
6,40,ro
6,41,nn
6,42,a
6,43,l
6,44,p
6,45,r
6,46,a
6,47,t
6,48,i
6,49,ca
6,50,n
6,51,l
6,52,a
6,53,-
7,0,p
7,1,a
7,2,-
7,3,re
7,4,a
7,5,n
7,6,c
7,7,h
7,8-9,e
7,10,d
7,11,u
7,12-13,ro
7,14,a
7,15-16,n
7,17,d
7,18,-
7,19,o
7,20,l
7,21,i
7,22,p
7,23-24,e
7,25,r
7,26,n
7,27,o
7,28,n
7,29,n
7,30-31,re
7,32,n
7,33,i
7,34-35,e
7,36,n
7,37,te
7,38,a
7,39,-
7,40,-
7,41,r
7,42,i
7,43,-
7,44,e
7,45,u
7,46,e
7,47,o
7,48-49,ne
7,50,l
7,51,c
7,52,u
7,53,-
7,54,r
7,55-56,no
7,57-58,et
7,59,p
7,60,e
7,61,ro
8,0,d
8,1,e
8,2-3,so
8,4,d
8,5,e
8,6,ra
8,7,n
8,8,a
8,9,n
8,10,a
8,11,u
8,12,e
8,13,r
8,14,e
8,15,l
8,16,m
8,17,i
8,18,ta
8,19,-
8,20,re
8,21,d
8,22,a
8,23,e
8,24,s
8,25,n
8,26,e
8,27,l
8,28,o
8,29,-
8,30,n
8,31,c
8,32,e
8,33,r
8,34,ti
8,35,n
8,36,s
8,37,co
8,38,-
8,39,a
8,40,n
8,41,d
8,42,-
8,43,re
8,44,a
8,45,a
8,46,i
8,47,p
8,48,i
8,49,n
8,50,-
8,51,-
8,52,i
8,53,-
8,54,a
8,55,n
8,56,d
8,57,r
8,58,-
9,0,l
9,1,i
9,2,-
9,3-4,i
9,5a,i
9,5b,o
9,5c,e
9,6,e
9,7-8,re
9,9,p
9,10a,-
9,10b,t
9,11,e
9,12-13,p
9,14,d
9,15,i
9,16,s
9,17,p
9,18,o
9,19,l
9,20,-
9,21,t
9,22,o
9,23,a
9,24,l
9,25,a
9,26,p
9,27,a
9,28,c
9,29-30,i
9,31,a
9,32,c
9,33,o
9,34,-
9,35,-
9,36,o
9,37,c
9,38-39,i
9,40,l
9,41,-
9,42,t
9,43,o
9,44,se
9,45,c
9,46,o
9,47-48,-
9,49,t
9,50-51,i
9,52,?tall-l-with-e-(te?)
9,53,n
9,54,a
9,55,a
9,56,u
9,57,a
9,58,o
9,59,-
9,60,-
10,0,?v-form
10,1,o
10,2,c
10,3,h
10,4,o
10,5-6,ra
10,7,c
10,8,h
10,9,e
10,10,?7-sign
10,11,-
10,12,r
10,13,a
10,14a,i
10,14b,et
10,15,e
10,16,c
10,17,e
10,18,o
10,19,o
10,20,o
10,21,c
10,22,h
10,23,e
10,24,n
10,25-26,i
10,27,u
10,28,?b-with-superscript-a
10,29,-
10,30,c
10,31,g
10,32,c
10,33,l
10,34,c
10,35,l
10,36,i
10,37,o
10,38-39,ne
10,40-41,ne
10,42,d
10,43,o
10,44,u
10,45,e
10,46,i
10,47,et
10,48,e
10,49,o
10,50-51,i
10,52,u
10,53,l
10,54,c
10,55,i
10,56,re
