
line 23  iopotonrogfimsecharsenr / wtubtrfftrstendinhofsvmnr
    -138.1  with doubt portion from gift first mending she of chairs seven mariner
    -138.4  with doubt portion for of got first mending she of chairs seven mariner
    -138.4  with doubt portion from gift first mending she of chairs seven reminder
    -138.6  with doubt portion for of get first mending she of chairs seven mariner
    -138.7  with doubt portion from gift first mending she of chairs seven mr nor
    -138.7  with doubt portion from gift first mending she of charms seven mariner
    -138.7  with doubt portion for of got first mending she of chairs seven reminder
    -139.0  with doubt portion for of get first mending she of chairs seven reminder
    -139.0  with doubt portion for of got first mending she of chairs seven mr nor
    -139.0  with doubt portion for of got first mending she of charms seven mariner
    -139.1  with doubt portion from gift first mending she of charms seven reminder
    -139.2  with doubt portion for of get first mending she of chairs seven mr nor
    -139.3  with doubt portion for of get first mending she of charms seven mariner
    -139.3  with doubt portion roof gift first mending she of chairs seven mariner
    -139.3  with doubt portion from gift first mending she of charms seven mr nor
