
line 1  str / umem
     -20.3  sum term
     -20.8  sum terms
     -24.1  sums term
     -24.2  sum the mr
     -24.3  sum temper
     -24.6  sums terms
     -24.9  um stream
     -25.1  us time mr
     -25.2  swum term
     -25.6  swum terms
     -26.1  scum term
     -26.4  stump term
     -26.5  stumped mr
     -26.5  scum terms
     -26.7  summer term

line 3  catokwacopa / poayatlgerty
     -50.3  cap took away catalogue party
     -53.1  chap took away catalogue party
     -53.9  cap took away catalogue partly
     -54.0  cap took a way catalogue party
     -54.1  cape took away catalogue party
     -54.3  camp took away catalogue party
     -54.3  cap took way a catalogue party
     -54.4  caps took away catalogue party
     -54.8  cap took away at college party
     -54.9  clap took away catalogue party
     -55.0  cap took always catalogue party
     -56.0  carp took away catalogue party
     -56.3  cheap took away catalogue party
     -56.7  chap took away catalogue partly
     -56.7  cap took away at clogged party

line 4  olcabrokorlested / dpeatcnrftin
     -66.3  old cap broke at corner left instead
     -67.5  old cap broke at corner left stained
     -68.1  old cap brooke at corner left instead
     -68.3  old cap broken at corner left instead
     -69.1  old chap broke at corner left instead
     -69.3  old cap brooke at corner left stained
     -69.5  old cap broken at corner left stained
     -69.6  old cap broke at corner left sainted
     -69.9  old cap broke at corner left stipend
     -70.1  old cape broke at corner left instead
     -70.1  old cape at broke corner left instead
     -70.2  old camp broke at corner left instead
     -70.3  old chap broke at corner left stained
     -70.4  old caps broke at corner left instead
     -70.5  old cap broke at corner left insisted

line 5  coomemega / nvtinrdn
     -36.2  convention me me garden
     -36.6  conviction me me garden
     -40.0  conversation me me garden
     -40.5  convention member garden
     -40.6  convention me me guardian
     -40.7  convention me me gardens
     -40.8  convention me men garden
     -40.8  convention men me garden
     -40.8  conviction member garden
     -41.0  conviction me me guardian
     -41.1  conviction me me gardens
     -41.2  conviction me men garden
     -41.2  conviction men me garden
     -41.6  convention me merged and
     -41.6  convictions me me garden

line 6  sesipyyocashostikr / dmlurpinrtrcamnr
     -85.8  side simply your captain short stricken arm nor
     -86.5  side simply your captain shorter stick arm nor
     -86.5  side simply your captain shorts trick arm nor
     -86.7  side simply your cap in short stricken arm nor
     -87.4  side simply your cap in shorter stick arm nor
     -87.4  send simply your captain short stricken arm nor
     -87.4  side simply your cap in shorts trick arm nor
     -87.5  side simply your captain short stricken am render
     -87.8  used simply your captain short stricken arm nor
     -88.1  send simply your captain shorter stick arm nor
     -88.1  side simply your captain short stricken arm under
     -88.1  side simply your captain shorter stick am render
     -88.1  send simply your captain shorts trick arm nor
     -88.2  side simply your captain shorts trick am render
     -88.2  side simply your captain short stricken arms nor

line 7  rep / etd
