# Sign inventory rebuilt glyph by glyph from the interlinear glosses of Harley 287 f.75 (R8488), f.79 (R8489) and f.89 (R8493), full-resolution DECODE scans, 21 Sept 2026.
# plain	sign (descriptive name)	attested in glossed words
a	U / ∪ (cup)	at, great, made, means, warres, arrival, authority, hands, al
a	∧ wide caret (probable)	f.80 ARMADA (∧V∽∧ŧ∧) — not glossed
a	c	harken (ϸcγω7ǂǂ) — one case
b	+	by, begin, about
c	8	country, clergy, discours, cardinal, coming, commission, condescend, caried, much
d	∞	desir, discours, made, divers, hands, doth, condescend
d	ŧ barred t (probable)	f.80 ARMADA — not glossed
e	7	passim
f	H barred	of, from, for, forces
g	Ӿ barred x	great, legat, clergy, willing, coming, given, things, angry, argue
h	ϸ stem with bowl to the right, crossed	the, their, this, they, harken, thought, hands, holding, him, much
i	⊥ (inverted T)	infante, their, desir, discours, arrival, willing, coming, things, stil
k	ω	harken
l	ϕ circle crossed by a straight stem	arrival, clergy, legat, willing, al, holding, stil, litle, wel
m	∽ horizontal S with loop	made, means, perform, coming, commission, him, much, may
m	# (plain double cross)	mobility — one case
n	ǂǂ slanted double cross	infante, sent, upon, country, willing, means, sworne, given, condescend, begin
o	z (2-shape)	of, country, discours, our, sworne, perform, to, commission, holding
o	d	upon, action, given out, maior
p	ϑ loop on top, tail sweeping down-left	upon, popes, perswade, prelates, persons, proue, upon
r	V	their, desir, discours, arrival, warres, treat, authority, drawen
r	γ	great, from, our, clergy, sworne, perform, their, for, caried, sonar, angry
s	∧ (same as t in these hands)	desir, discours, sent, popes, means, sworne, warres, persons, things, stil
t	∧	their, great, legat, sent, to, this, treat, thought, stil, the treaty
t	ϕ (probable)	it (⊥ϕ) — one case
u / v	·· (two dots)	discours, our, arrival, divers, given out, about, proue
u	:· 	upon
w	·\ (dot and stroke)	willing, newe, sworne, warres, perswade, was, wel
y	γ	mobility, country, clergy, they, may, angry, authority
—	| vertical bar	word divider inside a run (f.80)
# Code numbers (glossed): 7 = her Majesty (·7· "her Maties"), 10 = Lord Admiral ("L. Ad"), 15 = Duke of Parma ("P: Par", "15 was angry"), 16 = King of Spain ("K. Spa"). ◻ on f.80 is an unglossed code sign.
# Not attested: j, q, x, z. Unexplained signs in the target letters: L (f.88 ϑo··Lǂǂ), K (f.88), ꭓ-like (f.92, perhaps Ӿ), ◻ (f.80).
