index	code	transcribed_group	plaintext
1	15^CircleWithHorizontalBar	1 5^+	waar
2	452	4 5 2	bÿ
3	730^_	7^_ 3^_ 0^_	in
4	833^^	8 3^^ 3	[ge]sloten
5	944^o	^_ 9 4^o 4	waren
6	26	2 6	de
7	"371^"""	3 7^{''} 1	antwoort
8	451^_	^_ 4 5 1	konnen
9	13^_	1^_ 3^_	hot
10	131^_	^_ 1^_ 3^_ 1^_	van
11	209^o	2 0^o 9	tri
12	526^^	5 2^^ 6	ra
13	869^^	8 6^^ 9	n
14	413^^	4 1^^ 3	k
15	884^^	8 8^^ 4	rÿk
16	158	1 5 8	en
17	919^^	9 1^^ 9	spa
18	881	8 8 1	nje
19	379	3 7 9	op
20	25	2 5	de
21	"673^"""	6 7^{''} 3	propositie
22	254^CircleWithHorizontalBar	2^_ 5^+ 4^_	welke
23	815	8 1 5	de
24	"774^"""	7 7^{''} 4	by
25	85	8 5	de
26	370^_	3^_ 7^_ 0	oorlogend
27	31^^	3^^ 1	e
28	13^_	1^_ 3^_	hot
29	375^_	^_ 3 7 5	konde
30	"815^"""	8 1^{''} 5	dezolve
31	216^_	2 1^_ 6	hetten
32	385^_	3^_ 8^_ 5	laaten
33	57	5 7	volgen
34	379	3 7 9	op
35	815	8 1 5	de
36	"487^"""	4 8^{''} 7	bew
37	767^o	7 6^o 7	us
38	251^o	2 5^o 1	te
39	425^^	4 2^^ 5	pre
40	311	3 1 1	l
41	5	5	i
42	976^_	9^_ 7^_ 6	min
43	"127^"""	1 2^{''} 7	ai
44	550^^	5 5^^ 0	res
45	664^^	6 6^^ 4	propositie F
46	26^_	^_ 2 6	
47	"617^"""	6 1^{''} 7	
48	254^CircleWithHorizontalBar	2^_ 5^+ 4^_	welke
49	25	2 5	de
50	62^^	6^^ 2	oost
51	341^^	3 4 1^^	en
52	884^^	8 8^^ 4	rÿk
53	822^^	8 2^^ 2	se
54	750^_	7^_ 5^_ 0^_	Minister F
55	851^CircleWithHorizontalBar	8 5^+ 1	Zondag
56	447^o	4 4^o 7	van Zyn Hof
57	353^^	3 5^^ 3	ontfangen
58	143^_	1^_ 4^_ 3^_	heeft
59	158	1 5 8	en
60	15^CircleWithHorizontalBar	1^_ 5^+	waar
61	131^_	1^_ 3^_ 1^_	van
62	730^_	7^_ 3^_ 0^_	in
63	26	2 6	de
64	749^_	7^_ 4^_ 9^_	mÿne
65	375	3 7 5	aan
66	144^_	1^_ 4^_ 4^_	de Hur
67	590	5 9 0	
68	797	7 9 7	
69	481^_	4 8^_ 1^_	maak?
70	7	7	te
71	527	5 2 7	ver
72	952^_	9^_ 5^_ 2^_	onder
73	851^^	8 5^^ 1	steld
74	39^^	3 9^^	men
75	94^o	9 4^o	dat
76	29^^	2 9^^	
77	112	1 1 2	depeche
78	300^^	^_ 3 0^^ 0	over
79	772	7 7 2	gebr
80	"277^"""	2 7^{''} 7	agt ?
81	143^_	1^_ 4^_ 3^_	heeft
82	"85^"""	8 5^{''}	be
83	208^o	2 0^o 8	trek
84	293^_	2 9^_ 3	ke
85	404^_	4 0^_ 4	lijk
86	7^CircleWithHorizontalBar	7^+	et
87	101^CircleWithHorizontalBar	1^_ 0^+ 1^_	wel
88	379	3 7 9	op
89	26	2 6	de
90	737^o	7 3^o 7	bewuste
91	"371^"""	3 7^{''} 1	antwoort
92	"59^"""	^_ 5 9^{''}	als
93	379	3 7 9	op
94	743	7 4 3	dak?
95	131^_	1^_ 3^_ 1^_	van
96	333	3 3 3	en
97	448	4 4 8	ge
98	311^_	3^_ 1^_ 1^_	land
99	379	3 7 9	op
100	114^^	1 1^^ 4	het
101	126^CircleWithHorizontalBar	1^_ 2^+ 6	zelve
102	856^^	8 5^^ 6	
103	228^_	2 2^_ 8^_	
104	497	4 9 7	even
