page	tokens	decoded	rate
5453.png	232	142	61.207%
5454.png	353	222	62.890%
5455.png	331	227	68.580%
5456.png	265	152	57.358%
5457.png	233	157	67.382%
5458.png	335	214	63.881%
5459.png	388	299	77.062%
5460.png	387	348	89.922%
5461.png	404	356	88.119%
5462.png	386	353	91.451%
5463.png	397	356	89.673%
5464.png	379	325	85.752%
5465.png	388	337	86.856%
5466.png	404	364	90.099%
5467.png	396	344	86.869%
5468.png	419	357	85.203%
5469.png	389	354	91.003%
5470.png	383	339	88.512%
5471.png	387	335	86.563%
5472.png	385	341	88.571%
5473.png	312	273	87.500%
5474.png	331	227	68.580%
5475.png	0	0	0.000%
