index	page	code_1803_notation	transcribed_group	1803_value
1	5453.png	451=	4^__ 5^__ 1^__	
2	5453.png	847=	8^__ 4^__ 7	
3	5453.png	845=	8^__ 4^__ 5	
4	5453.png	701=	7^__ 0^__ 1^__	
5	5453.png	493~	4^_ 9^_ 3^_	
6	5453.png	354~	3 5^_ 4	
7	5453.png	43=	4^__ 3^__	
8	5453.png	"571"""	5^'' 7 1	
9	5453.png	"704716"""	7 0^'' 4  7 1^'' 6	
10	5453.png	"493"""	4^'' 9 3	
11	5453.png	100=	1^__ 0^__ 0^__	sch
12	5453.png	"603"""	6^'' 0 3	get
13	5453.png	"567"""	5^'' 6 7	geallieerd
14	5453.png	"310"""	3^'' 1 0	
15	5453.png	732~	7 3^_ 2^_	te
16	5453.png	"333"""	3^'' 3 3	ga
17	5453.png	"256"""	2^'' 5 6	
18	5453.png	73=	7^__ 3^__	
19	5453.png	"720"""	7^'' 2 0	hoop
20	5453.png	"634"""	6^'' 3 4	
21	5453.png	"226"""	2^'' 2 6	
22	5453.png	87~	8 7^_	articul
23	5453.png	"536"""	5^'' 3 6	
24	5453.png	"411"""	4^'' 1 1	
25	5453.png	415~	4^_ 1^_ 5^_	
26	5453.png	"368"""	3^'' 6 8	
27	5453.png	196=	1^__ 9^__ 6	====
28	5453.png	758=	7^__ 5^__ 8	
29	5453.png	904=	9^__ 0^__ 4	
30	5453.png	849=	8^__ 4^__ 9	
31	5453.png	706^	7^' 0 6	mondgesprek
32	5453.png	671^	6^' 7 1	
33	5453.png	146^	1 4^' 6	inzigt
34	5453.png	779	7 7 9	
35	5453.png	833	8 3 3	
36	5453.png	165~	1^_ 6^_ 5	
37	5453.png	345~	3^_ 4^_ 5	
38	5453.png	497=	4 9^__ 7	Gouvernement
39	5453.png	622=	6^__ 2 2	
40	5453.png	645^	6^' 4 5	
41	5453.png	541^	5^' 4 1	
42	5453.png	547^	5^' 4 7	
43	5453.png	"433"""	4^'' 3 3	zijn
44	5453.png	"417"""	4^'' 1 7	gerduurig
45	5453.png	100=	1^__ 0^__ 0^__	sch
46	5453.png	263	2 6 3	
47	5453.png	"247"""	2^'' 4 7	fin
48	5453.png	"542"""	5^'' 4 2	
49	5453.png	530^	5^' 3 0	meer
50	5453.png	294^	2^' 9 4	
51	5453.png	511^	5^' 1 1	
52	5453.png	215^	2^' 1 5	
53	5453.png	444^	4 4^' 4	magt
54	5453.png	917^	9^' 1 7	omtrend
55	5453.png	898^	8^' 9 8	
56	5453.png	124~	1^_ 2^_ 4	
57	5453.png	971^	9^' 7 1	
58	5453.png	456=	4^__ 5^__ 6	
59	5453.png	200~	2^_ 0^_ 0	men
60	5453.png	302~	3^_ 0^_ 2	
61	5453.png	968^	9^' 6 8	
62	5453.png	572~	5^_ 7^_ 2	
63	5453.png	345~	3^_ 4^_ 5	
64	5453.png	"68"""	6^'' 8	
65	5453.png	953~	^_ 9 5^_ 3	
66	5453.png	"108"""	1^'' 0 8	een
67	5453.png	"621"""	6^'' 2 1	halve
68	5453.png	"788"""	7^'' 8 8	
69	5453.png	"678"""	6^'' 7 8	geschied
70	5453.png	"950"""	9^'' 5 0	
71	5453.png	"410"""	4^'' 1 0	gaan
72	5453.png	"720"""	7^'' 2 0	hoop
73	5453.png	"513"""	5^'' 1 3	egt
74	5453.png	785~	7^_ 8^_ 5	
75	5453.png	954~	9^_ 5^_ 4	eene
76	5453.png	"181"""	1 8^'' 1	
77	5453.png	369=	3^__ 6^__ 9	
78	5453.png	779=	^_ 7^__ 7^__ 9	
79	5453.png	"184"""	1^'' 8 4	
80	5453.png	"34"""	3^'' 4	
81	5453.png	"182"""	1^'' 8 2	
82	5453.png	"113"""	1 1^'' 3	
83	5453.png	"263"""	2^'' 6 3	geduld
84	5453.png	"262"""	2^'' 6 2	gedachte
85	5453.png	709^	7^' 0 9	
86	5453.png	362~	^_ 3^' 6 2	
87	5453.png	677=	6^__ 7^__ 7	
88	5453.png	775=	7^__ 7^__ 5	
89	5453.png	676=	6^__ 7^__ 6	
90	5453.png	"455"""	4^'' 5 5	
91	5453.png	814~	8 1^_ 4	
92	5453.png	"29"""	2^'' 9	
93	5453.png	728~	7^_ 2^_ 8^_	dan
94	5453.png	837^	8^' 3 7	om
95	5453.png	516^	5^' 1 6	====
96	5453.png	525=	5^__ 2^__ 5	
97	5453.png	842=	^_ 8^__ 4^__ 2	
98	5453.png	326~	3 2^_ 6	
99	5453.png	538^	5^' 3 8	
100	5453.png	730^	7^' 3 0	
101	5453.png	357~	^_ 3^' 5 7	
102	5453.png	143^	1^' 4 3	
103	5453.png	670^	6^' 7 0	
104	5453.png	558^	5^' 5 8	
105	5453.png	28~	2^_ 8^_	
106	5453.png	971~	9^_ 7^_ 1	
107	5453.png	63~	6^_ 3^_	afgevaardigt
108	5453.png	424~	4^_ 2^_ 4	ne
109	5453.png	506~	5^_ 0^_ 6	is
110	5453.png	721^	7^' 2 1	
111	5453.png	589^	5^' 8 9	
112	5453.png	149^	1^' 4 9	is
113	5453.png	422^	4^' 2 2	der
114	5453.png	"241"""	2^'' 4 1	
115	5453.png	165~	1^_ 6^_ 5	
116	5453.png	578~	5^_ 7^_ 8^_	ss
117	5453.png	353~	3^_ 5^_ 3	
118	5453.png	896	8 9 6	si
119	5453.png	121	1 2 1	den
120	5453.png	320	3 2 0	
121	5453.png	286=	2^__ 8^__ 6	
122	5453.png	851=	8^__ 5^__ 1	
123	5453.png	404^	4^' 0 4	mijne
124	5453.png	115	1 1 5	de
125	5453.png	510=	5^__ 1^__ 0^__	Bessarabien
126	5453.png	325=	3^__ 2^__ 5	
127	5453.png	851=	8^__ 5^__ 1^__	
128	5453.png	73=	7^__ 3^__	
129	5453.png	417^	4^' 1 7	
130	5453.png	518	5 1 8	
131	5453.png	843	8 4 3	
132	5453.png	567~	5^_ 6^_ 7	
133	5453.png	428~	4^_ 2^_ 8	en
134	5453.png	116~	1^_ 1^_ 6^_	
135	5453.png	572~	5^_ 7^_ 2^_	
136	5453.png	122~	1^_ 2^_ 2^_	gijl
137	5453.png	480^	4^' 8 0	mij
138	5453.png	368^	3^' 6 8	
139	5453.png	664	6 6 4	
140	5453.png	397~	^_ 3 9 7	
141	5453.png	72^	7^' 2	is
142	5453.png	544	5 4 4	
143	5453.png	71^	7^' 1	
