index	page	raw	normalized_group	plaintext
1	5453.png	4^__ 5^__ 1^__	451=	
2	5453.png	8^__ 4^__ 7	847=	
3	5453.png	8^__ 4^__ 5	845=	
4	5453.png	7^__ 0^__ 1^__	701=	
5	5453.png	4^_ 9^_ 3^_	493~	
6	5453.png	3 5^_ 4	354~	
7	5453.png	4^__ 3^__	43=	
8	5453.png	5^'' 7 1	"571"""	
9	5453.png	7 0^'' 4  7 1^'' 6	"704716"""	
10	5453.png	4^'' 9 3	"493"""	
11	5453.png	1^__ 0^__ 0^__	100=	
12	5453.png	6^'' 0 3	"603"""	
13	5453.png	5^'' 6 7	"567"""	
14	5453.png	3^'' 1 0	"310"""	
15	5453.png	7 3^_ 2^_	732~	
16	5453.png	3^'' 3 3	"333"""	
17	5453.png	2^'' 5 6	"256"""	
18	5453.png	7^__ 3^__	73=	
19	5453.png	7^'' 2 0	"720"""	
20	5453.png	6^'' 3 4	"634"""	
21	5453.png	2^'' 2 6	"226"""	
22	5453.png	8 7^_	87~	
23	5453.png	5^'' 3 6	"536"""	
24	5453.png	4^'' 1 1	"411"""	
25	5453.png	4^_ 1^_ 5^_	415~	
26	5453.png	3^'' 6 8	"368"""	
27	5453.png	1^__ 9^__ 6	196=	
28	5453.png	7^__ 5^__ 8	758=	
29	5453.png	9^__ 0^__ 4	904=	
30	5453.png	8^__ 4^__ 9	849=	
31	5453.png	7^' 0 6	706^	
32	5453.png	6^' 7 1	671^	
33	5453.png	1 4^' 6	146^	
34	5453.png	7 7 9	779	
35	5453.png	8 3 3	833	
36	5453.png	1^_ 6^_ 5	165~	
37	5453.png	3^_ 4^_ 5	345~	
38	5453.png	4 9^__ 7	497=	
39	5453.png	6^__ 2 2	622=	
40	5453.png	6^' 4 5	645^	
41	5453.png	5^' 4 1	541^	
42	5453.png	5^' 4 7	547^	
43	5453.png	4^'' 3 3	"433"""	
44	5453.png	4^'' 1 7	"417"""	
45	5453.png	1^__ 0^__ 0^__	100=	
46	5453.png	2 6 3	263	
47	5453.png	2^'' 4 7	"247"""	
48	5453.png	5^'' 4 2	"542"""	
49	5453.png	5^' 3 0	530^	
50	5453.png	2^' 9 4	294^	
51	5453.png	5^' 1 1	511^	
52	5453.png	2^' 1 5	215^	
53	5453.png	4 4^' 4	444^	
54	5453.png	9^' 1 7	917^	
55	5453.png	8^' 9 8	898^	
56	5453.png	1^_ 2^_ 4	124~	
57	5453.png	9^' 7 1	971^	
58	5453.png	4^__ 5^__ 6	456=	
59	5453.png	2^_ 0^_ 0	200~	
60	5453.png	3^_ 0^_ 2	302~	
61	5453.png	9^' 6 8	968^	
62	5453.png	5^_ 7^_ 2	572~	
63	5453.png	3^_ 4^_ 5	345~	
64	5453.png	6^'' 8	"68"""	
65	5453.png	^_ 9 5^_ 3	953~	
66	5453.png	1^'' 0 8	"108"""	
67	5453.png	6^'' 2 1	"621"""	
68	5453.png	7^'' 8 8	"788"""	
69	5453.png	6^'' 7 8	"678"""	
70	5453.png	9^'' 5 0	"950"""	
71	5453.png	4^'' 1 0	"410"""	
72	5453.png	7^'' 2 0	"720"""	
73	5453.png	5^'' 1 3	"513"""	
74	5453.png	7^_ 8^_ 5	785~	
75	5453.png	9^_ 5^_ 4	954~	
76	5453.png	1 8^'' 1	"181"""	
77	5453.png	3^__ 6^__ 9	369=	
78	5453.png	^_ 7^__ 7^__ 9	779=	
79	5453.png	1^'' 8 4	"184"""	
80	5453.png	3^'' 4	"34"""	
81	5453.png	1^'' 8 2	"182"""	
82	5453.png	1 1^'' 3	"113"""	
83	5453.png	2^'' 6 3	"263"""	
84	5453.png	2^'' 6 2	"262"""	
85	5453.png	7^' 0 9	709^	
86	5453.png	^_ 3^' 6 2	362~	
87	5453.png	6^__ 7^__ 7	677=	
88	5453.png	7^__ 7^__ 5	775=	
89	5453.png	6^__ 7^__ 6	676=	
90	5453.png	4^'' 5 5	"455"""	
91	5453.png	8 1^_ 4	814~	
92	5453.png	2^'' 9	"29"""	
93	5453.png	7^_ 2^_ 8^_	728~	
94	5453.png	8^' 3 7	837^	
95	5453.png	5^' 1 6	516^	
96	5453.png	5^__ 2^__ 5	525=	
97	5453.png	^_ 8^__ 4^__ 2	842=	
98	5453.png	3 2^_ 6	326~	
99	5453.png	5^' 3 8	538^	
100	5453.png	7^' 3 0	730^	
101	5453.png	^_ 3^' 5 7	357~	
102	5453.png	1^' 4 3	143^	
103	5453.png	6^' 7 0	670^	
104	5453.png	5^' 5 8	558^	
105	5453.png	2^_ 8^_	28~	
106	5453.png	9^_ 7^_ 1	971~	
107	5453.png	6^_ 3^_	63~	
108	5453.png	4^_ 2^_ 4	424~	
109	5453.png	5^_ 0^_ 6	506~	
110	5453.png	7^' 2 1	721^	
111	5453.png	5^' 8 9	589^	
112	5453.png	1^' 4 9	149^	
113	5453.png	4^' 2 2	422^	
114	5453.png	2^'' 4 1	"241"""	
115	5453.png	1^_ 6^_ 5	165~	
116	5453.png	5^_ 7^_ 8^_	578~	
117	5453.png	3^_ 5^_ 3	353~	
118	5453.png	8 9 6	896	
119	5453.png	1 2 1	121	
120	5453.png	3 2 0	320	
121	5453.png	2^__ 8^__ 6	286=	
122	5453.png	8^__ 5^__ 1	851=	
123	5453.png	4^' 0 4	404^	
124	5453.png	1 1 5	115	
125	5453.png	5^__ 1^__ 0^__	510=	
126	5453.png	3^__ 2^__ 5	325=	
127	5453.png	8^__ 5^__ 1^__	851=	
128	5453.png	7^__ 3^__	73=	
129	5453.png	4^' 1 7	417^	
130	5453.png	5 1 8	518	
131	5453.png	8 4 3	843	
132	5453.png	5^_ 6^_ 7	567~	
133	5453.png	4^_ 2^_ 8	428~	
134	5453.png	1^_ 1^_ 6^_	116~	
135	5453.png	5^_ 7^_ 2^_	572~	
136	5453.png	1^_ 2^_ 2^_	122~	
137	5453.png	4^' 8 0	480^	
138	5453.png	3^' 6 8	368^	
139	5453.png	6 6 4	664	
140	5453.png	^_ 3 9 7	397~	o
141	5453.png	7^' 2	72^	
142	5453.png	5 4 4	544	
143	5453.png	7^' 1	71^	
144	5453.png	2^_ 6^_ 5	265~	
145	5453.png	^_ 9^' 6 9	969~	
146	5453.png	8 5 7	857	
147	5453.png	8^' 6 1	861^	
148	5453.png	^_ 4^__ 6^__ 0	460=	
