transcribed_group	plaintext	evidence
1 1	eerst	R2032 alignment; unique R1040 variant
1 3 8	o	R2032 alignment; unique R1040 variant
1 5 4	d	R2032 alignment; unique R1040 variant
1 5 5	een	R2032 alignment; unique R1040 variant
1^'' 0 8	in	R2052 alignment; unique R1040 variant
1^'' 8 7	t	R2032 alignment; unique R1040 variant
1^__ 0^__ 1^__	hier	R2052 alignment; unique R1040 variant
1^__ 0^__ 7	ver	R2032 alignment; unique R1040 variant
1^__ 1^__ 0^__	f	R2032 alignment; unique R1040 variant
2 1 9	zijn	R2032 alignment; unique R1040 variant
2 2 1	heeft	R2052 alignment; unique R1040 variant
2 6 0	te	R2032 alignment; unique R1040 variant
2 7 1	s	R2032 alignment; unique R1040 variant
2 7^'' 6	vallen	R2052 alignment; unique R1040 variant
2 7^_ 7^_	ge	R2052 alignment; unique R1040 variant
2^' 3 6	mij	R2032 alignment; unique R1040 variant
2^' 8 5	andere	R2052 alignment; unique R1040 variant
2^'' 3 4	verschil	R2052 alignment; unique R1040 variant
2^'' 5 2	men	R2052 alignment; unique R1040 variant
2^'' 6 6	deministervan	R2052 alignment; unique R1040 variant
2^'' 8 0	endat	R2052 alignment; unique R1040 variant
2^_ 9^_ 8	e	R2032 alignment; unique R1040 variant
2^__ 0^__ 8	g	R2032 alignment; unique R1040 variant
2^__ 4^__	men	R2032 alignment; unique R1040 variant
2^__ 8^__ 9	kon	R2052 alignment; unique R1040 variant
3 1 5	en	R2032 alignment; unique R1040 variant
3 9	g	R2052 alignment; unique R1040 variant
3^' 7 3	r	R2032 alignment; unique R1040 variant
3^_ 5^_ 8	ber	R2052 alignment; unique R1040 variant
3^_ 6^_ 6	in	R2052 alignment; unique R1040 variant
3^__ 0^__ 1^__	k	R2032 alignment; unique R1040 variant
3^__ 8^__ 2^__	g	R2052 alignment; unique R1040 variant
3^__ 9^__ 6	aan	R2052 alignment; unique R1040 variant
4 1^_	ge	R2052 alignment; unique R1040 variant
4 4 7	over	R2052 alignment; unique R1040 variant
4^' 2 3	zijn	R2052 alignment; unique R1040 variant
4^'' 3 1	g	R2032 alignment; unique R1040 variant
4^'' 6 2	het	R2052 alignment; unique R1040 variant
4^_ 1^_ 5^_	ik	R2052 alignment; unique R1040 variant
4^_ 3^_ 0^_	es	R2052 alignment; unique R1040 variant
4^__ 5^__ 7	ge	R2052 alignment; unique R1040 variant
5 6 6	vande	R2052 alignment; unique R1040 variant
5^' 3 0	een	R2032 alignment; unique R1040 variant
6 6 4	den	R2032 alignment; unique R1040 variant
6^' 0 7	n	R2032 alignment; unique R1040 variant
6^' 1 8	ter	R2052 alignment; unique R1040 variant
6^'' 5 4	i	R2052 alignment; unique R1040 variant
6^'' 8 8	z	R2052 alignment; unique R1040 variant
6^_ 5^_ 9^_	dithof	R2052 alignment; unique R1040 variant
7 2 3	e	R2052 alignment; unique R1040 variant
7 6 6	erf	R2052 alignment; unique R1040 variant
7 8 9	i	R2052 alignment; unique R1040 variant
7 9 0	b	R2032 alignment; unique R1040 variant
7^' 4	wezen	R2052 alignment; unique R1040 variant
7^'' 0 7	i	R2032 alignment; unique R1040 variant
7^'' 4 1	e	R2032 alignment; unique R1040 variant
7^'' 5 7	d	R2052 alignment; unique R1040 variant
8 0 7	conferentie	R2032 alignment; unique R1040 variant
8 3 3	antwoord	R2032 alignment; unique R1040 variant
8 5 6	inform	R2032 alignment; unique R1040 variant
8^'	z	R2032 alignment; unique R1040 variant
8^' 1 0	word	R2032 alignment; unique R1040 variant
8^' 1 3	a	R2032 alignment; unique R1040 variant
8^'' 7 4	om	R2032 alignment; unique R1040 variant
9 1^_	graaf	R2052 alignment; unique R1040 variant
9 8^_ 8	tractaat	R2032 alignment; unique R1040 variant
9^' 1 7	die	R2032 alignment; unique R1040 variant
9^' 6 2	t	R2032 alignment; unique R1040 variant
9^'' 8 3	b	R2032 alignment; unique R1040 variant
9^_ 1^_ 1	dat	R2032 alignment; unique R1040 variant
9^__ 7^__	zelf	R2052 alignment; unique R1040 variant
