index	code	transcribed_group	plaintext
1	52	5 2	dit
2	"132^"""	1^'' 3 2	alles
3	550	5 5 0	ge
4	381^^	3 8^^ 1	pa
5	"374^"""	3 7^'' 4	ar
6	109^^	1 0^^ 9	met
7	223^o	2^o 2 3	beele
8	"217^"""	2^'' 1 7	andere
9	800^_	8^_ 0^_ 0^_	
10	"784^"""	^_ 7^'' 8 4	S
11	"780^"""	7^'' 8 0	c
12	"858^"""	8^'' 5 8	hÿ
13	"929^"""	9^'' 2 9	n
14	86	8 6	en
15	"59^"""	5^'' 9	als
16	34^_	3^_ 4^_	
17	18^o	1^o 8	d
18	5	5	i
19	36^^	3^^ 6	c
20	25^_	2^_ 5^_	ie
21	674	6 7 4	n
22	181^o	1 8^o 1	te
23	90	9 0	zÿn
24	254^CircleWithHorizontalBar	2^+ 5 4	welke
25	26	2 6	de
26	153^_	1 5^_ 3^_	hier
27	731^o	7^o 3 1	voor
28	550	5 5 0	ge
29	26	2 6	de
30	22^o	2^o 2	la
31	108^_	1^_ 0^_ 8^_	
32	311	3 1 1	l
33	391	3 9 1	eerde
34	917^^	9 1^^ 7	
35	253^CircleWithHorizontalBar	^_ 2 5^+ 3	weg
36	191	1 9 1	ens
37	2	2	een
38	252	2 5 2	effect
39	25^_	2^_ 5^_	ie
40	377	3 7 7	f
41	132^CircleWithHorizontalBar	1 3^+ 2	zo
42	777^_	7 7^_ 7	nict?
43	613^^	6 1^^ 3	reeds?
44	833^^	8^^ 3 3	[ge]sloten
45	414^o	4 1^o 4	ten
46	978^_	9 7^_ 8^_	minst
47	86	8 6	en
48	366^^	3 6^^ 6	op
49	151^_	1 5^_ 1^_	het
50	22^o	2^o 2	la
51	450	4 5 0	p
52	748	7 4 8	ÿ
53	16^o	1 6^o	t
54	144^CircleWithHorizontalBar	1 4^+ 4	zÿnde?
55	"57^"""	5^'' 7	allientie
56	363^o	3 6^o 3	tusschen
57	25	2 5	de
58	370^_	3^_ 7^_ 0	oorlogend
59	37^^	3^^ 7	e
60	13^_	1^_ 3^_	hot
61	86^_	^_ 8 6	
62	289^o	2 8^o 9	V
63	526^^	5^^ 2 6	ra
64	869^^	8^^ 6 9	n
65	413^^	4^^ 1 3	k
66	884^^	8^^ 8 4	rÿk
67	45^CircleWithHorizontalBar	4^+ 5	zeer
68	18^CircleWithHorizontalBar	1^+ 8	waarschÿlÿk
69	330^_	3^_ 3^_ 0	maaden
70	29^_	2^_ 9^_	ik
71	"407^"""	4^'' 0 7	ben
72	60^^	6^^ 0	ock
73	34^_	3 4^_	
74	151^_	1^_ 5^_ 1^_	het
75	46^CircleWithHorizontalBar	4^+ 6	zeker?
76	37^^	3^^ 7	e
