index	cipher_group	proposed_plaintext_unit
1	894^''	uiteen
2	775	e
3	26	conferentie
4	917^''	die
5	581^''	ik
6	44^''	de
7	741^''	e
8	668^''	z
9	687^''	e
10	284^''	week
11	270	met
12	169	den
13	989^''	heer
14	790^''	b
15	21^_	e
16	229^_	s
17	350^__	b
18	384^''	o
19	55^_	r
20	632^''	o
21	545^''	d
22	301^''	k
23	707	i
24	975	n
25	609	gehouden
26	929	heb
27	337^_	moet
28	485^_	ik
29	175^''	oordeel
30	92^''	en
31	686^''	dat
32	24^''	men
33	397^''	vande
34	742^''	e
35	8^_	z
36	354^_	e
37	295	kant
38	198	wel
39	441	i
40	607^''	n
41	807^''	conferentie
42	429	wil
43	187	t
44	202^''	r
45	552^''	e
46	298^''	e
47	664^_	den
48	874^''	om
49	341^''	een
50	988^''	tractaat
51	137	van
52	426	c
53	173	om
54	73^_	m
55	701^_	e
56	642	r
57	533^''	c
58	754^''	i
59	803^_	e
60	326^_	met
61	434	derepublicq
62	692	te
63	868	maaken
64	315	en
65	911	dat
66	464^_	zulks
67	282^_	alleen
68	107^''	ver
69	777^''	t
70	933	r
71	6^''	a
72	288	a
73	431	g
74	742^''	d
75	810	word
76	838	doorde
77	297	menig
78	897^''	vuld
79	274^''	i
80	416	ge
81	17^''	zaak
82	896^''	en
83	89^''	die
84	545^''	e
85	639^''	r
86	661^_	thans
87	157^_	ver
88	670	handel
89	186^''	d
90	288	worden
91	296	zijn
92	778	excell
93	365^''	entie
94	287^''	heeft
95	236^_	mij
96	618^''	b
97	731	e
98	230	l
99	429	o
100	681	o
101	421^''	f
102	962	t
103	219^''	zijn
104	295	best
105	523^''	te
106	154^''	d
107	138^''	o
108	701	en
109	818	dat
110	936	ik
111	11^_	eerst
112	270^''	d
113	311^''	a
114	618	a
115	208	g
116	271	s
117	155^''	een
118	110^_	f
119	49^_	a
120	820^''	v
121	151^''	o
122	830	r
123	813	a
124	999^_	b
125	215	e
126	971^''	l
127	833^''	antwoord
128	983	b
129	482^_	e
130	189	k
131	787^''	o
132	90	met
133	166	en
134	732	einde
135	530	een
136	369^''	plein
137	834	pouv
138	869	o
139	88	i
140	373	r
141	856^''	inform
142	87	a
143	260	te
144	2	kunnen
145	71^_	vraagen
