normalized_group	plaintext	source_group_indices
10	en	144
100+	inhoud	158
100=	dien	95
101	na	62
106^	harg	130
107	ge	79
109	d	32
11+	agt	61
114=	mysterie	224
115:	ie	37
131:	waar	64
132+	doch	30
136:	gaan	243
14+	en	29
140	welke	212
142~	geloof	134
147=	na	201
15	hooge	148
15+	van	23
151+	den	157
15:	voor	165
161	vaneen	55
164	van	225
166:	het	42
169~	hebben	109
174+	c	119
175^	vandithof	145
176=	na	229
176~	lijk	47
182^	zint	190
184	ter	76
185=	of	126
185~	te	244
192+	est	150
19^	tre	108
2+	haalen	156
200:	is	132
202	indien	203
203+	antwoord	34
209~	noch	100
215	courier	56
215+	be	40
223:	zal	170
224:	van	6
22^	kunnen	154
22~	hem	175
23	uit	214
23+	haare	24
237	uiteen	210
238:	sbaa	217
242+	ren	151
242^	ge	152
250=	er	223
252+	afge	205
252~	e	105
254=	komt	136
25=	u	147
25^	zullen	27
260	ik	101
266+	endat	69
279~	zo	133
285:	mij	78
293~	zijn	122
303+	komt	209
307~	ge	118
308:	inhet	176
317=	voorige	161
320=	lijk	179
320^	wat	125
325+	te	26
326+	entie	16
329	n	238
333:	en	182
337^	voor	174
345	hier	54
345:	sch	36
351	zou	117
351=	een	140
354=	ste	191
354^	rigt	230
355	te	240
369~	eerd	121
37	afge	98
392:	w	45
395~	wel	72
3:	veel	241
4+	geven	13
401~	ter	8
422	kennis	22
423+	van	173
435:	haare	236
438+	dag	59
438^	mij	44
441~	uit	183
444=	denken	198
465=	op	94
466+	mij	90
485:	wel	89
489+	niets	110
499=	rent	137
501=	ente	197
503	was	97
514+	pruissen	188
514:	gedachte	237
517=	wat	163
518~	voor	48
522~	acht	33
524=	te	180
526=	aange	219
529:	zond	85
529=	ge	128
534=	best	171
534^	mijne	160
543	os	7
554=	holland	202
560=	met	124
562^	zal	168
565:	ver	84
572:	eerd	131
573=	komen	41
573~	zond	206
575^	reed	196
579	hij	204
580=	mysterie	52
584^	en	194
584~	onder	46
587=	de	19
588^	heer	4
589+	komen	220
589^	al	70
595:	de	103
597+	verzekerd	91
599+	voort	208
613:	endat	221
61^	het	233
633	stuk	11
640~	harg	120
642=	t	227
648:	zegt	80
649=	die	232
650	lijk	38
652	van	159
658+	aan	172
664=	west	63
666+	misschien	239
667=	even	88
667^	zo	35
671^	hoe	71
672^	maak	226
68	majesteit	25
68~	zou	67
69=	maar	53
700^	te	153
708=	ete	142
709:	men	164
714=	aan	146
715=	hij	127
724^	gaan	99
72~	s	66
730:	e	211
730=	ris	218
731	lee	216
731:	pruissisch	104
742=	om	228
743~	c	129
750+	daardoor	187
752=	waar	139
758+	geen	114
758~	doch	123
760+	van	186
763+	i	135
765=	er	178
776=	werk	181
790+	niet	31
790:	heeft	2
792~	heb	195
796:	graaf	74
798~	ter	21
805=	de	138
812+	excell	15
812:	waarmede	115
813=	secr	141
815=	alles	162
81~	her	155
821=	was	87
824+	graaf	5
824=	verneemen	112
830:	deheer	73
831:	i	18
84+	breng	28
842^	den	166
85	niet	83
850	overge	12
851~	noch	102
852~	zijne	14
862:	min	106
868	on	215
86=	vanhet	113
880:	man	77
883	men	222
886:	heeft	81
896:	woensdag	1
89:	het	20
900	sentiment	143
90:	keizer	167
910:	volgens	235
912+	dat	82
922+	zijn	68
93+	welke	57
930+	eenig	189
930=	delg	149
931+	te	39
939~	het	10
942:	en	86
943:	dins	58
958~	is	50
961+	zouden	242
961:	wierd	92
961=	dag	96
963:	uit	177
96~	datde	199
971+	enis	207
98^	hij	116
990:	is	107
991+	ze	17
991:	t	65
996+	os	75
997+	kunnen	111
999	hoop	184
