control  steps=20000 T=12-0.5  steps=40000 T=12-0.5  steps=20000 T=25-1  steps=60000 T=15-0.3
HK1          2/8 (73.7ms)        5/8 (10.6ms)         6/8 (5.5ms)        6/8 (15.8ms)
HK2           2/8 (5.4ms)        4/8 (10.7ms)         1/8 (5.0ms)        3/8 (15.2ms)
HK3           5/8 (5.1ms)        8/8 (10.6ms)         8/8 (5.1ms)        8/8 (16.0ms)
SYN0          2/8 (6.5ms)        3/8 (10.0ms)         2/8 (5.6ms)        4/8 (16.3ms)
SYN1          2/8 (5.3ms)        1/8 (12.6ms)         4/8 (6.1ms)        3/8 (16.2ms)
SYN2          0/8 (7.3ms)        0/8 (13.5ms)         0/8 (5.8ms)        1/8 (16.9ms)
SYN3          0/8 (6.2ms)        4/8 (11.2ms)         1/8 (5.6ms)        2/8 (16.7ms)
SYN4          4/8 (5.4ms)        5/8 (11.2ms)         3/8 (9.0ms)        2/8 (17.0ms)
SYN5          3/8 (6.4ms)        5/8 (11.7ms)         4/8 (5.9ms)        4/8 (16.9ms)
SYN6          0/8 (5.3ms)        5/8 (11.1ms)         1/8 (5.5ms)        6/8 (18.3ms)
SYN7          5/8 (6.7ms)        7/8 (12.8ms)         7/8 (5.4ms)        8/8 (17.3ms)
SYN8          7/8 (6.0ms)        7/8 (11.1ms)         8/8 (6.0ms)        8/8 (17.2ms)
TOTAL      32/96 (11.6ms)      54/96 (11.4ms)       45/96 (5.9ms)      55/96 (16.7ms)
