# Erving to Madison, Madrid 24 Mar 1807, private No 21 "in the Cypher of the Legation" (Pinckney's code).
# Groups as read from NARA M31 reel 12 frames 0284-0286 (RC1, Madison's interlinear decode, given after =)
# collated with LoC Madison Papers mjm014714 images 0604-0607 (RC2 "Duplicate", undecoded).
# Format: groups | Madison's decode (from the RC1 image) | notes
1651.571.792.1340.604.968.1694.525.347.69.475.975.295 | The prussian charge affairs has informed me |
133.624.1387.1162.526.248.674.926.723.1407 | of a conversation which he had with |
1651.1661.1651.865.1166.1516.926 | the Prince the night before last. He |
1367.517.553.704.1651.1661 | short note from the Prince |
1691.151 | afternoon |
624.34.89.374.381 | a rendevous |
1657.410.382 | private house |
664.69.956.298.216.101.625 | went incog wrapped up in his Cloak | 69=in, 956=cog
377.69.408.1685.1432.1498.1651.1661 | ... The Prince |
972.66.1114.673.1481.390 | asking him whether it was |
1651.571.792.1340.604.968.1694.525.764.1554.133.324.624.91 | the Prussian Charge affaires dispaches of such a day |
69.475.975.1651.1524 | informed the King |
408.1651.1661.763.394.1481.424.1343.1656.162 | his the Prince dispositions and projects |
1201.1290 | against France |
421.611.795.1686.1651.1287 | intercepted by the French |
1603.1583.926.594.524.1340.114.934.975.1578.926 | Mister Henry answered that he |
1651.1661.242.97.1114.1578.926 | The Prince told him that he |
69.253.40.298.709.1428.1545.1412 | intimation from Lord Howick |
257.1651.523.1560.1607 | thro' the Russian Minister |
1651.1560.335.133.1651.765 | the contents of the dispatches |
926.1651.1661.115.627.1589 | he the Prince suspected |
133.1651.333.1010.284 | of the English Government |
1603.1583.926.594.524.1340.114.934.975 | Mister Henry answered |
1560.335.665.908.533.111.38 | contents were correctly stated | 38=ly
313.97 | stated |
333.1250.1203 | English must |
742.871.1686.293.133.870.1212.163 | at them by means of their Spies |
236.1603.1583.926.594.524.244.1212 | led Mister Henry to sp | 1212=sp; "eak" missing in BOTH copies
133.1651.146.1194.422.1290.1343.1651.1661.242.97.1114.1578.825.593.640.1590 | of the march of troops into France and the Prince told him that Bonaparte |
244.1114.134.66 | to him offering |
305.977.691.743.133.724.529.934.478 | Electorate of Ha-?-er for | Madison: "Haweder"
1114.1419 | himself |
926 | he |
377.111.146.1194.244.125.755.1635.1578.903.1603.1583.926.594.524.313.97 | up troops to occupy that Country. Mister Henry stated |
244.1451.956.380.1000.1651.1656.162.1497.1521.377.1651.1661.1183.30.97.244 | to discourage the project all the Prince seemed to |
1688.408 | but his |
927.724.529.934 | having Ha--er |
244.471.624.1181.1.743.628.1407.970 | to make a separate peace with England |
1540.605.724.529.934.478.1619.1508.1497.1594 | exchange Hanover for Giblartar | Madison's own slip: 1497=al (his "se al e"), so Gi-b-ral-tar
133.324.624.1656.162 | of such a project |
674.1603.1583.926.594.524.134.975.244.1481 | which Mr. Henry offered to it |
390 | was |
720.634.1181.97.674 | more passed which |
244.488.994 | to detail |
637.133.1651.1387.1162.526.248.1343 | part of the conversation and |
926.234.1651.1661 | he left the Prince |
408.1242 | his plans |
926.1114.1419 | he himself |
887.825.593.640.1590.390 | Tho' Bonaparte was |
65.1331.226.253.268.1340 | deep politician |
1578.926.390.720.1219 | the(!) he was more so | 1578=that everywhere
1407.970.926.313.97.1578.926 | with England he stated that he |
1535.1362.578.792.208.970.474.244.970.1487.1481 | every possible effort to effect it |
1651.333.665 | the English were |
674.1603.1583.926.594.524.347.313.97.244.295 | which Mr. Henry has stated to me |
1651.1181.1531.763.394.1481.424.133.884.1010.284.1343.133.1651.1661 | the secret disposition of this Govt. and of the Prince |
1651.134 | the offer |
1484.553.1422 | is not one |
1481 | It |
1481.58 | its objects |
528.1498.881.133.1210.1686 | weakning of Spain by |
1563.622.624.580.424.133.1481.477 | considerable a portion of its force |
1651.1661.1686.884.1505.1027.1529.144 | the Prince by this bribe firm |
359.610.110.69.313.133.1694 | uncertain state of affairs |
133.1210.1201.1290.1613.1027 | of Spain against France might be |
69.1651.1183.1497.1298 | "to the" se al e | 69=in (not to); read: in the sc-al-e = "in the scale"
1181.1.743.628.500.1210.1343.970 | separate peace between Spain and England |
1651.1661 | the Prince |
408.1013.1212 | his grasp |
133.1651.1661.1280.1027.772 | of the Prince may be first |
825.593.640.1590.1686.618.885.1554.982.945 | Bonaparte by acquiescence. Then |
133.1651.89.742.725.133.1651.1524.1415.925 | of the death of the King whose health is |
1114.1419.884.52.189.742.69.724.529.934.360.1651.1413.133.1290 | himself his retreat in Ha--er under the wing of France |
326.609.1216.69.624 | successor in a |
926.347.534.244.1169.310.1023 | he has reason to believe |
244.1114.1419.71.721.1596.77.1298 | to himself immortal fame |
1619.1508.1497.1594.1686.1340.1540.605.478.724.529.934 | Gibraltar by an exchange for Ha--er |
1651.1661.242.97.1603.1583.926.594.524.1578.926 | the Prince told Mr Henry that he |
1578 | that |
1370.723.926.1474.1645.1578 | ... she had actually declared |
1578.926.347.87.1518.975.1114.1419 | that he has lately declared himself |
709.1521.1343.176.226.268.111.469.583.244.1651.523.594.1607.1343.748.887.136.97 | full and explicit manner to the Russian Minister and authorized his |
244.408.1530.408.398.71.335.525.1343.69.1584.69.832.133.1651.1494 | to his Court his sentiments and intentions in favor of the Allies |
