# Interlinear decipherment on BnF Espagnol 318 f.116r, later hand, against the
# Cifra general de los Reyes Catolicos (Galende Diaz 1994, appendix 1).
# gloss        cipher     key
lo             yuy        Lo
y              h          (E, = the conjunction y/e)
tpo            boy        Tiempo
por            zez        Por
estar          xiz + 7    Esta + r
en             xuy        En
tanto          baz        Tanto
el             xix        El
negocio        zol        Negocio
de             xup        De
puede          zuy        Puede
no             zik        No
-              bob        Que
