Statistics of Catinat's letter of 15 September 1702
http://cryptiana.web.fc2.com/code/louisxiv.htm#SEC9
(1) Frequency of code groups sorted by frequency
Frequency	Code group
18	50
17	28
14	13
14	22
12	30
11	84
10	14
10	393
9	101
9	106
9	277
9	291
9	325
9	33
9	8
8	10
8	129
8	56
7	100
7	198
7	20
7	409
7	43
6	126
6	17
6	350
6	78
6	82
6	85
5	109
5	11
5	120
5	188
5	269
5	284
5	3
5	35
5	41
5	66
4	136
4	159
4	204
4	24
4	271
4	326
4	327
4	331
4	61
4	62
4	64
4	77
4	87
3	110
3	137
3	145
3	152
3	153
3	158
3	162
3	168
3	183
3	207
3	214
3	228
3	260
3	262
3	286
3	308
3	335
3	376
3	396
3	407
3	408
3	80
2	121
2	146
2	163
2	171
2	184
2	200
2	201
2	217
2	236
2	238
2	247
2	248
2	251
2	257
2	272
2	275
2	276
2	282
2	295
2	296
2	305
2	314
2	320
2	328
2	336
2	344
2	359
2	37
2	39
2	399
2	400
2	403
2	413
2	419
2	427
2	428
2	431
2	44
2	54
2	59
2	65
2	68
2	86
2	88
2	93
2	97
1	
1	102
1	107
1	115
1	122
1	124
1	130
1	133
1	138
1	139
1	140
1	144
1	148
1	149
1	154
1	160
1	161
1	166
1	167
1	169
1	181
1	182
1	197
1	202
1	209
1	219
1	226
1	229
1	232
1	234
1	246
1	263
1	268
1	270
1	279
1	281
1	29
1	290
1	298
1	312
1	323
1	324
1	329
1	330
1	341
1	342
1	345
1	351
1	368
1	369
1	38
1	394
1	4
1	404
1	411
1	418
1	420
1	433
1	440
1	441
1	46
1	464
1	57
1	60
1	63
1	73
1	81
1	83

