sign	values(count)	total
T	n(109), a?(0)	109
3	e(85)	85
v	e(75), i?(0)	75
9	i(61), u?(0), ?(0)	61
Om	u(54), v(7), ?(0)	61
x	s(60), t?(0), ?(0)	60
F	a(55)	55
ne	r(44), r?(0), n?(0), z?(0)	44
r4	r(43)	43
phi	t(38), t?(0)	38
hash	ch(31), ?(0)	31
w	l(30), ?(0)	30
H	h(26)	26
gg	g(26), s?(0), ?(0)	26
o	b(22)	22
dl	n(21)	21
cd	w(21), ?(0)	21
Psi	t(19)	19
N	d(18)	18
M	d(17)	17
z2o	z(17)	17
cr	u(9), s(7), u..(1), n?(0)	17
z	e(16), ie?(0)	16
8	i(14), s?(0)	14
m2	m(14), z?(0), r?(0)	14
lam	o(14), ?(0)	14
wb	o(9), w(2), w?(0)	11
ob	c(10), t(1), ?(0)	11
of	k(10)	10
Yo	und(9)	9
ml	l(7)	7
sch	sch(6)	6
fo	f(5)	5
Dd	d(3), n(2)	5
tri	n(3), w(1)	4
tc	u(3), s?(0)	3
ph	f(3)	3
fh	ff(2), f(1), h?(0), ?(0)	3
h4	g(3), g?(0)	3
aux	auch(2)	2
Dl	n(2)	2
ob2	ss(1), ff(1), ls?(0)	2
V	d(1)	1
hook	e(1)	1
sq	a(1)	1
4b	ß(1)	1
t3	s(1)	1
hh	h(1)	1
ir	i(1)	1
star	g(1)	1
ang	m(1)	1
lb	f(1), ?(0)	1
Wz	z(1)	1
eps	p(1)	1
lx	b(1)	1
HH	g?(0)	0
