page	line	col_segment	signs	gloss
1	1	c0	o.v.x.wb.T.V.3.r4./.w.9.v.o.[CLEAR]	b.e.s.o.n.d.e.r. .l.i.e.b.[clear]
1	1	c1	o.hook.r4./.cd.9.ne./.H.F.o.3.T./.Om.T	b.e.r. .w.i.r. .h.a.b.e.n. .u.n
1	1	c2	T.x.3.r4./.fo.ne.Om.T.phi	n.s.e.r. .f.r.u.n.t
1	2	c0	w.9.hash.v.dl./.w.9.v.o.3.T	l.i.ch.e.n. .l.i.e.b.e.n
1	2	c1	H.3.ne.r4.T./.Yo./.Om.v.Psi.phi.3.ne.T	h.e.r.r.n. .und. .v.e.t.t.e.r.n
1	2	c2	T./.sch.r4.v.9.o.3.T./.x.3.9	n. .sch.r.e.i.b.e.n. .s.e.i
1	3	c0	T.v.x./.8.dl.H.F.w.phi.x./.Om	n.e.s. .i.n.h.a.l.t.s. .u
1	3	c1	Om.v.ne.T.wb.m2.3.T./.aux./.8.ne	v.e.r.n.o.m.e.n. .auch. .i.r?
1	3	c2	w.8.v.o.N.3.dl./.tc.v.r4	l.i.e.b.d.e.n. .u.e.r
1	4	c0	dl.3.ne./.Om.T.x.3.r4./.o.v.M.3	n.e.r. .u.n.s.e.r. .b.e.d.e
1	4	c1	3.T.ob.of.H.3.T./.Yo./.fo.Om.ne.x	e.n.c.k.h.e.n. .und. .f.u.r.s
1	4	c2	x.wb.r4.gg./.tc.lam./.o.9.ne	s.o.r.g. .s?.o. .b.i.r
1	5	c0	9.T./.M.3.ne./.x.F.hash.v.T./	i.n. .d.e.r. .s.a.ch.e.n. 
1	5	c1	H.F.o.v.T./.sq.Om.4b./.cd.F.x	h.a.b.e.n. .a.u.ß. .w.a.s
1	5	c2	x.Om.ne.x.F.hash.3.T	s.u.r.s.a.ch.e.n
1	6	c0	Om.T.x./.Dl.lam.hash./.m2.F.ml.w	u.n.s. .n.o.ch. .m.a.l.l
1	6	c1	w.3.T./.ph.Om.ne./.gg.tc.Psi.phi./.F.T.x.v	l.e.n. .f.u.r. .g.u.t.t. .a.n.s.e
1	6	c2	x.v.hash.3./.Om.T.x./.z2o.tc	s.e.ch.e. .u.n.s. .z.u
1	7	c0	9.ne./.w.8.v.o.N.3.T./.F.9.T./	i.r. .l.i.e.b.d.e.n. .a.i.n. 
1	7	c1	ne.9.phi.Psi./.H.8.T.F.Om.x./.z2o	r.i.t.t. .h.i.n.a.u.s. .z
1	7	c2	Om./.fo.cr.ne.N.3.ne.dl	u. .f.u.r.d.e.r.n
1	8	c0	M.v.r4./.H.F.w.o.3.T./.8.x.phi	d.e.r. .h.a.l.b.e.n. .i.s.t
1	8	c1	Om.T.cr.v.r4./.gg.3.T.v.N.8.gg.x	u.n.s.e.r. .g.e.n.e.d.i.g.s
1	8	c2	gg.x.gg.v.x.9.T.Dd.3.T	g.s.g.e.s.i.n.d.e.n
1	9	c0	F.T./.z.Om.hash./.cd.v.ml.w.3.phi	a.n. .e.u.ch. .w.e.l.l.e.t
1	9	c1	o.v.9./.Om.T.x./.v.r4./.T.Om.3.Psi	b.e.i. .u.n.s. .i?.r. .n.u.e.t
1	9	c2	Psi.phi./.v.r4.T.cr.3.ne./.H.wb.w	t.t. .e.r.n.u.e.r. .h.o.l
1	10	c0	fh.v.T./.x.3.9.T./.M.F.m2.9	h?.e.n. .s.e.i.n. .d.a.m.i
1	10	c1	9.phi./.Om.T.x./.z2o.Om.m2./.fo.cr.ne	i.t. .u.n.s. .z.u.m. .f.u.r
1	10	c2	ne./.N.v.r4.w.9.hash.8.x	r. .d.e.r.l.i.ch.s?.t?
1	11	c0	phi.3.dl./.F.T.phi.cd.Om.ne.Psi./.z2o	t?.e.n. .a.n.t.w.u.r.t. .z
1	11	c1	Om./.gg.v.sch.ne.9.o.3.T./.cd.3.ne.N	u. .g.e.sch.r.i.b.e.n. .w.e.r.d
1	11	c2	N.v./.Om.T.x./.[CLEAR]	d.e. .u.n.s. .[clear]
1	12	c0	[CLEAR]./.z2o.cr./.H.F.w.phi.3	[clear]. .z.u. .h.a.l.t.e
1	12	c1	phi.3.T./.Yo./.cd.wb./.sch.lam.T./.of.F.9.x	t.e.n. .und. .w.w?. .sch.o.n. .k.a.i.s
1	12	c2	x.3.ne./.w.8.hash.v./.m2.F.9	s.e.r. .l.i.ch.e. .m.a.i
1	13	c0	3.x./.phi.F.Psi./.x.8.hash./.T.9.Psi	e.s. .t.a.t. .s.i.ch. .n.i.t
1	13	c1	[CLEAR]./.h4.v.dl.3.N.9.gg	[clear]. .g.e.n.e.d.i.g
1	13	c2	gg.ob.w.8.hash./.9.T./.N.3.t3	g.?.l.i.ch. .i.n. .d.e.s
1	14	c0	x.F.hash./.cd.wb.w.phi.z.r4./.z2o	s.a.ch. .w.o.l.t.e.r. .z
1	14	c1	z2o.F.9.gg.3.T./.9.x.phi./.Om.T.cr.v	z.a.i.g.e.n. .i.s.t. .u.n.s.e
1	14	c2	cr.v.ne./.x.3.r4.F.hash.phi.v	s.e.r. .?.e.r.a.ch.t.e
1	15	c0	T.x./.M.v.r4./.cr.F.hash.3.dl./	n.s. .d.e.r. .s.a.ch.e.n. 
1	15	c1	T.lam.hash./.gg.Om.Psi.phi./.v.r4./.ne.F	n.o.ch. .g.u.t.t. .e.r. .n?.a
1	15	c2	F.Psi.phi./.m2.cr./.ph.9.T.N.3.T	a.t.t?. .z?.u. .f.i.n.d.e.n
1	16	c0	M.F.m2.9.phi./.cd.9.ne./.8.T.Om	d.a.m.i.t. .w.i.r. .i.n.u
1	16	c1	Om.Dl.x./.v.ne.T./.F.T.w.9.gg.v.dl.N	u.n.s. .e.r.n. .a.n.l.i.g.e.n.d
1	16	c2	N.3.T./.x.F.hash.3.T./.z.ne	d.e.n. .s.a.ch.e.n. .e.z?
1	17	c0	gg.v.phi.z2o.w.9.hash.F.8.Psi./	g.e.t.z.l.i.ch.a.i.t. 
1	17	c1	z.r4.w.F.T.gg.v.dl./.m2.lam.hash	e.r.l.a.a?.s?.e.n. .m.o.ch
1	17	c2	phi.3.T./.cd.9.v./.N.F.T	t.e.n. .w.i.e. .d.a.n
1	18	c0	x.lam.T.N.3.r4./.x.z2o.cd.v.9	s.o.n.d.e.r. .s.z.w.e.i
1	18	c1	9./.fh.3.w.cr./.Om.T.x./.v.ne.3./.H	i. .h?.e.l.s. .u.n.s. .e.r.e. .h
1	18	c2	H.z.ne./.r4.T./.Yo./.Om.v.Psi.phi.3	h.ie?.r. .r.n. .und. .v.e.t.t.e
1	19	c0	hash.T.Om.ob2./.[CLEAR]	?.n.u.ls?. .[clear]
1	19	c1	[CLEAR]./.Yo./.ph.Om.ne.x.phi.w.9.hash.3.T	[clear]. .und. .f.u.r.s.t.l.i.ch.e.n
1	19	c2	T./.Om.3.r4.x.F.T.N	n. .v.e.r.s.a.n.d
1	20	c0	Om.dl.x./.9.T.x./.lx.w.ml.9.hash	u.n.s. .i.n.s. .?.l.l.i.ch
1	20	c1	hash.v.m2./.cd.wb.ml.w./.cd.v.ne.M	ch.e.r?. .w.o.l.l. .w.e.r.d
1	20	c2	M.3.T./.tri.9.ob2.v.T./.z2o.cr	d.e.n. .w.i.ss.e.n. .z.u
1	21	c0	ne.F.Psi.phi.3.dl./.M.F.ne./.z2o.Om	r.a.t.t.e.n. .d.a.r. .z.u
1	21	c1	Om./.cd.9.ne./.Om.T.x./.h4.v.gg.3.T	u. .w.i.r. .u.n.s. .g.e.g.e.n
1	21	c2	T./.z.Om.hash./.Yo./.M.lam.ob.phi	n. .e.u.ch. .und. .d.o.c.t
1	22	c0	wb.ne./.z.ob.of.H.v.T./.h4.3	o.r. .e.c.k.h.e.n. .g.e
1	22	c1	3.T.phi.z2o.w.9.hash.v.T./.aux	e.n.t.z.l.i.ch.e.n. .auch
1	22	c2	z2o.Om./.ne.F.Psi.phi.3.T	z.u. .r.a.t.t.e.n
1	23	c0	Om.v.r4.x.3.hash.z.dl./.phi.H.Om	v.e.r.s.e.ch.e.n. .t.h.u
1	23	c1	Om.v.dl./.[CLEAR]	u.e.n. .[clear]
1	23	c2	[CLEAR]./.hh.ir.T.cd.9.N.3.ne	[clear]. .h.i.n.w.i.d.e.r
1	24	c0	star.v.h4.3.T./.z.Om.hash./.3.ne./	g.e.g?.e.n. .e.u.ch. .e.r. 
1	24	c1	of.H.v.T.dl.3.T./.Yo./.gg.Om.Psi	k.h.e.n.n.e.n. .und. .g.u.t
1	24	c2	Psi.phi.v.m2./.tri.9.phi./.Om.v.r4	t.t.e.m. .n.i.t. .v.e.r
1	25	c0	HH.3.ob2.v.tri./.Yo./.[CLEAR]	g?.e.ff.e.n. .und. .[clear]
1	25	c1	[CLEAR]./.8.r4./.w.9.v.o.M.3.dl./	[clear]. .i.r. .l.i.e.b.d.e.n. 
1	25	c2	ne.F.Psi.phi./.Yo./.m2.F.9.T.Om	r.a.t.t. .und. .m.a.i.n.u
1	26	c0	T.gg./.x.v.9.T./.cd.Om.ne.M.z	n.g. .s.e.i.n. .w.u.r.d.e
1	26	c1	z./.Om.T.x./.w.v.T.gg.3.r4	e. .u.n.s. .l.e.n.g.e.r
1	26	c2	9.dl./.fo.ne.F.T.ob.of	i.n. .f.r.a.n.c.k
1	27	c0	r4.v.9.hash./.z2o.Om./.cr.v.r4./.H	r.e.i.ch. .z.u. .n?.e.r. .h
1	27	c1	H.F.r4.ne.3.T./.9.x.phi./.Om.T.x	h.a.r.r.e.n. .i.s.t. .u.n.s
1	27	c2	x.3.r4./.gg.v.Dd.3.M.9.gg.x	s.e.r. .g.e.n.e.d.i.g.s
1	28	c0	gg.3.x.9.T.Dd.v.T./.F.dl./.z	g.e.s.i.n.d.e.n. .a.n. .e
1	28	c1	z.Om.hash./.cd.v.w.ml.3.phi./.Om	e.u.ch. .w.e.l.l.e.t. .u
1	28	c2	T.x./.cr.Dd.cr.3.r4./.z.r4.F	n.s. .u.n.s.e.r. .e.r.a
1	29	c0	Om.hash.z.r4.lam.ob.of.H.x.wb	?.ch.e.r.o.c.k.h.s.o
1	29	c1	cd.r4./.Om.T.x.v.r4.x./.H	w.r. .u.n.s.e.r.s. .h
1	29	c2	H.v.ne.r4.T./.Om.3.phi.Psi.v.r4	h.e.r.r.n. .v.e.t.t.e.r
2	1	c0	ob.H.v.m2.ang.3.r4.w.9.T.gg	t.h.e.m.m.e.r.l.i.n.g
2	1	c1	M.z.m2./.ob.r4.9.x.phi.lam	d.e.m. .c.r.i.s.t.o
2	1	c2	lb./.z2o.Om.o.v./.cd.F.3.T	?. .z.u.b.e. .w.a.e.n
2	2	c0	H.F.o.3.T./.gg.3.o.v.T./.wb.lam	h.a.b.e.n. .g.e.b.e.n. .w.o
2	2	c1	wb.lam.ml.w.z.9.T.gg.v.o.F.gg	w.o.l.?.e.i.n.g.e.b.a.?
2	2	c2	F.gg.phi./.M.3.m2./.H.F	a.g.t. .d.e.m. .h.a
2	2	c2	H.F.T.x.o.3	h.a.n.s.b.e
2	3	c0	m2.F.T./.z2o.Om./.sch.9.ob.of	m.a.n. .z.u. .sch.i.c.k
2	3	c1	of.3.dl./.9.m2.v./.M.F.o.v	k.e.n. .u?.m.e. .d.a.b.e
2	3	c2	v.9./.sch.r4.3.9.o.v.T./.Om.T	e.i. .sch.r.e.i.b.e.n. .u.n
2	4	c0	cr.lam.ml.w.9.hash.3./.F.Om.fh	s.o.l.l.i.ch.e. .a.u.f
2	4	c1	N.F.x./.lb.Om.ne./.N.3.r4./	d.a.s. .f.u.r. .d.e.r. 
2	4	c2	cd.9.hash./.8.x.phi./.F.T.Dd	?.?.ch. .i.s.t. .a.n.d
