line_no	cipher_words	gloss_words
1	D.3.W.3 N.M.N EQ.M.HH.X.O+.HH EQ.AST.3.N.W.X.EQ.O+ 3.9.9.U2.O+.HH.AST.3.O+.O+.3.O.X X.HH D.M.O.3.N.X O.3 M.B.O+.X.AST	Dici non potest princeps illustrissime et domine mi obser
2	U2.OD.N.HH.3.O+.O+.3.O.X Q.U2.OD.O Z.AST.OD.HH.OD T.U2.X.AST.3.N.HH DAG W.M.N.O+.3.9.3.OD U2.X.O+.HH.AST.X 3.9.9.U2.O+.HH.AST.3.O+.O+	vantissime quam grata fuerint '' consilia uestre illustris
3	D.M.O.3.N.OD.W.3.M.N.3.O+ EQ.AST.M Q.U2.3.B.U2.O+ O.OD.Z.N.OD.O+ OD.Z.3.HH Z.AST.OD.W.3.OD.O+ U2.X.O+.HH.AST.X 3.9.9.U2.O+	dominacionis pro quibus magnas agit gratias uestre illus
4	D.M.O.3.N.OD.W.3.M.N.3 FLW X.HH 3.N M.O.N.3.B.U2.O+ O+.X.W.U2.HH.OD X.O+.HH O.OD.3.X.O+.HH.OD.O+ [ins:O+.U2.OD] W.M.N.O+.3.9.OD U2.X.O+.HH.AST.X	dominationi (hungarie?) '' '' '' '' '' '' '' '' ''
5	D.M.O.3.N.OD.HH.3.M.N.3.O+ N.OD.O O+.W.AST.3.EQ.O+.3.HH O+.U2.OD O.OD.3.X.O+.HH.OD.O+ OD.D D.U2.W.X.O T?.AST.X.D.X.AST.3.W.U2.OD?	'' '' '' '' '' '' '' ''
6	AST.M.O.OD.N.3 3.O.EQ.X.AST.3.3 W.OD.EQ.3.HH.OD.N.X.U2.O AST?.OD.M.O.N.3.OD Q.U2.X O+.U2.OD.O?.3.HH U2.X.O+.HH.AST.OD D.M~	'' '' '' '' '' '' '' ''
7	O.3.N.OD.W.3.M O+.W.3.OD.HH OD.U2.HH.X.O 3.9.9.U2.O+.HH.AST.3.O+?.O+.3.O.OD U2.X.O+.HH.AST.OD D.M.O.3.N.OD.W.3.M Q?.U2.M FLW X.O+.HH	'' '' '' '' '' '' '' '' ''
8	OD.D X.OD M.O.N.3.OD EQ.AST.M EQ.X.N.O+.U2.O+? OD.W EQ.OD.AST.OD.HH.U2.O+ Q.U2.X.W.U2.N.Q.U2.X V?.M.N.M.AST.X.O X.HH	'' '' '' '' '' '' '' '' '' ''
9	D.3.Z.N.3.HH.OD.HH.X.O OD.W W.M.O.O.M.D.U2.O U2.X.O+.HH.AST.X D.M.O.3.N.OD.W.3.M.N.3.O+ O+.EQ.X.W.HH.OD.AST.X EQ.D?.M.O+	'' '' '' '' '' '' ''
10	O+.X.N.HH 3.9.9.OD.O.Q.U2.X 3.N.HH.X.AST EQ.AST.3.O.M.O+ X.HH W.OD.AST.3.O+.O+.3.O.M.O+ OD.O.3.W.M.O+ AST.X.EQ.U2.HH.OD.HH N.M	'' '' '' '' '' '' '' '' ''
11	U2.OD H.X.W O+.U2.N.HH W.X.O+.OD.AST HH.U2.AST.W.H.OD.AST.U2.O T.OD.W.HH.M N.M.N.M O+.X.AST.U2.3.W.3.M BIGX N.M.N	'' '' '' '' '' '' '' '' '' ''
12	HH.OD.O EQ.AST.M.EQ.HH.X.AST H.3.X.O.X.O Q.U2.OD.N Q.U2.OD.O X.HH H.X.W N.M.N.N.3.H.3.9 AST.X.B.U2.O+ N.M.O+.HH.AST.3.O+ M.B T.U2	'' '' '' '' '' '' '' '' '' '' '' ''
13	3.HH O+.X.D O.OD.Z.3.O+ EQ.AST.M.EQ.HH.X.AST EQ.X.O+.HH.X.O Q.U2.X 3.N W.X.O+.OD.AST.3.O+ X.XH.X.AST.W.3.HH.U2 O.3.AST.X	'' '' '' '' '' '' '' '' '' ''
