mode        noise   recovered_raw   TRUE_raw   letter_acc
mono           0%    -1.6510      -1.6525     99.9%
mono           3%    -1.7545      -1.8710     96.0%
mono           6%    -1.8401      -2.0286     92.4%
mono          10%    -1.9681      -2.3196     65.2%
mono          15%    -2.0411      -2.5734     32.7%
homo           0%    -1.6713      -1.6525     98.2%
homo           3%    -1.8320      -1.8082     73.0%
homo           6%    -1.9435      -1.9771     76.4%
homo          10%    -2.0087      -2.2297     36.5%
homo          15%    -2.0436      -2.5453     28.2%

[exited with code 0]
