base -8.841 ttenerantearretaneaneantstantentinthatthatterinterinthetienetreiteeittintheartithastthairtattitnatairthttitthaittereareareintitthassit
x 14 -8.736 teirinteairtenintentstanentintherthattersettinthesentritittietitittiehesttheirterrieneteirthetittheittheirarintiersessie
10 14 -8.949 eereresenttherehersetheeretheresentheenteetenterrentrenternerarrenterthreethreatheehtteeheheaneseetheeretherteresetthere
17 10 -8.889 ttenerstthairettesthatitantethatthethatthronteratthetohtetreateeattantthertathittharthhatttarththatthattethereareathatheriat
19 9 -8.682 etatehattinettathatthereinetathatsterietereetthatstertattethatthetherththestrastheetttheatthearethestheetothetiethathethterhe
x2 9 -8.926 ttenersthairethesthatetatteratthethatthronterattetohetreateeattantstertatthettthartheeaththarthtrattthattetherearearatetheeat
a 9 -8.912 tneverantatereteneanderatanentinthertittaresenintheneanetreiteeitistedintinheattheirettinneteirtintitheiehairetreintinthelain
z1 8 -8.932 teverinthairetaneinhantstanentinthatthatthristerintheihnetreiteeittistthertihastthairtallinatairthtitthaittethereareintillassi
o 8 -8.798 eetothatthatetathattherehietathatsthetheetreetthatstertattthatthetheentitehestreasthetttheatethatetheestheetitiththathethterhe
13 5 -8.868 eetitetinthetetittintherethetithistherteeneriethhisternitethatthehieinthehestreastheetttheitethearetheestheetintettethithethterhe
r 5 -8.921 eetitehistthetetithintherethetithistherteeteriethhistertitsethattheshieinthehetreatheetttheitethearetheetheetittettethithethterhe
z4 4 -8.832 tnesenantioneteneandertationentintherteittnanteninthenanetneiteeittintedintinheattheintettinneteintentittheitterineineintinthelain
e 4 -8.828 tneveranterretaneaneantstanentinthattitterinterinthenienetreiteeittintheartinhastthairtattinnatairtintitthaitterearereintinthaisin
z3 3 -8.792 ttenerantearretaneaneanttantentinthatthatterinterinthetienetreiteeittintheartithatthairtattitnatairthttitthaittereareareintitthatit
s 3 -8.939 tnesenantairneteneaneentationenintherteittanenterintheneanetneiteeittintheirtinheattheintettinneteintenittheitteraineineininthelain
14 3 -8.953 eetiteheinthetetethentherethetetheintherteeneriethheinternetiethttheihieinthehentrentheetttheetetheretheentheetintettethethethterhe
z 3 -8.877 tnesenanteraneteneandertstranentinthesterttentsterinthentenetneiteeittistedartinhesttheinteinneteintentittheittereanerneintintersin
