286 | BAV_Barb.lat_6960-1 | pp 2 | 1629 8 1 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 5-6.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 2.
287 | BAV_Barb.lat_6960-2 | pp 4 | 1629 8 1 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 10-12.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 4-6
288 | BAV_Barb.lat_6960-3 | pp 3 | 1629 8 4 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 35-37.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 24-
289 | BAV_Barb.lat_6960-4 | pp 4 | 1629 8 1 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 40-42.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 28-
290 | BAV_Barb.lat_6960-5 | pp 3 | 1629 8 1 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 46-47.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 32-
291 | BAV_Barb.lat_6960-6 | pp 4 | 1629 8 1 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 55-57.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 38-
292 | BAV_Barb.lat_6960-7 | pp 4 | 1629 8 18 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 62-64.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 43-
293 | BAV_Barb.lat_6960-8 | pp 4 | 1629 1 1 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 68-70.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 47-
294 | BAV_Barb.lat_6960-9 | pp 2 | 1629 1 1 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 75-76.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 51.
295 | BAV_Barb.lat_6960-10 | pp 1 | 1629 8 18 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 p. 80.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 55.
296 | BAV_Barb.lat_6960-11 | pp 3 | 1629 8 18 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 83-84.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 57-
297 | BAV_Barb.lat_6960-13 | pp 4 | 1629 8 25 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 97-99.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 67-
298 | BAV_Barb.lat_6960-12 | pp 3 | 1629 8 1 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 90-91.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 62-
299 | BAV_Barb.lat_6960-14 | pp 1 | 1629 1 1 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 p. 105.   Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 71.
300 | BAV_Barb.lat_6960-15 | pp 2 | 1629 8 25 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 109-110.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 7
301 | BAV_Barb.lat_6960-16 | pp 2 | 1629 8 25 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 113-114.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 7
302 | BAV_Barb.lat_6960-17 | pp 2 | 1629 8 28 | https://digi.vatlib.it/view/MSS_Barb.lat.6960 pp. 119-120.  Cifre di Monsignor Giovanni Battista Pallotto, arcivescovo di tessalonica, nunzio all Imperatore, dal 4 agosto al 29 settembre 1629. Fogli 7
