# f.111r (img/c230.jpg) exemplars: file  token=letter  crop box (x0 y0 x1 y1, full-res)  context row
atlas/n_4_111_1.png  4=n  3152 2080 3272 2240  ayant R11
atlas/n_4_111_2.png  4=n  1969 3457 2089 3617  pardon R23
atlas/n_4_111_3.png  4=n  3185 3483 3305 3643  longuement R23
atlas/m_4_111_1.png  4=m  3462 2076 3582 2236  me R11
atlas/m_4_111_2.png  4=m  3688 2086 3808 2246  commettre R11
atlas/m_4_111_3.png  4=m  1772 2857 1892 3017  tement R18
atlas/t_4y_111_1.png  4y=t  2137 2570 2257 2730  honnestete R15
atlas/t_z4_111_1.png  z4=t  4113 2612 4233 2772  avoit R15
atlas/u_X_111_1.png  X=u  2185 2762 2305 2922  refuse R17
atlas/null_X_111_1.png  X=_  1787 2054 1907 2214  credit R11
atlas/u_X_111_2.png  X=u  3647 2797 3767 2957  que R17
atlas/h_+_111_1.png  +=h  1887 2576 2007 2736  honnestete R15
atlas/l_II_111_1.png  II=l  2853 2580 2973 2740  la R15
atlas/l_II_111_2.png  II=l  3287 2593 3407 2753  volonte R15
atlas/o_dp_111_1.png  dp=o  3321 2069 3441 2229  pour R11
atlas/c_dc_111_1.png  dc=c  1840 2050 1960 2210  credit R11
atlas/r_Q_111_1.png  Q=r  3081 2968 3201 3128  rendroit R19
atlas/r_Q8_111_1.png  Q8=r  3645 3096 3765 3256  aurois R20
atlas/e_D_111_1.png  D=e  1640 3226 1760 3386  erver R22
atlas/i_pi_111_1.png  pi=i  3755 2804 3875 2964  indiscretement R17
atlas/j_pi_111_1.png  pi=j  3276 3177 3396 3337  jay R21
atlas/u_A_111_1.png  A=u  2712 2573 2832 2733  que R15
atlas/v_A_111_1.png  A=v  3862 2616 3982 2776  avoit R15
atlas/i_6_111_1.png  6=i  2702 2055 2822 2215  failly R11
atlas/y_6_111_1.png  6=y  3755 2603 3875 2763  y R15
atlas/s_Z_111_1.png  Z=s  2802 2484 2922 2644  use R14
atlas/z_Z_111_1.png  Z=z  3045 2875 3165 3035  hazard R18
atlas/q_8_111_1.png  8=q  2671 2569 2791 2729  que R15
atlas/n_8_111_1.png  8=n  2603 2478 2723 2638  on R14
atlas/q_28_111_1.png  28=q  3300 2885 3420 3045  qui R18
atlas/y_60_111_1.png  60=y  3027 2054 3147 2214  ayant R11
atlas/y_60_111_2.png  60=y  2975 2676 3095 2836  y R16
atlas/y_56_111_1.png  56=y  3122 2167 3242 2327  ducroy R12
atlas/c_56_111_1.png  56=c  4031 2817 4151 2977  indiscretement R17
atlas/y_56_111_2.png  56=y  3412 3184 3532 3344  jay R21
atlas/a_qo_111_1.png  qo=a  3518 2500 3638 2660  a R14
atlas/o_qo_111_1.png  qo=o  3243 2590 3363 2750  volonte R15
atlas/f_q9_111_1.png  q9=f  3302 2496 3422 2656  satisfaire R14
atlas/q_Hh_111_1.png  Hh=q  3600 2797 3720 2957  que R17
atlas/g_Hh_111_1.png  Hh=g  2661 2964 2781 3124  guelle R19
atlas/et_vv_111_1.png  vv=et  2660 2676 2780 2836  et R16
atlas/a_T_111_1.png  T=a  2673 2487 2793 2647  a R14
atlas/s_Tr_111_1.png  Tr=s  3612 2999 3732 3159  si R19
atlas/a_f_111_1.png  f=a  3359 2492 3479 2652  satisfaire R14
atlas/e_t_111_1.png  t=e  3469 2492 3589 2652  satisfaire R14
