C1 eipeudemo
C2 yonsqueiauoisicseiournerdauentagepardecasiieurstoisassistedesidite
C3 maiesteueuquelecreditmostoitasilndpournauoirsatisfaictaupayement
C4 dessommetmesquimontestepreprestesamadoide
C5 mademandene
C6 stostronableetquelonauoitpeudesatisfactiondetantdimportunitesqu
C7 eiaidoneacestercasioniesooisuenuerendrecongedesaditemaiestem
C8 deluyetteretirerenfrancequeielesualioisdemeprocurercebienauerrie
C9 aueteparcequechacuniourderetardementmerendoitnonuoiagedificileet
C10 lalongeurmenostoitlesmoyensdutetilmerespondatquecnnauoitses
C11 ministrespardela
C12 demenalerondemeursquoiielucrepliquayquenlestatouiemeretregoi
C13 siestoiscontraintdemenalermaisquayantseiournepardeca
C14 fairemaretraacteaueclemesnecommand
C15 ement
C16 samaiestetesmoignostqueienelayoffenceenfultrachosequaxim
C17 portunistesqueiacdonereqoquelesilestoitreussysipeudefruitqu
C18 eiepouuoisdiretoutcequeiauoiscinoposedemerereau
C19 surlesadisqueiauoisdeyletentendredeluyleiourq
C20 ueielespouuoisrepresenteraditemaieste
C21 remar
C22 quainostoeaciblesseetceleduetnonobstantlaqueleildemeur
C23 oitmaistredelacampaigne
C24 queiat
C25 endisseenctoresequelquetempsdesnouuelesdecicetquepourmendonerlemo
C26 yenelemauoitordonecinqcensducatnquialentenuironquatrecensc
C27 inquanteescusouuous
C27 iurnsamadridouiemepouuoisr
C28 etireraueclesombassadeursetautresestanspardecadelapartdeprincese
C29 strangiers
C30 mefairefournrcestesommeapreslauoiemercielaboneuoluntedesaditemaiestem
C31 mdesincon
C32 onueniensquipourroientsuccedersilnyestitremedienenceoresquesa
C33 ditemaiesteeustdebonsadisparsesministreseaucoupdechosesneuenoi
C34 entaleercognoissnncequilestoitnecessairequelesreustsilautoncimerespo
C35 ndrecommeneatstantnseidoralasuitedelacouetet
C36 dusesatogenerauxetpuyaiantdict
C37 quacausedelafoitlesseenlaqueleseretrearitlepartnicatholicilnesem
