rows 377 good(>-0.62) 0
-1.88 t47v C1 12 ilmdictmu
-1.82 t50r C12 12 ldarannhe
-1.75 t47v C33 32 neessiidnuoloisdnerpetaurltn
-1.67 t50r C17 34 pdslueletraictemhntestsieoappa
-1.62 t50r C26 30 eianttrpaeuoaeaucredithmqueu
-1.58 t50r C20 43 dedarezuizsedeburoiuntmieuxeepqoistrhet
-1.52 t46v C23 21 niscuesalaeiuldepl
-1.52 t49v C23 43 edepartydaultreeuitensdaoprdlepoaaontnel
-1.51 t48r C36 29 lenemyintaqcomatauecin
-1.51 t49v C38 25 lnreooipuentfacileuente
-1.51 t47r C22 25 ocaruquintestodtylntenu
-1.51 t47v C43 48 atqooisermraieetenirlihresetnueeporueliectit
-1.50 t46r C27 29 iurnsimadridluiemepooldso
-1.50 t46v C7 15 laaindoieluntyc
-1.49 t49v C10 33 escqaualayanttousilurscoentiuu
-1.48 t47v C18 34 quaetresmaaaisqudltentastdeso
-1.48 t46r C29 10 stransieos
-1.48 t50r C14 16 roetlamtassadeed
-1.47 t48v C4 62 etsieestootiuceaprooposquelzuezomoedesoaicnolzmualonsassis
-1.47 t50r C7 54 xqualeursihnestaelendeoindepcseulnuilnuzentdecrstea
-1.47 t48v C38 23 naaeocequilcoanzdstra
-1.46 t46v C12 18 qaarlabataile
-1.46 t49r C22 63 eedretempideoicnaunhnuecdcapresaueierecuilndtantdeiaoroesde
-1.45 t46r C36 36 dusesanzsenerauxetpuyaiantdion
-1.45 t49v C22 12 cqausecquee
-1.45 t46v C26 37 nerenyliusnuesaueodrlarindelaruee
-1.44 t47r C28 65 eodsposeneudnssentfeetectsdqlayantinsdnstenantenaneiaurlispeus
-1.44 t50r C16 57 aucooertuedemilatetdonfozepaducanaamtasshdhurpeescy
-1.44 t47v C38 15 snuisntlaedela
-1.44 t46v C15 15 ceuxquislnni
-1.43 t46v C48 54 esplaeesdepicardiesilzceustestepoereuparpclenuelseo
-1.42 t46v C22 61 antdintdionconmpditrsquonsofintnqaazsouetrirentuetoeusemen
-1.42 t47v C51 48 uconseilzlersontsqspeenzmaispeeneutdeseeusou
-1.41 t48v C25 17 descatholdzuesa
-1.41 t47r C2 30 lustostceiequdsesteequisdedx
-1.41 t49v C20 60 iqueetusperenzuilluitoecthralaoueuemluyferapasracedeleoeuni
-1.40 t49v C32 65 estequilndientaussizuelisiteduhnelutsueleueaenonshlementnaferm
-1.40 t50r C2 65 eapeuilzaontminantliuthoritedeciclcayantprhmieeumentosteladis
-1.40 t49v C31 46 libresdusenmentdefidepitezudlzlucaaroientpr
-1.40 t49v C33 18 iralaeeliaonmais
-1.40 t49v C3 59 ntealedisposhdeuxasauolutsuouaumpdnsdissipetdlementcesue
-1.40 t48v C30 61 oinentddeticilesyserlientportesafelaolaoraitoedelamoeceqiaussc
-1.40 t49v C42 66 lesprinoescatqolizuesyeeausntdetouteleurrlocequeopuuopreuenir
