5 2^. 7^.	527	..
4 6^.. 8	468	..
5 6^.. 7	567	..
7 6^.. 5	765	..
2? 7^.. 3	273	..
3 6 5	365	
6 8^_ 4	684	_
2^_ 0^_ 2^_	202	___
4 3^_ 6	436	_
3 1^.. 3	313	..
1 2 1	121	
5 0^.. 6	506	..
6 8^. 8^.	688	..
5 5^_ 3	553	_
8 5^.. 1	851	..
3 0^_	30	_
5 0^_ 9^_	509	__
3^_ 3^_ 7	337	__
3 9 3	393	
9 4^.. 4	944	..
3 2 2	322	
? 5 4	54	
2 1^.. 5	215	..
6 4^.. 5	645	..
6 6^_ 4	664	_
9 8^.. 3	983	..
1 0^_ 7^_	107	__
2 3^_ 6	236	_
2 0^_ 7^_	207	__
4 8^.. 7	487	..
4 4^_ 0^_	440	__
8 2^_ 3^_	823	__
2 4 1	241	
3 1^_ 2^_	312	__
5 2^.. 3	523	..
? 0^_ ?	0	_
8 9 2	892	
6 8^.. 5	685	..
9 8^.. 6	986	..
9 4 0	940	
9 4 4	944	
6 2 3	623	
1 1^_ 5^_	115	__
3 1^.. 1	311	..
8^. 7^.	87	..
1 0^_ 7^_	107	__
7 5^.. 7	757	..
3^_ 3^_ 9	339	__
7 7 8	778	
5 5^.. 2	552	..
7 2 9	729	
9 7 7	977	
2 1^_ 1	211	_
9 0 2	902	
3 4^.. 5	345	..
9 4^.. 4?	944	..
9 7^.. 1	971	..
2 7^.. 6	276	..
:? 8^..	8	..
9 3^.. 1	931	..
5 1^.. 0	510	..
8^..	8	..
6 2 3	623	
7 3^_ 1^_	731	__
6 7^_ 3^.	673	_.
5 5^_ 4^_	554	__
6 0^. 3^.	603	..
4 9^. 1^.	491	..
8 0^. 9^.	809	..
3 2 8	328	
7 3 7	737	
1 0^_ 7^_	107	__
7 7^.. 7	777	..
5 6 9	569	
7 0 9	709	
3 0^_	30	_
9 2 9	929	
3 1^_ 3	313	_
3 0^_ 3^_	303	__
7 6^_ 2^_	762	__
9 4 0	940	
7 0 9	709	
3 7^.. 8	378	..
8 1 0	810	
2 3^.. 9	239	..
3 8^_ 0^_	380	__
4 3^.. 9	439	..
5 7 1	571	
4 6^_ 6	466	_
2 6 8	268	
7 7^. 3^.	773	..
9 1	91	
3 4^. 9^.	349	..
4 1^_ 0^_	410	__
6 2^_ 3^_	623	__
8 2 3	823	
6 7^.. 9	679	..
8 0^. 9^.	809	..
9 0 7	907	
2 1 0	210	
6 5^.. 7	657	..
3^_	3	_
3 9 0	390	
6 5^.. 9	659	..
5 3^..	53	..
4 7^. 7^.	477	..
5 8^.. 0	580	..
1 2 2	122	
