rec	status	y	m	d	pp	imgs	author	holder	inlineclear
9603	Non-decrypted	1522	5	End Year	6	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 13-14.	Yes
9604	Non-decrypted	1522	5	End Year	4	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 18-19.	Yes
9605	Decrypted	1522	5	End Year	11	6	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 39-44.	No
9606	Non-decrypted	1522	5	End Year	2	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 44-45.	No
9607	Non-decrypted	1522	5	End Year	8	4	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 65-68.	Yes
9608	Non-decrypted	Start Month	Start Day	End Year	3	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 96-97.	No
9609	Non-decrypted	1522	5	End Year	6	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 107-109.	Yes
9610	Non-decrypted	1522	6	End Year	6	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 132-134.	Yes
9611	Non-decrypted	1522	6	End Year	2	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 139.	Yes
9612	Non-decrypted	1522	6	End Year	6	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 167-169.	Yes
9613	Decrypted	1522	6	End Year	11	6	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 203-206.	Yes
9614	Non-decrypted	1522	6	End Year	6	4	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 208-210.	Yes
9615	Non-decrypted	1522	6	End Year	4	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 218-219.	Yes
9616	Non-decrypted	Start Month	Start Day	End Year	9	5	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 224-228.	Yes
9617	Non-decrypted	1522	6	End Year	9	5	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 241-245.	Yes
9618	Non-decrypted	1522	6	End Year	2	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/24, f. 246.	Yes
9619	Non-decrypted	1522	7	10	3	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 16-17.	Yes
9620	Non-decrypted	1522	7	End Year	2	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 24.	Yes
9621	Non-decrypted	1522	7	19	1	1	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 56.	Yes
9622	Non-decrypted	1522	7	19	1	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 75.	Yes
9623	Non-decrypted	1522	7	19	4	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 133-134.	Yes
9624	Non-decrypted	Start Month	Start Day	End Year	4	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 135-136.	No
9625	Decrypted	1522	8	End Year	4	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 137-139.	Yes
9626	Non-decrypted	Start Month	Start Day	End Year	9	5	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 141-144.	Yes
9627	Non-decrypted	Start Month	Start Day	End Year	4	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 145-148.	No
9628	Non-decrypted	Start Month	Start Day	End Year	2	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 156-157.	Yes
9629	Non-decrypted	1522	8	End Year	3	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 158-159.	Yes
9630	Non-decrypted	1522	8	End Year	2	2	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 180.	Yes
9631	Non-decrypted	1522	8	End Year	15	8	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 182-189.	Yes
9632	Non-decrypted	1522	8	End Year	18	9	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/25, f. 198-205.	Yes
9633	Non-decrypted	Start Month	Start Day	End Year	8	5	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 4-7.	Yes
9634	Non-decrypted	1522	9	End Year	6	3	Lope Hurtado de Mendoza	Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 14-16.	Yes
9635	Non-decrypted	1522	Start Day	End Year	5	3	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 20–22.	Yes
9636	Non-decrypted	Start Month	Start Day	End Year	7	4	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 68–71.	Yes
9637	Non-decrypted	1522	10	End Year	1	1	Alonso Sánchez?	Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 76.	Yes
9638	Decrypted	1522	10	11	8	4	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 104–108.	Yes
9639	Non-decrypted	1522	10	End Year	10	5	Alonso Sánchez	Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 111–115.	Yes
9640	Non-decrypted	1522	10	End Year	6	3	Alonso Sánchez?	Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 139–141.	Yes
9641	Non-decrypted	1522	10	End Year	4	2	Alonso Sánchez?	Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 173–174.	Yes
