code	plain
zid	a(h)un
zod	ahun
zud	al
zef	allende
zif	algun
zog	alla
zug	alli
zel	antes
zem	aqui
zom	aquell
zen	arma
zun	assi
yib	bien
yuc	buen
yag	capitan
yig	capitula
yeh	carta
yoh	causa
yom	cierto
yon	como
xa	con
xeb	cosa
xuc	concorda
xed	contra
xid	cre(h)e
xod	creo
xof	da
xuf	deue
xig	de
xog	dezir?
xel	del
xil	dello
xul	despues
va	desponho
vo	dinero
vu	di
vuo	dix
vec	dize
vic	dicho
vuc	do
vud	ducato
vag	echo?
veg	el
vam	embaxa
vim	emperador
vog	en
vol	entre
vil	enbia
vom	esto
vum	esta
ta	es
te	espera
teb	espa(g)nol?
tub	escrevi
toc	exercito?
tid	favor
taf	falta?
tom	francia
tum	frances
sa	fue
sab	gasta?
sib	galera
sac	gente
sid	governador
sef	guarda
sof	guerra
suf	ha(s)
seg	habra
sog	have
sug	habla
sam	haui
re	hombre
rac	infante
rec	Inglaterra
rof	justa?
rug	la
pac	lo
pec	lugar
pic	luego
pi	llega
pad	Marquese Pescara
ped	mas
pid	mal
pud	magestad
paf	menda
pef	me
pof	menos
pag	mente
pog	mesmo
pif	mesor?
pil	mente?
pol	mi
ne	muy
neb	nuestra?
nuc	nada?
nod	necessidad
nef	ni
nuf	no
no	nuissa?
nel	obispo
nul	obliga
ma	occorie
meb	officio
maf	otra
mud	otro
mod	os
mef	paz
mof	parte
muf	parti
mig	passe?
mog	passa
mug	palabla?
mel	parecia
mil	para
mol	persona
mem	pensor?
lu	por
lac	principe
lic	prometi
lod	principal
lof	puisio??
lig	pues
lug	publico
lal	publica
lol	pudi
lul	qual
lam	quando
lom	quatro
ha?	quanto
ho	que
hob	quien
hed	rey
hid	Rey de Francia
haf	Rey de Hungria
hof	reyno
hig	respuesta
hug	recebi?
ge	rompe
gad	se
gub	senor
goc	secreto
geg	si
gel	sobre
gul	sospecha
gam	su
gim	suquos?
fob	tambien
fib	tanta
fab	tene
fic	tiene?
fod	tenia
fud	tiempo
faf	todo
fug	tres?
fen	turco
dib	ver
ded	veni
dod	vi
def	visorey
dif	Visorey de Napoles
dog	vimes
dal	un
del	union
do	venecia
dol	voluntad
dom	vuestra
cob	xviii
cad	xx
cud	xxiv?
caf	xxv
cig	ya
cem	yo
con	za?
cab	xv [this project: interpolated]
ceb	xvi [this project: interpolated]
cib	xvii [this project: interpolated]
cef	xxvi [this project: confirmed in R9653]
cif	xxvii [this project: confirmed in R9653]
cof	xxviii [this project: interpolated]
cuf	xxix [this project: interpolated]
