# Spanish Cipher (1592-1593), key published by S. Tomokiyo, cryptiana "Spanish Ciphers during
# the Reign of Philip II", image henryiv-> spanish3 phelippes2.png, captioned "Spanish Cipher (1592-1593)".
# Used among Philip II, Parma, Feria, Sessa, Acuna, Olivares, Fuentes, Tassis, Ibarra, Doria and Miranda.
# Syllables (consonant + vowel), two digits:
10	ba
11	be
12	bi
13	bo
14	bu
19	ca
18	ce
17	ci
16	co
15	cu
24	da
23	de
22	di
21	do
20	du
25	fa
26	fe
27	fi
28	fo
29	fu
34	ga
33	ge
32	gi
31	go
30	gu
35	ya
38	yo
39	yu
53	jo
54	ju
40	ha
41	he
42	hi
43	ho
44	hu
45	la
46	le
47	li
48	lo
49	lu
55	ma
56	me
57	mi
58	mo
59	mu
64	na
63	ne
62	ni
61	no
60	nu
65	pa
66	pe
67	pi
68	po
69	pu
74	qua
73	que
72	qui
75	ra
76	re
77	ri
78	ro
79	ru
90	sa
91	se
92	si
93	so
94	su
80	ta
81	te
82	ti
83	to
84	tu
89	va
88	ve
87	vi
95	xa
98	xi
704	za
705	ze
706	zi
# --- NOMENCLATURE, from the office key BnF fr. 3995 fol. 97 (Gallica btv1b525085665, canvas 188),
# --- found via DECODE records 4076/4077 ("BNF_Français_3995_094/096", keys of Don Diego de Ibarra
# --- and the Duc de Sessa with "Le Roy Catolique"). Absent from Tomokiyo's published table.
ʒo	aunque
dis	alli
di	alla
gue	aquella
bu	agora
hes	armas
fo	antes
ʒa	autoridad
ge	aqui
dee	alguna
ce	adelante
gî	aquellos
ʃes	causa
87	bien
moe	buena
ʃ	en
xel	exercito
vul	estados
rol	election
dam	fin
gam	Francia
fem	forma
gim	fuerça
fumî	franceses
gum	gente
ʒim	lugar
vom	legato
ra	lettera
der	marques
ʒur	muy
far	mente
hur	mucho
ʒum	magestad
dox	mas
caʒ	manda
cer	manera
ʃur	ministro
norî	negocios
nirî	necessidades
nes	quando
ʒot	que
lus	qual
nus	quien
sas	remedio
tas	Rey
pos	razon
tis	Reyno
rus	religion
pem	reputacion
vos	Roma
ʒus	seignor
yas	satisfecho
