code,character,codepoint
0001,一,U+4E00
0002,丁,U+4E01
0003,七,U+4E03
0004,丈,U+4E08
0005,三,U+4E09
0006,上,U+4E0A
0007,下,U+4E0B
0008,不,U+4E0D
0009,丐,U+4E10
0010,丑,U+4E11
0011,且,U+4E14
0012,丕,U+4E15
0013,世,U+4E16
0014,丙,U+4E19
0015,丞,U+4E1E
0016,丢,U+4E22
0017,並,U+4E26
0018,丏,U+4E0F
0019,丨,U+4E28
0020,个,U+4E2A
0021,丫,U+4E2B
0022,中,U+4E2D
0023,丰,U+4E30
0025,串,U+4E32
0026,锕,U+9515
0027,丶,U+4E36
0028,锿,U+953F
0029,丸,U+4E38
0030,丹,U+4E39
0031,主,U+4E3B
0032,砹,U+7839
0033,丿,U+4E3F
0034,乂,U+4E42
0035,乃,U+4E43
0036,久,U+4E45
0037,之,U+4E4B
0038,乍,U+4E4D
0039,乎,U+4E4E
0040,乏,U+4E4F
0041,乖,U+4E56
0042,乘,U+4E58
0043,桉,U+6849
0044,乙,U+4E59
0045,乜,U+4E5C
0046,九,U+4E5D
0047,乞,U+4E5E
0048,也,U+4E5F
0050,乳,U+4E73
0051,乾,U+4E7E
0052,乱,U+4E71
0053,凼,U+51FC
0054,亅,U+4E85
0055,了,U+4E86
0056,予,U+4E88
0057,事,U+4E8B
0058,苯,U+82EF
0059,二,U+4E8C
0060,于,U+4E8E
0061,云,U+4E91
0062,互,U+4E92
0063,五,U+4E94
0064,井,U+4E95
0067,些,U+4E9B
0068,亚,U+4E9A
0069,亟,U+4E9F
0070,吡,U+5421
0071,亠,U+4EA0
0072,亡,U+4EA1
0073,亢,U+4EA2
0074,交,U+4EA4
0075,亥,U+4EA5
0076,亦,U+4EA6
0077,亨,U+4EA8
0078,享,U+4EAB
0079,京,U+4EAC
0080,亭,U+4EAD
0081,亮,U+4EAE
0082,亳,U+4EB3
0083,亶,U+4EB6
0085,醭,U+91AD
0086,人,U+4EBA
0087,什,U+4EC0
0088,仁,U+4EC1
0089,仃,U+4EC3
0090,仄,U+4EC4
0091,仆,U+4EC6
0092,仇,U+4EC7
0093,今,U+4ECA
0094,介,U+4ECB
0095,仍,U+4ECD
0096,佣,U+4F63
0097,佬,U+4F6C
0098,仔,U+4ED4
0099,仕,U+4ED5
0100,他,U+4ED6
0101,仗,U+4ED7
0102,付,U+4ED8
0103,仙,U+4ED9
0104,仝,U+4EDD
0105,仞,U+4EDE
0106,仡,U+4EE1
0107,仟,U+4EDF
0108,代,U+4EE3
0109,令,U+4EE4
0110,以,U+4EE5
0111,仰,U+4EF0
0112,仲,U+4EF2
0113,仳,U+4EF3
0114,仵,U+4EF5
0115,件,U+4EF6
0116,价,U+4EF7
0117,任,U+4EFB
0118,份,U+4EFD
0119,仿,U+4EFF
0120,企,U+4F01
0121,伉,U+4F09
0122,伊,U+4F0A
0123,伋,U+4F0B
0124,伍,U+4F0D
0125,伎,U+4F0E
0126,伏,U+4F0F
0127,伐,U+4F10
0128,休,U+4F11
0129,伙,U+4F19
0130,伯,U+4F2F
0131,估,U+4F30
0132,你,U+4F60
0133,伴,U+4F34
0134,伶,U+4F36
0135,伸,U+4F38
0136,伺,U+4F3A
0137,伻,U+4F3B
0138,似,U+4F3C
0139,倮,U+502E
0140,佃,U+4F43
0141,但,U+4F46
0143,位,U+4F4D
0144,低,U+4F4E
0145,住,U+4F4F
0146,佐,U+4F50
0147,佑,U+4F51
0149,何,U+4F55
0150,佗,U+4F57
0151,余,U+4F59
0152,佘,U+4F58
0153,佚,U+4F5A
0154,佛,U+4F5B
0155,作,U+4F5C
0156,佞,U+4F5E
0157,佟,U+4F5F
0158,佺,U+4F7A
0160,佩,U+4F69
0161,伢,U+4F22
0162,佯,U+4F6F
0163,佳,U+4F73
0165,佶,U+4F76
0166,佝,U+4F5D
0167,佻,U+4F7B
0168,佾,U+4F7E
0169,使,U+4F7F
0170,侃,U+4F83
0171,来,U+6765
0172,侈,U+4F88
0173,例,U+4F8B
0174,侍,U+4F8D
0175,侏,U+4F8F
0176,侑,U+4F91
0177,侔,U+4F94
0178,仑,U+4ED1
0179,侗,U+4F97
0180,供,U+4F9B
0181,依,U+4F9D
0183,伕,U+4F15
0184,佰,U+4F70
0185,侮,U+4FAE
0186,侯,U+4FAF
0187,侵,U+4FB5
0188,侣,U+4FA3
0189,便,U+4FBF
0191,促,U+4FC3
0192,俄,U+4FC4
0193,俊,U+4FCA
0194,俎,U+4FCE
0195,俏,U+4FCF
0196,俐,U+4FD0
0197,俑,U+4FD1
0198,俗,U+4FD7
0199,俘,U+4FD8
0200,俚,U+4FDA
0201,佡,U+4F61
0202,保,U+4FDD
0203,俟,U+4FDF
0204,侠,U+4FA0
0205,俞,U+4FDE
0206,俫,U+4FEB
0207,信,U+4FE1
0208,修,U+4FEE
0209,俶,U+4FF6
0210,伥,U+4F25
0211,働,U+50CD
0212,倌,U+500C
0213,倬,U+502C
0214,俯,U+4FEF
0215,俱,U+4FF1
0216,俳,U+4FF3
0217,俵,U+4FF5
0218,俸,U+4FF8
0219,俺,U+4FFA
0220,俾,U+4FFE
0221,仓,U+4ED3
0223,倍,U+500D
0224,俩,U+4FE9
0225,倏,U+500F
0226,们,U+4EEC
0227,倒,U+5012
0229,倘,U+5018
0230,候,U+5019
0231,倚,U+501A
0232,倜,U+501C
0234,借,U+501F
0235,倡,U+5021
0237,值,U+503C
0238,倥,U+5025
0239,倦,U+5026
0240,倨,U+5028
0241,倩,U+5029
0242,倪,U+502A
0243,伦,U+4F26
0244,倭,U+502D
0245,偈,U+5048
0246,偎,U+504E
0247,傻,U+50BB
0249,偃,U+5043
0250,假,U+5047
0251,伟,U+4F1F
0252,偏,U+504F
0253,偕,U+5055
0254,做,U+505A
0255,停,U+505C
0256,健,U+5065
0258,侧,U+4FA7
0259,侦,U+4FA6
0260,偶,U+5076
0261,仫,U+4EEB
0262,偷,U+5077
0263,伧,U+4F27
0264,傀,U+5080
0265,傅,U+5085
0266,傍,U+508D
0267,傑,U+5091
0268,傒,U+5092
0269,傈,U+5088
0270,伞,U+4F1E
0271,备,U+5907
0275,催,U+50AC
0277,傲,U+50B2
0278,传,U+4F20
0279,伛,U+4F1B
0280,债,U+503A
0281,伤,U+4F24
0282,倾,U+503E
0283,偻,U+507B
0284,仅,U+4EC5
0286,佥,U+4F65
0287,僳,U+50F3
0288,像,U+50CF
0291,僦,U+50E6
0292,偾,U+507E
0294,侨,U+4FA8
0296,僖,U+50D6
0297,僚,U+50DA
0298,伪,U+4F2A
0299,侥,U+4FA5
0300,僧,U+50E7
0301,僭,U+50ED
0302,僮,U+50EE
0304,僵,U+50F5
0306,僻,U+50FB
0308,仪,U+4EEA
0309,侬,U+4FAC
0310,亿,U+4EBF
0311,儆,U+5106
0312,侩,U+4FA9
0313,俭,U+4FED
0314,傤,U+50A4
0316,僰,U+50F0
0317,儋,U+510B
0318,儇,U+5107
0319,傧,U+50A7
0320,儒,U+5112
0321,俦,U+4FE6
0322,侪,U+4FAA
0326,偿,U+507F
0327,优,U+4F18
0328,储,U+50A8
0330,俪,U+4FEA
0331,傥,U+50A5
0332,俨,U+4FE8
0334,儿,U+513F
0335,兀,U+5140
0336,允,U+5141
0337,元,U+5143
0338,兄,U+5144
0339,充,U+5145
0340,兆,U+5146
0341,先,U+5148
0342,光,U+5149
0344,克,U+514B
0345,兑,U+5151
0346,免,U+514D
0347,兔,U+5154
0349,兕,U+5155
0350,兖,U+5156
0351,兜,U+515C
0352,兢,U+5162
0354,入,U+5165
0355,内,U+5185
0356,全,U+5168
0357,两,U+4E24
0359,钚,U+949A
0360,八,U+516B
0361,公,U+516C
0362,六,U+516D
0363,兮,U+516E
0364,共,U+5171
0365,兵,U+5175
0366,其,U+5176
0367,具,U+5177
0368,典,U+5178
0369,兼,U+517C
0370,冀,U+5180
0371,糍,U+7CCD
0372,冂,U+5182
0373,冉,U+5189
0374,册,U+518C
0375,再,U+518D
0376,冏,U+518F
0377,冇,U+5187
0379,冒,U+5192
0380,冕,U+5195
0381,镩,U+9569
0382,冖,U+5196
0383,冗,U+5197
0385,冠,U+51A0
0386,冢,U+51A2
0387,冤,U+51A4
0388,冥,U+51A5
0389,幂,U+5E42
0390,耖,U+8016
0391,冫,U+51AB
0392,冬,U+51AC
0393,冰,U+51B0
0394,冲,U+51B2
0395,冱,U+51B1
0396,冶,U+51B6
0397,冷,U+51B7
0398,冮,U+51AE
0399,冽,U+51BD
0400,况,U+51B5
0401,凄,U+51C4
0402,准,U+51C6
0403,净,U+51C0
0404,凉,U+51C9
0405,冼,U+51BC
0406,凋,U+51CB
0407,凌,U+51CC
0408,冻,U+51BB
0410,凑,U+51D1
0412,凛,U+51DB
0413,凝,U+51DD
0414,决,U+51B3
0415,几,U+51E0
0416,凡,U+51E1
0417,凭,U+51ED
0418,凯,U+51EF
0419,凳,U+51F3
0420,凰,U+51F0
0421,茌,U+830C
0422,凵,U+51F5
0423,凶,U+51F6
0424,凸,U+51F8
0425,凹,U+51F9
0427,出,U+51FA
0428,函,U+51FD
0429,菪,U+83EA
0430,刀,U+5200
0431,刁,U+5201
0432,刃,U+5203
0433,分,U+5206
0434,切,U+5207
0435,刈,U+5208
0436,刊,U+520A
0437,刎,U+520E
0438,刑,U+5211
0439,划,U+5212
0440,刖,U+5216
0441,列,U+5217
0442,刨,U+5228
0443,初,U+521D
0444,删,U+5220
0445,判,U+5224
0446,别,U+522B
0448,利,U+5229
0449,剁,U+5241
0450,刮,U+522E
0451,到,U+5230
0452,刲,U+5232
0453,刳,U+5233
0455,制,U+5236
0456,刷,U+5237
0457,券,U+5238
0458,刹,U+5239
0459,刺,U+523A
0461,剃,U+5243
0462,刭,U+522D
0463,则,U+5219
0465,削,U+524A
0466,刻,U+523B
0467,前,U+524D
0468,剜,U+525C
0469,剌,U+524C
0470,剡,U+5261
0471,剔,U+5254
0472,剖,U+5256
0473,刬,U+522C
0474,刚,U+521A
0475,剥,U+5265
0476,剩,U+5269
0477,剪,U+526A
0478,剐,U+5250
0479,副,U+526F
0480,割,U+5272
0481,剀,U+5240
0482,创,U+521B
0484,剽,U+527D
0485,剿,U+527F
0489,剧,U+5267
0490,劈,U+5288
0491,刘,U+5218
0492,刽,U+523D
0494,剑,U+5251
0495,剂,U+5242
0496,劓,U+5293
0497,劘,U+5298
0499,剅,U+5245
0500,力,U+529B
0501,功,U+529F
0502,加,U+52A0
0503,劣,U+52A3
0504,助,U+52A9
0505,努,U+52AA
0506,劫,U+52AB
0507,劬,U+52AC
0508,劭,U+52AD
0509,効,U+52B9
0510,劻,U+52BB
0511,劾,U+52BE
0512,劼,U+52BC
0513,劲,U+52B2
0514,勃,U+52C3
0515,勐,U+52D0
0516,勇,U+52C7
0517,勉,U+52C9
0518,勍,U+52CD
0519,勒,U+52D2
0520,动,U+52A8
0521,勖,U+52D6
0522,勘,U+52D8
0523,务,U+52A1
0524,胜,U+80DC
0525,劳,U+52B3
0527,募,U+52DF
0528,势,U+52BF
0530,勤,U+52E4
0532,勚,U+52DA
0533,勰,U+52F0
0534,勳,U+52F3
0535,劢,U+52A2
0536,励,U+52B1
0537,勷,U+52F7
0538,劝,U+529D
0539,锝,U+951D
0540,勹,U+52F9
0541,勺,U+52FA
0542,匀,U+5300
0543,勿,U+52FF
0545,包,U+5305
0546,匈,U+5308
0547,匊,U+530A
0548,匍,U+530D
0549,匏,U+530F
0550,匐,U+5310
0551,勾,U+52FE
0552,匕,U+5315
0553,化,U+5316
0554,北,U+5317
0555,匙,U+5319
0556,碲,U+78B2
0557,匚,U+531A
0558,匜,U+531C
0559,匝,U+531D
0561,匠,U+5320
0562,匡,U+5321
0563,匣,U+5323
0564,匪,U+532A
0565,汇,U+6C47
0566,匮,U+532E
0567,匦,U+5326
0570,啶,U+5576
0571,匸,U+5338
0572,匹,U+5339
0573,匾,U+533E
0574,匿,U+533F
0575,区,U+533A
0576,铥,U+94E5
0577,十,U+5341
0578,千,U+5343
0579,廿,U+5EFF
0580,卅,U+5345
0581,升,U+5347
0582,午,U+5348
0583,卉,U+5349
0584,半,U+534A
0585,卑,U+5351
0586,卒,U+5352
0587,卓,U+5353
0588,协,U+534F
0589,南,U+5357
0590,博,U+535A
0592,卜,U+535C
0593,卞,U+535E
0594,占,U+5360
0595,卡,U+5361
0596,卣,U+5363
0597,卦,U+5366
0598,氡,U+6C21
0599,卩,U+5369
0602,卯,U+536F
0603,印,U+5370
0604,危,U+5371
0606,却,U+5374
0607,卵,U+5375
0608,卷,U+5377
0609,卸,U+5378
0610,卺,U+537A
0612,卮,U+536E
0613,即,U+5373
0615,卿,U+537F
0616,胨,U+80E8
0617,厂,U+5382
0618,厄,U+5384
0622,厘,U+5398
0623,厍,U+538D
0624,厚,U+539A
0625,厝,U+539D
0626,原,U+539F
0627,厕,U+5395
0628,厥,U+53A5
0630,厌,U+538C
0631,厮,U+53AE
0632,厉,U+5389
0633,厦,U+53A6
0634,胴,U+80F4
0635,厶,U+53B6
0637,去,U+53BB
0638,叁,U+53C1
0639,参,U+53C2
0641,塅,U+5845
0642,又,U+53C8
0643,叉,U+53C9
0644,及,U+53CA
0645,友,U+53CB
0646,反,U+53CD
0647,叔,U+53D4
0648,取,U+53D6
0649,受,U+53D7
0650,叙,U+53D9
0651,叛,U+53DB
0652,叟,U+53DF
0654,丛,U+4E1B
0655,叠,U+53E0
0656,口,U+53E3
0657,古,U+53E4
0658,句,U+53E5
0659,另,U+53E6
0660,叨,U+53E8
0661,叩,U+53E9
0662,只,U+53EA
0663,叫,U+53EB
0664,召,U+53EC
0665,叭,U+53ED
0666,叮,U+53EE
0667,叱,U+53F1
0668,可,U+53EF
0669,台,U+53F0
0670,史,U+53F2
0671,右,U+53F3
0672,叵,U+53F5
0673,叶,U+53F6
0674,司,U+53F8
0675,吁,U+5401
0676,吃,U+5403
0677,各,U+5404
0678,合,U+5408
0679,吉,U+5409
0680,吊,U+540A
0681,同,U+540C
0682,名,U+540D
0683,后,U+540E
0684,吏,U+540F
0685,吐,U+5410
0686,向,U+5411
0687,吓,U+5413
0689,君,U+541B
0690,吝,U+541D
0691,吞,U+541E
0692,吟,U+541F
0693,吠,U+5420
0694,否,U+5426
0695,吩,U+5429
0696,咐,U+5490
0697,吆,U+5406
0698,含,U+542B
0699,吭,U+542D
0700,吮,U+542E
0701,呈,U+5448
0702,吴,U+5434
0703,吵,U+5435
0704,呐,U+5450
0705,吸,U+5438
0706,吹,U+5439
0707,告,U+544A
0708,吻,U+543B
0709,吼,U+543C
0710,吾,U+543E
0711,呀,U+5440
0712,吕,U+5415
0713,呃,U+5443
0714,呆,U+5446
0715,咂,U+5482
0716,呢,U+5462
0717,呦,U+5466
0718,呋,U+544B
0719,周,U+5468
0720,咒,U+5492
0721,吧,U+5427
0722,呱,U+5471
0724,味,U+5473
0725,呵,U+5475
0726,呶,U+5476
0727,呷,U+5477
0728,呻,U+547B
0729,呼,U+547C
0730,命,U+547D
0731,咀,U+5480
0732,咄,U+5484
0733,咆,U+5486
0734,咕,U+5495
0735,和,U+548C
0736,咎,U+548E
0737,咏,U+548F
0738,咋,U+548B
0739,咖,U+5496
0740,哎,U+54CE
0741,咤,U+54A4
0742,响,U+54CD
0743,咪,U+54AA
0744,咧,U+54A7
0745,咨,U+54A8
0746,咫,U+54AB
0747,咬,U+54AC
0748,咯,U+54AF
0749,咱,U+54B1
0750,咳,U+54B3
0752,咸,U+54B8
0754,咽,U+54BD
0755,哀,U+54C0
0756,品,U+54C1
0757,哂,U+54C2
0758,哄,U+54C4
0759,啊,U+554A
0760,哇,U+54C7
0761,哈,U+54C8
0762,哉,U+54C9
0763,哪,U+54EA
0764,咿,U+54BF
0765,员,U+5458
0766,哥,U+54E5
0767,唔,U+5514
0768,哦,U+54E6
0769,哩,U+54E9
0770,哭,U+54ED
0771,哮,U+54EE
0772,哲,U+54F2
0773,哺,U+54FA
0774,哼,U+54FC
0775,哽,U+54FD
0776,哿,U+54FF
0777,唁,U+5501
0778,唆,U+5506
0780,唉,U+5509
0781,唐,U+5510
0782,唇,U+5507
0783,哨,U+54E8
0784,啦,U+5566
0785,唏,U+550F
0786,售,U+552E
0787,唯,U+552F
0788,唱,U+5531
0789,唳,U+5533
0790,唾,U+553E
0791,啁,U+5541
0793,啄,U+5544
0794,商,U+5546
0795,问,U+95EE
0796,启,U+542F
0797,啖,U+5556
0798,啥,U+5565
0799,啜,U+555C
0800,哑,U+54D1
0801,唬,U+552C
0802,啤,U+5564
0803,啡,U+5561
0804,啻,U+557B
0805,啼,U+557C
0806,喁,U+5581
0807,喀,U+5580
