code,character,codepoint
0001,一,U+4E00
0002,丁,U+4E01
0003,七,U+4E03
0004,丈,U+4E08
0005,三,U+4E09
0006,上,U+4E0A
0007,下,U+4E0B
0008,不,U+4E0D
0009,丐,U+4E10
0010,丑,U+4E11
0011,且,U+4E14
0012,丕,U+4E15
0013,世,U+4E16
0014,丙,U+4E19
0015,丞,U+4E1E
0016,丢,U+4E22
0017,並,U+4E26
0019,丨,U+4E28
0020,个,U+4E2A
0021,丫,U+4E2B
0022,中,U+4E2D
0023,丰,U+4E30
0024,丱,U+4E31
0025,串,U+4E32
0027,丶,U+4E36
0029,丸,U+4E38
0030,丹,U+4E39
0031,主,U+4E3B
0033,丿,U+4E3F
0034,乂,U+4E42
0035,乃,U+4E43
0036,久,U+4E45
0037,之,U+4E4B
0038,乍,U+4E4D
0039,乎,U+4E4E
0040,乏,U+4E4F
0041,乖,U+4E56
0042,乘,U+4E58
0044,乙,U+4E59
0045,乜,U+4E5C
0046,九,U+4E5D
0047,乞,U+4E5E
0048,也,U+4E5F
0049,乩,U+4E69
0050,乳,U+4E73
0051,乾,U+4E7E
0052,亂,U+4E82
0053,氹,U+6C39
0054,亅,U+4E85
0055,了,U+4E86
0056,予,U+4E88
0057,事,U+4E8B
0059,二,U+4E8C
0060,于,U+4E8E
0061,云,U+4E91
0062,互,U+4E92
0063,五,U+4E94
0064,井,U+4E95
0065,亙,U+4E99
0066,况,U+2F81B
0067,些,U+4E9B
0068,亞,U+4E9E
0069,亟,U+4E9F
0071,亠,U+4EA0
0072,亡,U+4EA1
0073,亢,U+4EA2
0074,交,U+4EA4
0075,亥,U+4EA5
0076,亦,U+4EA6
0077,亨,U+4EA8
0078,享,U+4EAB
0079,京,U+4EAC
0080,亭,U+4EAD
0081,亮,U+4EAE
0082,亳,U+4EB3
0083,亶,U+4EB6
0084,亹,U+4EB9
0086,人,U+4EBA
0087,什,U+4EC0
0088,仁,U+4EC1
0089,仃,U+4EC3
0090,仄,U+4EC4
0091,仆,U+4EC6
0092,仇,U+4EC7
0093,今,U+4ECA
0094,介,U+4ECB
0095,仍,U+4ECD
0096,仂,U+4EC2
0097,仉,U+4EC9
0098,仔,U+4ED4
0099,仕,U+4ED5
0100,他,U+4ED6
0101,仗,U+4ED7
0102,付,U+4ED8
0103,仙,U+4ED9
0104,仝,U+4EDD
0105,仞,U+4EDE
0106,仡,U+4EE1
0107,仟,U+4EDF
0108,代,U+4EE3
0109,令,U+4EE4
0110,以,U+4EE5
0111,仰,U+4EF0
0112,仲,U+4EF2
0113,仳,U+4EF3
0114,仵,U+4EF5
0115,件,U+4EF6
0116,价,U+4EF7
0117,任,U+4EFB
0118,份,U+4EFD
0119,仿,U+4EFF
0120,企,U+4F01
0121,伉,U+4F09
0122,伊,U+4F0A
0123,伋,U+4F0B
0124,伍,U+4F0D
0125,伎,U+4F0E
0126,伏,U+4F0F
0127,伐,U+4F10
0128,休,U+4F11
0129,伙,U+4F19
0130,伯,U+4F2F
0131,估,U+4F30
0132,你,U+4F60
0133,伴,U+4F34
0134,伶,U+4F36
0135,伸,U+4F38
0136,伺,U+4F3A
0137,伻,U+4F3B
0138,似,U+4F3C
0139,伽,U+4F3D
0140,佃,U+4F43
0141,但,U+4F46
0142,佈,U+4F48
0143,位,U+4F4D
0144,低,U+4F4E
0145,住,U+4F4F
0146,佐,U+4F50
0147,佑,U+4F51
0148,佔,U+4F54
0149,何,U+4F55
0150,佗,U+4F57
0151,余,U+4F59
0152,佘,U+4F58
0153,佚,U+4F5A
0154,佛,U+4F5B
0155,作,U+4F5C
0156,佞,U+4F5E
0157,佟,U+4F5F
0158,佺,U+4F7A
0159,佽,U+4F7D
0160,佩,U+4F69
0161,佪,U+4F6A
0162,佯,U+4F6F
0163,佳,U+4F73
0164,併,U+4F75
0165,佶,U+4F76
0166,佸,U+4F78
0167,佻,U+4F7B
0168,佾,U+4F7E
0169,使,U+4F7F
0170,侃,U+4F83
0171,來,U+4F86
0172,侈,U+4F88
0173,例,U+4F8B
0174,侍,U+4F8D
0175,侏,U+4F8F
0176,侑,U+4F91
0177,侔,U+4F94
0178,侖,U+4F96
0179,侗,U+4F97
0180,供,U+4F9B
0181,依,U+4F9D
0182,侷,U+4FB7
0183,俔,U+4FD4
0184,俅,U+4FC5
0185,侮,U+4FAE
0186,侯,U+4FAF
0187,侵,U+4FB5
0188,侶,U+4FB6
0189,便,U+4FBF
0190,係,U+4FC2
0191,促,U+4FC3
0192,俄,U+4FC4
0193,俊,U+4FCA
0194,俎,U+4FCE
0195,俏,U+4FCF
0196,俐,U+4FD0
0197,俑,U+4FD1
0198,俗,U+4FD7
0199,俘,U+4FD8
0200,俚,U+4FDA
0201,俛,U+4FDB
0202,保,U+4FDD
0203,俟,U+4FDF
0204,俠,U+4FE0
0205,俞,U+4FDE
0206,倈,U+5008
0207,信,U+4FE1
0208,修,U+4FEE
0209,俶,U+4FF6
0210,倀,U+5000
0211,倅,U+5005
0212,倌,U+500C
0213,倬,U+502C
0214,俯,U+4FEF
0215,俱,U+4FF1
0216,俳,U+4FF3
0217,俵,U+4FF5
0218,俸,U+4FF8
0219,俺,U+4FFA
0220,俾,U+4FFE
0221,倉,U+5009
0222,個,U+500B
0223,倍,U+500D
0224,倆,U+5006
0225,倏,U+500F
0226,們,U+5011
0227,倒,U+5012
0228,倖,U+5016
0229,倘,U+5018
0230,候,U+5019
0231,倚,U+501A
0232,倜,U+501C
0233,倂,U+5002
0234,借,U+501F
0235,倡,U+5021
0236,倣,U+5023
0237,值,U+503C
0238,倥,U+5025
0239,倦,U+5026
0240,倨,U+5028
0241,倩,U+5029
0242,倪,U+502A
0243,倫,U+502B
0244,倭,U+502D
0245,偈,U+5048
0246,偎,U+504E
0247,偲,U+5072
0248,偁,U+5041
0249,偃,U+5043
0250,假,U+5047
0251,偉,U+5049
0252,偏,U+504F
0253,偕,U+5055
0254,做,U+505A
0255,停,U+505C
0256,健,U+5065
0257,偪,U+506A
0258,側,U+5074
0259,偵,U+5075
0260,偶,U+5076
0261,傎,U+508E
0262,傔,U+5094
0263,傖,U+5096
0264,傀,U+5080
0265,傅,U+5085
0266,傍,U+508D
0267,傑,U+5091
0268,傒,U+5092
0269,偫,U+506B
0270,傘,U+5098
0271,備,U+5099
0272,傚,U+509A
0273,傞,U+509E
0274,𠉰,U+20270
0275,催,U+50AC
0276,傭,U+50AD
0277,傲,U+50B2
0278,傳,U+50B3
0279,傴,U+50B4
0280,債,U+50B5
0281,傷,U+50B7
0282,傾,U+50BE
0283,僂,U+50C2
0284,僅,U+50C5
0285,僇,U+50C7
0286,僉,U+50C9
0287,僊,U+50CA
0288,像,U+50CF
0289,僱,U+50F1
0290,僎,U+50CE
0291,僦,U+50E6
0292,僨,U+50E8
0293,僩,U+50E9
0294,僑,U+50D1
0295,僕,U+50D5
0296,僖,U+50D6
0297,僚,U+50DA
0298,偽,U+507D
0299,僥,U+50E5
0300,僧,U+50E7
0301,僭,U+50ED
0302,僮,U+50EE
0303,儁,U+5101
0304,僵,U+50F5
0305,價,U+50F9
0306,僻,U+50FB
0307,僾,U+50FE
0308,儀,U+5100
0309,儂,U+5102
0310,億,U+5104
0311,儆,U+5106
0312,儈,U+5108
0313,儉,U+5109
0314,儎,U+510E
0315,儌,U+510C
0316,僰,U+50F0
0317,儋,U+510B
0318,儇,U+5107
0319,儐,U+5110
0320,儒,U+5112
0321,儔,U+5114
0322,儕,U+5115
0323,儗,U+5117
0324,儘,U+5118
0325,儤,U+5124
0326,償,U+511F
0327,優,U+512A
0328,儲,U+5132
0329,儳,U+5133
0330,儷,U+5137
0331,儻,U+513B
0332,儼,U+513C
0333,兡,U+5161
0334,儿,U+513F
0335,兀,U+5140
0336,允,U+5141
0337,元,U+5143
0338,兄,U+5144
0339,充,U+5145
0340,兆,U+5146
0341,先,U+5148
0342,光,U+5149
0343,兇,U+5147
0344,克,U+514B
0345,兌,U+514C
0346,免,U+514D
0347,兔,U+5154
0348,兒,U+5152
0349,兕,U+5155
0350,兗,U+5157
0351,兜,U+515C
0352,兢,U+5162
0353,兣,U+5163
0354,入,U+5165
0355,內,U+5167
0356,全,U+5168
0357,兩,U+5169
0358,兪,U+516A
0360,八,U+516B
0361,公,U+516C
0362,六,U+516D
0363,兮,U+516E
0364,共,U+5171
0365,兵,U+5175
0366,其,U+5176
0367,具,U+5177
0368,典,U+5178
0369,兼,U+517C
0370,冀,U+5180
0372,冂,U+5182
0373,冉,U+5189
0374,册,U+518C
0375,再,U+518D
0376,冏,U+518F
0377,冓,U+5193
0378,冑,U+5191
0379,冒,U+5192
0380,冕,U+5195
0382,冖,U+5196
0383,冗,U+5197
0384,冞,U+519E
0385,冠,U+51A0
0386,冢,U+51A2
0387,冤,U+51A4
0388,冥,U+51A5
0389,冪,U+51AA
0391,冫,U+51AB
0392,冬,U+51AC
0393,冰,U+51B0
0394,冲,U+51B2
0395,冱,U+51B1
0396,冶,U+51B6
0397,冷,U+51B7
0398,冸,U+51B8
0399,冽,U+51BD
0400,况,U+51B5
0401,凄,U+51C4
0402,准,U+51C6
0403,凈,U+51C8
0404,凉,U+51C9
0405,凊,U+51CA
0406,凋,U+51CB
0407,凌,U+51CC
0408,凍,U+51CD
0409,减,U+51CF
0410,凑,U+51D1
0411,凓,U+51D3
0412,凜,U+51DC
0413,凝,U+51DD
0414,决,U+51B3
0415,几,U+51E0
0416,凡,U+51E1
0417,凭,U+51ED
0418,凱,U+51F1
0419,凳,U+51F3
0420,凰,U+51F0
0422,凵,U+51F5
0423,凶,U+51F6
0424,凸,U+51F8
0425,凹,U+51F9
0426,𠙽,U+2067D
0427,出,U+51FA
0428,函,U+51FD
0430,刀,U+5200
0431,刁,U+5201
0432,刃,U+5203
0433,分,U+5206
0434,切,U+5207
0435,刈,U+5208
0436,刋,U+520B
0437,刎,U+520E
0438,刑,U+5211
0439,划,U+5212
0440,刖,U+5216
0441,列,U+5217
0442,刨,U+5228
0443,初,U+521D
0444,删,U+5220
0445,判,U+5224
0446,別,U+5225
0447,刦,U+5226
0448,利,U+5229
0449,剁,U+5241
0450,刮,U+522E
0451,到,U+5230
0452,刲,U+5232
0453,刳,U+5233
0454,刵,U+5235
0455,制,U+5236
0456,刷,U+5237
0457,券,U+5238
0458,刹,U+5239
0459,刺,U+523A
0460,剋,U+524B
0461,剃,U+5243
0462,剄,U+5244
0463,則,U+5247
0464,剉,U+5249
0465,削,U+524A
0466,刻,U+523B
0467,前,U+524D
0468,剜,U+525C
0469,剞,U+525E
0470,剡,U+5261
0471,剔,U+5254
0472,剖,U+5256
0473,剗,U+5257
0474,剛,U+525B
0475,剝,U+525D
0476,剩,U+5269
0477,剪,U+526A
0478,剮,U+526E
0479,副,U+526F
0480,割,U+5272
0481,剴,U+5274
0482,創,U+5275
0483,剸,U+5278
0484,剽,U+527D
0485,剿,U+527F
0486,劂,U+5282
0487,劃,U+5283
0488,劄,U+5284
0489,劇,U+5287
0490,劈,U+5288
0491,劉,U+5289
0492,劊,U+528A
0493,劌,U+528C
0494,劍,U+528D
0495,劑,U+5291
0496,劓,U+5293
0497,劖,U+5296
0498,劚,U+529A
0499,剅,U+5245
0500,力,U+529B
0501,功,U+529F
0502,加,U+52A0
0503,劣,U+52A3
0504,助,U+52A9
0505,努,U+52AA
0506,劫,U+52AB
0507,劬,U+52AC
0508,劭,U+52AD
0509,効,U+52B9
0510,劻,U+52BB
0511,劾,U+52BE
0512,劼,U+52BC
0513,勁,U+52C1
0514,勃,U+52C3
0515,勅,U+52C5
0516,勇,U+52C7
0517,勉,U+52C9
0518,勍,U+52CD
0519,勒,U+52D2
0520,動,U+52D5
0521,勖,U+52D6
0522,勘,U+52D8
0523,務,U+52D9
0524,勝,U+52DD
0525,勞,U+52DE
0526,勠,U+52E0
0527,募,U+52DF
0528,勢,U+52E2
0529,勣,U+52E3
0530,勤,U+52E4
0531,勦,U+52E6
0532,勩,U+52E9
0533,勰,U+52F0
0534,勳,U+52F3
0535,勱,U+52F1
0536,勵,U+52F5
0537,勷,U+52F7
0538,勸,U+52F8
0540,勹,U+52F9
0541,勺,U+52FA
0542,勻,U+52FB
0543,勿,U+52FF
0544,匃,U+5303
0545,包,U+5305
0546,匈,U+5308
0547,匊,U+530A
0548,匍,U+530D
0549,匏,U+530F
0550,匐,U+5310
0551,勾,U+52FE
0552,匕,U+5315
0553,化,U+5316
0554,北,U+5317
0555,匙,U+5319
0557,匚,U+531A
0558,匜,U+531C
0559,匝,U+531D
0560,匟,U+531F
0561,匠,U+5320
0562,匡,U+5321
0563,匣,U+5323
0564,匪,U+532A
0565,匯,U+532F
0566,匱,U+5331
0567,匭,U+532D
0568,匳,U+5333
0569,匵,U+5335
0571,匸,U+5338
0572,匹,U+5339
0573,匾,U+533E
0574,匿,U+533F
0575,區,U+5340
0577,十,U+5341
0578,千,U+5343
0579,卄,U+5344
0580,卅,U+5345
0581,升,U+5347
0582,午,U+5348
0583,卉,U+5349
0584,半,U+534A
0585,卑,U+5351
0586,卒,U+5352
0587,卓,U+5353
0588,協,U+5354
0589,南,U+5357
0590,博,U+535A
0591,卍,U+534D
0592,卜,U+535C
0593,卞,U+535E
0594,占,U+5360
0595,卡,U+5361
0596,卣,U+5363
0597,卦,U+5366
0599,卩,U+5369
0600,卬,U+536C
0601,卭,U+536D
0602,卯,U+536F
0603,印,U+5370
0604,危,U+5371
0605,卲,U+5372
0606,却,U+5374
0607,卵,U+5375
0608,卷,U+5377
0609,卸,U+5378
0610,卺,U+537A
0611,卻,U+537B
0612,卮,U+536E
0613,卽,U+537D
0615,卿,U+537F
0617,厂,U+5382
0618,厄,U+5384
0619,厎,U+538E
0620,厓,U+5393
0621,厔,U+5394
0622,厘,U+5398
0623,厙,U+5399
0624,厚,U+539A
0625,厝,U+539D
0626,原,U+539F
0627,厠,U+53A0
0628,厥,U+53A5
0629,厫,U+53AB
0630,厭,U+53AD
0631,厮,U+53AE
0632,厲,U+53B2
0633,厦,U+53A6
0635,厶,U+53B6
0636,厹,U+53B9
0637,去,U+53BB
0638,叁,U+53C1
0639,參,U+53C3
0640,叅,U+53C5
0642,又,U+53C8
0643,叉,U+53C9
0644,及,U+53CA
0645,友,U+53CB
0646,反,U+53CD
0647,叔,U+53D4
0648,取,U+53D6
0649,受,U+53D7
0650,叙,U+53D9
0651,叛,U+53DB
0652,叟,U+53DF
0653,叡,U+53E1
0654,叢,U+53E2
0655,叠,U+53E0
0656,口,U+53E3
0657,古,U+53E4
0658,句,U+53E5
0659,另,U+53E6
0660,叨,U+53E8
0661,叩,U+53E9
0662,只,U+53EA
0663,叫,U+53EB
0664,召,U+53EC
0665,叭,U+53ED
0666,叮,U+53EE
0667,叱,U+53F1
0668,可,U+53EF
0669,台,U+53F0
0670,史,U+53F2
0671,右,U+53F3
0672,叵,U+53F5
0673,叶,U+53F6
0674,司,U+53F8
0675,吁,U+5401
0676,吃,U+5403
0677,各,U+5404
0678,合,U+5408
0679,吉,U+5409
0680,吊,U+540A
0681,同,U+540C
0682,名,U+540D
0683,后,U+540E
0684,吏,U+540F
0685,吐,U+5410
0686,向,U+5411
0687,吓,U+5413
0688,吒,U+5412
0689,君,U+541B
0690,吝,U+541D
0691,呑,U+5451
0692,吟,U+541F
0693,吠,U+5420
0694,否,U+5426
0695,吩,U+5429
0696,咐,U+5490
0697,吪,U+542A
0698,含,U+542B
0699,吭,U+542D
0700,吮,U+542E
0701,呈,U+5448
0702,吳,U+5433
0703,吵,U+5435
0704,呐,U+5450
0705,吸,U+5438
0706,吹,U+5439
0707,告,U+544A
0708,吻,U+543B
0709,吼,U+543C
0710,吾,U+543E
0711,呀,U+5440
0712,呂,U+5442
0713,呃,U+5443
0714,呆,U+5446
0715,咂,U+5482
0716,呢,U+5462
0717,呦,U+5466
0718,呧,U+5467
0719,周,U+5468
0720,咒,U+5492
0721,呭,U+546D
0722,呱,U+5471
0723,呫,U+546B
0724,味,U+5473
0725,呵,U+5475
0726,呶,U+5476
0727,呷,U+5477
0728,呻,U+547B
0729,呼,U+547C
0730,命,U+547D
0731,咀,U+5480
0732,咄,U+5484
0733,咆,U+5486
0734,咈,U+5488
0735,和,U+548C
0736,咎,U+548E
0737,咏,U+548F
0738,咋,U+548B
0739,咍,U+548D
0740,咡,U+54A1
0741,咤,U+54A4
0742,咢,U+54A2
0743,咥,U+54A5
0744,咧,U+54A7
0745,咨,U+54A8
0746,咫,U+54AB
0747,咬,U+54AC
0748,咯,U+54AF
0749,咱,U+54B1
0750,咳,U+54B3
0751,咷,U+54B7
0752,咸,U+54B8
0753,咺,U+54BA
