k	n	letter@k	first@k	letter@k-1	first@k-1
1	25	W	False	_	None
2	11	R	True	H	False
3	39	E	True	B	False
4	4	A	True	L	True
5	4	T	True	A	True
6	10	L	True	P	False
7	3	O	True	I	True
8	54	R	True	A	False
9	50	D	True	A	False
10	19	M	True	I	False
11	1	A	True	S	True
12	18	P	False	I	False
13	1	T	True	I	True
14	5	A	True	T	False
15	9	I	True	O	True
16	58	N	False	P	True
17	15	E	True	A	False
18	1	T	True	O	True
19	4	H	True	T	False
20	17	A	True	F	True
21	1	T	True	T	True
22	42	R	True	T	False
23	32	E	True	S	True
24	77	G	True	M	False
25	23	T	False	H	True
26	75	A	False	T	False
27	6	F	True	T	False
28	3	A	True	U	True
29	18	M	True	B	False
30	20	I	True	G	True
31	36	L	True	C	False
32	8	I	True	O	False
33	21	E	True	N	False
34	4	W	True	A	True
35	10	T	False	I	True
36	22	E	True	T	False
37	3	R	True	O	True
38	5	E	True	W	True
39	11	O	True	S	True
40	3	F	True	F	True
41	162	K	True	T	False
42	18	I	True	N	True
43	21	N	True	A	False
44	44	G	True	O	False
45	79	C	True	T	False
46	42	H	True	B	False
47	2	A	True	D	True
48	17	R	True	C	True
49	61	L	True	N	False
50	32	S	True	N	False
51	7	T	False	P	True
52	7	H	True	T	False
53	107	A	False	O	False
54	8	S	True	S	True
55	59	T	False	T	False
56	28	C	True	A	False
57	54	O	True	N	True
58	31	N	True	T	False
59	113	T	False	A	False
60	42	I	True	O	False
61	31	S	True	T	False
62	5	T	True	I	True
63	19	A	False	I	True
64	32	E	True	I	False
65	3	H	True	F	True
66	115	I	False	L	False
67	3	A	True	N	True
68	22	D	True	L	False
69	1	A	True	A	True
70	16	N	True	W	False
71	96	D	True	S	False
72	31	G	True	F	False
73	87	R	True	O	False
74	5	A	True	A	False
75	88	N	False	O	False
76	1	T	True	E	True
77	4	T	True	D	True
78	30	H	True	F	False
79	10	A	False	O	False
80	15	T	False	H	True
81	8	H	True	T	True
82	47	E	True	F	False
83	28	D	True	H	False
84	17	A	True	T	False
85	139	Y	True	H	False
86	17	B	True	P	True
87	69	E	True	B	False
88	5	A	True	H	True
89	29	R	True	T	False
90	9	E	True	O	False
91	9	T	True	E	True
92	1	H	True	H	True
93	51	E	True	H	False
94	6	F	True	Q	True
95	114	U	True	F	False
96	8	P	True	L	True
97	34	A	False	S	False
98	30	E	True	I	False
99	2	M	True	H	True
100	18	E	True	T	False
101	24	S	True	O	False
102	41	G	False	W	False
103	33	E	True	F	True
104	74	I	True	A	False
105	93	G	True	G	False
106	8	S	True	E	True
107	5	W	True	M	True
108	12	H	True	H	True
109	58	E	True	P	False
110	162	R	True	F	False
111	12	D	True	T	False
112	44	E	True	I	False
113	1	N	True	L	True
114	66	G	True	W	False
115	9	L	True	C	False
116	15	I	True	E	False
117	100	S	False	S	False
118	42	H	True	I	False
119	2	S	True	O	True
120	28	C	True	S	False
121	16	O	False	T	False
122	6	T	True	E	True
123	27	S	True	B	False
124	4	A	True	B	True
125	196	N	True	S	False
126	70	D	True	U	False
127	53	I	True	P	False
128	7	O	True	T	True
129	1	S	True	T	True
130	69	O	False	O	False
131	2	A	True	O	True
132	15	R	True	L	True
133	89	E	True	H	False
134	34	B	True	T	False
135	11	O	True	D	True
136	13	R	True	N	False
137	12	N	True	I	True
138	29	E	True	H	False
139	15	A	True	Q	True
140	76	N	True	V	True
141	40	D	True	H	False
142	22	B	True	B	True
143	8	R	True	V	True
144	24	E	True	A	False
145	75	D	True	S	False
146	3	A	True	W	True
147	58	A	False	H	False
148	15	D	True	F	True
149	2	C	True	H	True
150	1	O	True	A	True
151	4	N	False	E	True
152	5	E	True	T	False
153	56	R	True	T	False
154	5	T	True	O	True
155	5	H	True	T	True
156	2	T	True	N	True
157	4	O	True	G	True
158	12	_	None	T	True
159	20	_	None	_	None
160	19	H	True	_	None
161	14	A	False	W	False
162	80	T	False	K	False
163	37	L	False	E	False
164	45	N	False	H	False
165	34	S	False	R	False
166	3	A	True	O	False
167	95	D	False	I	False
168	6	S	False	A	True
169	38	I	False	T	False
170	1	C	True	T	True
171	18	W	True	C	False
172	11	T	False	P	True
173	27	O	False	T	False
174	4	H	True	M	True
175	13	T	False	T	False
176	7	H	True	N	True
177	24	M	True	T	False
178	5	O	False	F	True
179	20	T	False	A	True
180	5	M	True	R	True
181	87	A	False	S	False
182	40	T	False	H	False
183	25	R	True	O	False
184	9	_	None	T	False
185	56	_	None	_	None
186	21	I	True	_	None
187	29	M	True	R	True
188	2	S	True	T	True
189	81	Y	True	B	False
190	50	G	True	N	True
191	147	A	False	I	False
192	2	C	True	S	True
193	6	A	True	F	True
194	16	I	True	Q	True
195	15	F	True	S	False
196	14	S	False	I	True
197	9	T	False	O	True
198	13	F	False	D	True
199	27	T	False	N	True
200	3	W	True	I	False
201	16	E	False	O	True
202	14	W	False	H	True
203	7	T	False	I	True
204	6	T	True	S	True
205	2	B	False	R	True
206	10	T	False	I	True
207	16	W	True	C	True
208	69	F	False	A	False
209	1	T	True	W	True
210	44	W	False	T	False
211	38	L	False	S	False
212	3	S	True	A	False
213	3	O	True	S	True
214	2	D	True	S	True
215	10	O	False	I	True
216	34	S	False	O	False
217	8	A	False	H	True
218	18	I	False	O	False
219	9	O	True	O	True
220	28	K	False	T	False
221	2	W	True	H	False
222	4	T	True	V	True
223	6	T	True	A	False
224	2	R	True	W	True
225	201	M	False	T	False
226	10	C	True	T	False
227	13	A	True	S	False
228	6	H	True	S	True
229	1	A	True	A	True
230	36	Q	True	B	False
231	1	H	True	T	True
232	31	I	False	P	False
233	4	M	True	M	True
234	17	A	False	O	False
235	54	B	False	C	False
236	16	B	True	I	True
237	5	F	True	H	True
238	22	W	False	A	False
239	11	I	True	S	True
240	5	E	True	T	True
241	31	P	False	A	False
242	71	W	False	A	False
243	96	N	False	O	False
244	15	A	False	A	False
245	45	E	True	D	True
246	19	R	True	D	True
247	6	U	True	H	True
248	64	A	False	T	False
249	10	I	True	T	False
250	42	I	False	T	False
251	7	R	True	T	False
252	83	M	False	P	False
253	37	D	False	F	True
254	6	A	True	B	True
255	3	H	True	O	True
256	7	S	False	A	False
257	74	T	False	W	False
258	4	S	True	N	True
259	14	B	False	H	True
260	8	I	True	A	False
261	91	T	False	L	False
262	27	R	False	T	False
263	12	L	True	W	False
264	11	S	False	T	False
265	2	T	True	S	True
266	28	T	False	A	False
267	50	T	False	S	False
268	68	F	False	T	False
269	3	M	True	C	True
270	2	T	True	S	True
271	12	T	False	O	True
272	1	T	True	M	True
273	5	C	True	W	True
274	49	A	False	T	False
275	3	H	True	T	False
276	7	O	True	A	True
277	7	C	True	O	True
278	95	C	True	N	False
279	66	W	False	L	False
280	1	P	True	F	True
281	11	C	False	T	False
282	33	A	False	T	False
283	51	P	False	T	False
284	50	T	False	T	False
