# N.73 frequency count. lines=124 tokens=3177 distinct=197
# symbols(uppercase)=1851 codewords(lowercase)=1326

## TOKENS
  171 X
  170 TH
  163 PHI
  151 RH
  151 sin
  130 O
  122 RS
  109 YH
  108 KH
  106 Z
   97 sud
   93 no
   89 zre
   79 B8
   77 FH
   71 OT
   71 GS
   68 xed
   66 CT
   50 xad
   43 ZO
   41 rak
   41 gso
   40 tok
   38 yob
   37 BO
   36 AH
   33 bae
   32 xeb
   28 bne
   26 ZH
   26 MH
   21 ynb
   21 pif
   18 bac
   17 N8
   14 yin
   14 xnk
   14 ?
   13 sio
   13 xoo
   13 seg
   12 xno
   11 dem
   10 bao
    9 su
    9 xns
    9 sod
    8 soo
    8 see
    8 teb
    7 CD
    7 QH
    7 suo
    7 DH
    7 xny
    7 sag
    6 yaz
    6 yem
    6 xif
    6 pnk
    6 suq
    6 xam
    5 V
    5 sen
    5 be
    5 dam
    5 rie
    5 xez
    5 zuy
    5 xoy
    5 yez
    5 EQ
    5 xeo
    5 SUPNO
    5 xaf
    4 beq
    4 xo
    4 sim
    4 bon
    4 beo
    4 san
    4 suh
    4 LAM
    4 ynz
    4 rok
    4 bos
    4 by
    4 bel
    3 LO
    3 xnl
    3 zoq
    3 dug
    3 xin
    3 tir
    3 bay
    3 reh
    3 dah
    3 SL
    3 yom
    3 pib
    3 yed
    3 xnz
    3 baf
    3 SS
    3 bnz
    3 peb
    3 dif
    3 zue
    3 sof
    2 sef
    2 xil
    2 ne
    2 pab
    2 xnp
    2 poz
    2 xaz
    2 PH
    2 soq
    2 sif
    2 sey
    2 ynh
    2 doc
    2 pud
    2 OS
    2 byo
    2 pnd
    2 sep
    2 zuf
    2 pef
    2 boi
    2 piq
    2 sy
    2 yis
    2 saf
    2 tox
    2 yae
    1 CII
    1 zo
    1 pn
    1 xiz
    1 saq
    1 dej
    1 sem
    1 ip
    1 gak
    1 sug
    1 rue
    1 dik
    1 yee
    1 ral
    1 bip
    1 nab
    1 PSI
    1 oso
    1 7H
    1 pin
    1 xom
    1 zek
    1 Q
    1 zih
    1 xel
    1 sax
    1 sut
    1 bupo
    1 bu
    1 noo
    1 bin
    1 zoh
    1 pne
    1 sib
    1 soe
    1 ril
    1 D
    1 zil
    1 xod
    1 xaq
    1 zef
    1 son
    1 zaf
    1 rae
    1 sue
    1 taq
    1 xib
    1 por
    1 roy
    1 tar
    1 rel
    1 dol
    1 yeb
    1 zos
    1 reb
    1 dor
    1 yex
    1 bok
    1 pob
    1 pae

## BIGRAMS (continuous stream, across line ends)
   39 GS TH
   34 RH X
   30 RS RH
   24 X RH
   22 TH PHI
   21 RH B8
   20 O X
   20 sin no
   20 X sin
   19 gso RH
   18 O FH
   18 KH TH
   17 TH FH
   16 xad PHI
   16 GS O
   16 ZO TH
   15 no TH
   15 no sin
   15 PHI YH
   15 tok X
   15 OT KH
   15 CT X
   14 X KH
   14 RS KH
   14 X TH
   14 FH no
   13 Z PHI
   13 OT Z
   13 CT RH
   13 O GS
   13 xed seg
   13 sud xed
   13 YH zre
   12 B8 Z
   12 sin CT
   12 X O
   12 FH GS
   12 xad zre
   12 sin OT
   11 PHI TH
   11 Z X
   11 KH O
   10 PHI sud
   10 KH RH
   10 CT TH
   10 RS O
   10 no RS
   10 Z YH
   10 PHI O
    9 KH no
    9 TH YH
    9 sud X
    9 zre yob
    9 PHI Z
    9 Z B8
    9 GS Z
    9 RS ZH
    9 B8 RH
    9 gso KH
    9 PHI no
    9 no O
    8 tok RS
    8 no KH
    8 KH Z
    8 no Z
