# Charles VI to L. V. Windischgrätz, Vienna 3 Feb 1720. Numbers from the register copy R5020 (book 5, pp. 401-404), checked against the autograph R5019. Key R5017.
# id | clear text before | numbers
A|ist absonderlich|89 312 251 65 14 312 20 48 96
B|oder geringsten|315 353 129 312 675 927 543 926 495 795 97
C|auch wohl|684 495 458 79 312 301 89 65 88 50 102 17 88
D|aber auf keine weis|574 495 543 401 634 91 280 65 353 7 312 315 353 129 65
E|absonderlich|283 706 494 154 21 351 45 403 854 60 91 57 356 88
F|(after the stroke)|31 76 388 14 312 496 543 911 112 388 191 684 513 515 859 545 970 657
G|auf seiner hut doch|732 268 25 388 312 91 280 65 7 68 318 353 129 65
H|gut vernemen und vertrauen|684 495 565 283 29 148
I|mit dem schon|927 768 403
J|das 50 verdrieß|849 631 685 494 413
K|und den|144 103 58 395 634 680 64 26 65 514
L|als seinen|631 279 40 191 413
M|aber mich|768 89 65 225 312
N|wird nicht wohl|849 191 46 112 26 65 45 162 105 926 446 339 88 449 515 927 854 917 257 393 88
O|werdet ihr|458
P|als scheinen|407 96 414 310 519 355 120 103 242
Q|man|279 636 68 545
R|das geringste wider|152 191 967 934 91 202 388 14 890 91 68 89 96 88 954
S|wegen|878 495 586 927 652
T|endlich auch|957 494 495 350 14 65 132 361 231 312 494 890
U|das sonst|685 496 417 927 178 65 140 267 88
V|das in|636 68 545
W|den|495 513
X|oder dem so|573 31 638 495 721
Y|(ob ... zu glauben)|749
Z|danken|684 495 513 515 761 545 31 675
