401	Auch	m
402	auf? [auch]	m
403	aus?	m
404	acht	h
405	achtzig	h
406	als=alt	m
407	alle:in?	l
408	allergnädigst	m
409	allerunterthänigst? [allerwünscht]	l
410	Aprilis	h
411	Augustus	h
412	assurire	m
413	allianz	h
414	alliiren:ter? [allyrn:tr]	l
415	ambassadeur	h
416	administr:iren/ation?	m
417	aequivalent	h
418	Amalia	h
419	armee	h
420	armistice	h
421	artillerie	h
422	articul	h
423	admiral	h
424	Augsburg	h
425	Abt Du Bois	h
426	Duc Berwic[k]	h
427	Bothmar	h
428	Bings	h
429	Bentenrieder	h
430	Beretti Landi	h
431	Du Bourg	h
432	Bernsdorff	h
433	Bayern:isch	m
434	Böheimb	m
435	Brandenburg	h
436	Brabandt	m
437	Bremen? [Breda]	l
438	Braunschweig	h
439	Berlin	m
440	beschweren? [Beschwerung]	l
441	Barcellona	h
442	Brüssel	h
443	Bonn	h
444	Burgund	h
445	barriere	h
446	Bey	m
447	Bürger:schafft	m
448	Burgermeister	m
449	Bischoff:e, Bisthum	m
450	Baron	h
451	Berg	m
452	Befehl:en	m
453	Bericht:en	m
454	Bezahlung:en? [Beyrathung]	l
455	Belagerung:en	m
456	Mr. Carpenter	h
457	Colster	h
458	Cadagan	h
459	Colloredo im M[...]?	m
460	Campagne	h
461	Capitulation:en?	m
462	Cardinal	h
463	Cathol:isch	m
464	Camer	m
465	Catalonien	h
466	Cavallerie	h
467	Cantzley:er	m
468	Churfürst:lich, thum	m
469	Chur Prinz	h
470	Crays:e? [Creyß]	l
471	Cron	h
472	Cron Prinz	h
473	Copenhagen	m
474	Collegium:a	h
475	commandiren:ant	m
476	compagnie	h
477	commissarius:ion	h
478	corpo	h
479	courrier	h
480	congress	h
481	conjunctur	h
482	communicir:en=ation	m
483	Czaar	h
484	Cölln	m
485	conferenz:ien	m
486	constitution:iren	m
487	convent	h
488	Cassel	h
489	P. Conti	h
490	Duc [d'] Hesse	m
491	Dantzig	h
492	Dännemarck	h
493	Dähnen:isch	m
494	der	h
495	dem:den	h
496	dass:das	m
497	damit	h
498	December	h
499	Dom[b]:capitul	m
500	Dresden	m
501	Deputation:iren? [intrin]	m
502	defensiv:ion:dian?	l
503	Divers:ion	m
504	division	h
505	dragoner	h
506	drey:er	h
507	dreyssig:ter	h
508	dreyzehn:der	m
509	durch	h
510	Durlach	h
511	Darmbstatt:isch	m
512	Durchläucht:ig	m
513	Duc d'Anjou	h
514	darum, darauf	m
515	Ein:erst?	l
516	euch:er	m
517	und? [end]	l
518	Elbe	m
519	Engelländ:isch, er	m
520	empfang:en, erhalt?	m
521	Ertz	m
522	Ertzhertzog:in, thum	m
523	Erb	m
524	Erbland	h
525	eroberen:ung	m
526	Eleonora	h
527	Euer	m
528	E. K. und E. M.	m
529	Elsass	m
530	Escadra	h
531	Envoye	h
532	Evangelisch	h
533	P. Eugene	h
534	Erb Prinz	h
535	comma	h
536	Februarius	h
537	Feldt Marschall	h
538	fluss	h
539	flotta	h
540	Feldt:zug	h
541	Franken:isch	m
542	Franckfurt	h
543	Franckreich:isch, zös	m
544	Frau	h
545	Frieden	h
546	Fürst:en:lich, thum	m
547	Freyherr	m
548	Feind:schafft	h
549	Freund:schafft	h
550	fünf:ter	m
551	fünfzehn:der	m
552	fünfzig:ter	m
553	Fussvolck	m
554	Florenz:tiner	h
555	forth, Fort	m
556	errans	h
557	Gehorsam? [Geheimb]	l
558	Gemahl:in	h
559	gesandter	m
560	geheim:nus? [und]	l
561	... geld	m
562	Granitz	m
563	General:ität	m
564	General Staaten	h
565	graff:in:schafft:lich	m
566	garant:ie:iren	m
567	garnison	h
568	gouvern:eur:iren	m
569	Gottorff	h
570	gnad:ig:igst	m
571	gewesen	m
572	genug	m
573	gross	h
574	gegen	m
575	gulden	m
576	Gröningen	h
577	Genua	h
578	errans	h
579	Hamburg	h
580	Hannover	h
581	handel:en:ung	m
582	Mr. Hoop	m
583	halb	m
584	Hauß	m
585	Haag	m
586	Hertzog:lich:thum	m
587	Hzg. von Lorrain? [Herr v. Lorrain]	l
588	Herrschafft	h
589	Hessen:isch	h
590	Holland:isch	h
591	Holstein	h
592	hoch:höchst	h
593	hoff:lich	m
594	heurath:en	m
595	helffen:hülff	m
596	heraussen? [Hrassen]	l
597	hundert[h]	m
598	Hoff Kr[iegs] Praesid[ent]?	m
599	Hoff Cantzley:er	h
600	Hungarn:isch	h
601	hab:en	m
602	hat:en	m
603	Heinsius	h
604	hin:hinweg	m
605	Ihr	h
606	Ihro Mayt.	h
607	Januarius	h
608	Insul	m
609	ihm? [inn]	m
610	ist	m
611	ation:ion:ision	m
612	isch	m
613	ing? [ung]	m
614	Junius	h
615	Julius	h
616	Italien:isch	h
617	inform:ation:iren	h
618	instru:iren:ction	m
619	interesse	h
620	Jahr	h
621	ihm:ihn	m
622	ich	h
623	Instrument	m
624	Jurisdiction	h
625	Irland	h
626	Indien	m
627	errans	h
628	Kayser:lich	h
629	Kays. Mayt.	h
630	Kayserin	h
631	König:lich:reich	h
632	Königin	h
633	Krieg	h
634	Kein? [Rom]	l
635	Kreis? [Keil, Kail]	l
636	kunfft	m
637	Kön. Böhm.?	m
638	Kommen? [Kammern]	l
639	Kirchen-Staat	h
640	Kriegs Cantzley	h
641	Limburg	h
642	Lagern? [Laagen]	l
643	Land	h
644	Landgraff	h
645	lang	h
646	lassen	h
647	lieutenant	h
648	London	h
649	Leuth	m
650	Lüttig	h
651	Luxemburg	h
652	Lothringen	h
