a1_00 0900975147410677781893629876459153176498824329473355810034243003643201
a1_01 08913964410124884381306296009279371179855835531241083429401294926913246
a1_02 56871424871100112942985162161406887766981941988197462985082162945
a1_03 935945280046112167932989682167142160901958669882481102263296566
a1_04 5642165239165136614746764778429876496474666842635583593528
a1_05 29424871124828453124821600987862169142487642337060033160066
a2_00 2487985647012160086776871192634206774450881974777806593
a2_01 94629421624896196874698838296216071517098411711261216563
a2_02 430066913244946563006601913243778474459352334206734711
a2_03 006673329898491376120614248528928009709642940651601117
a2_04 784097869118898802882017468424377845645932940611926015
a2_05 637110011900925045548840036431144564964387010670129474
a2_06 677840929892471121624876477848496170170621656329855
a2_07 68248001150821652383743913662918473346764798248067
a2_08 01145885334692600330102538451377849747446493629479
a2_09 146248764263778629821678634546439880507841106261593248
a2_10 79177760651366140279871159429600337980066746842437784
a2_11 744593001352300119647642412067784294027988471129402
a3_00 5639682167776294649865885687778009709177065581974744593764
a3_01 2632160824821691124429484206004624474655810086593417862
a3_02 9459306711432480971376459452877845135561948206065010191814009741
a4_00 41090092798501294003392696459354643964025847778783708810
a4_01 3298837768214593733298778670852676374466067778948206
a4_02 248761887778528294764924263003621600865080036206006
a5_00 62067118624800364377745230907009264294065942960033974
a5_01 7460250452894601298201266213553124871126300668601022180
a5_02 770391656411008648881124859376188206003620306777818528
a5_03 0064029740671170823429402062945939886698801022940706
a5_04 9415337337082989112442947465840677644607645637447786
a5_05 7447462985369242441124824651429497474477840951324879
a5_06 8593882012487117776593556179820629426121600339640624
a5_07 82167915164324884022449747448474600867087778948206
a5_08 77449167786781708317968370302008606777601988214988386
a5_09 21692671688185583544964835937960902244974744008654
a5_10 7117619648829883566926003321643701075040086298968
a6_00 78601778696874624850420679600865641192406777601988
a6_01 24851450801009207764778450124894801764924263003602
a6_02 06711968233008656479111523518798078470324411566913
a6_03 53849264456496438701032980771170823429401777826311
a6_04 067768541882940297474452377840998838296216218703911
a6_05 2447442989812487778640652892402558100337980066
a6_06 94307558106296786528294744778656300667341659
a6_07 38306911887012061406115237430086523786244
a6_08 7786206298009878621629429898866733668402
a6_09 00922980177782448321677845135561948783214
a6_10 18536743248593777789482060659420684594
a7_00 7460724821696821664294558474355612165645932489645367783926
a7_01 961244830092057647982482947332985561003406777818711003316006
a7_02 674626300665460161312969880109115046698824302064477687766
a7_03 248568548536156329855680011178459359452800462160270370843216
a7_04 4377745230924400367462489815240329800862985630066294703
a7_05 5239838671646008656452384786667334624877789482065237645
a7_06 935139262947914600330821691679800862989849269132465685282
a7_07 16062967862989167647784840677781871100119546524216976974
a7_08 93452328479153321673329876391611216764964528216248501523
a7_09 768593764778459366733469262612167866679170121624821026238
a7_10 2612415360066733298216986246778424870831923924006615594
a7_11 24894174843342330086564112615939818811311191670831241111
a8_00 2489687462165630066734162062162938877784300467012949245230
a8_01 991393614017112630066071502924746248563228528294764798248
a8_02 5312440036706465482947088103298067778182980044703911926523
a8_03 208558371483176424411847866673346566926003321643701748774
a8_04 474355612339860036431100338821601563711244847989880229484
a8_05 9640691117855819260033974774400467965139362947914602746
a8_06 2485581523918533943020629488261206294065944459306447
a8_07 6806115237439839882430150156300660124852861234948246
a8_08 5640066534072889262485581778411593067784092487642637
a8_09 78629424876459194874652398838296216847030086564294
a8_10 5937917987647784593594528004611593504206293701020919
a8_11 009700862982388324821659366964224244832167784974934
