# AGS Estado leg. 8 no. 150 -- working transcription of the ciphertext (PARES images, ~1000 px).
# Trigraph code groups are written as they stand. Runs of cipher signs are in {braces}, in a rough
# glyph notation (to be refined): ll = two long strokes, H = ll crossed, = double bar, #T = double bar
# over a T-foot, $ = the triple-barred staff (paragraph marker), a = alpha, R = barred R, P = "P4" sign,
# D = delta, g+ = barred g, 6, O = barred circle, E = barred E, rt = "rto" ligature, nt, io, z, C, y, q.
# Line numbers are the manuscript lines of each page. '|' separates word groups as spaced by the scribe.

## f. 1r (lines 1-2 in clear: "Despues de scripta la otra carta general que va con esta que es duplicada de otra
##        que en dias passados embiamos a V. Mag. se han offrecido dos cosas sus-")
p1.03  [tançiales de que le auisar /. La vna es] {dto} {P} Loc {rHa~} {llaiog+!}
p1.04  log {g+t} Len top sur lan sur nam {#Tllg+t} {=} mun tus {R} {llrta}
p1.05  sex torrer sum lut ran som nex sur {Rioll nt} lan {D=} log {g+io}
p1.06  {nta} mix top {D} {teffr nt} {dz} {Croc} {yllnt} {parto} {e4} lan xif for
p1.07  som sur pri {=} sem sur Loc {rHa~} {ll:6io} puo log {g+t} Len lum {GllD}
p1.08  nam rac {ll:6!q+} Log fun per suf {=D} roc {t=} pex lan xif som
p1.09  sur fer mix {e4} puo {=ge=} {p} lan {#Tzt} sur fer Loc tam {gll} pega
p1.10  leg {g+azD} tam {C#Tn+t} nex sur {g+taa#TD} {aasur~a} sah {D}
p1.11  Loc tam {g+t=dntaaze4} Log sae {=D#T} log {zuLp} lan {#Tq+} lan
p1.12  xif {P} {$} {p} ral fer tao {g+tat} Loc {GllD} sur {taha llq ll:} Loc
p1.13  {asurD} {Gllp} pri {D} fer sur {qroθ} sur tiz {aaDll} tul roc {C#T} pri {=}
p1.14  sur pri nex lanha {rto} mix {=} {fntll io e4} {Σaio+=a=} pri {Paffll}
p1.15  {g+t=} mix lan {g+t} {Pa nt Daio + rto} sur sur {GaDa q°} som sur for
p1.16  xif [fub xep struck through] {Dllrtoll:nt} pri {aωaioD} nex {=} {Gllp} leg lan {R+nt}
p1.17  {g#TCroc} tiz {rto} rip {artogio c#TD} fer nex {=} lan lix {D} {antll:ff}
p1.18  {g+t=} sur nex {=} lux pri {taoartoR} {ll:ntffθf+P+=} Log {=+}
p1.19  {yroaiodant} som {asur~a#Tioa} nex sur nam {ofll} {atahRnt+}
p1.20  {xrtul} {g+t} {$} {q°} sum {σ#T} xap tub {D} sum sig {q} lan {feraioq#Tant}
